,step,time,"(1, 16, 16)"
0,1,0.0,0.0
1,2,36.5,37.732
2,3,73.0,59.7
3,4,109.5,72.806
4,5,146.0,80.641
5,6,182.5,85.353
6,7,219.0,88.662
7,8,255.5,90.886
8,9,292.0,92.598
9,10,328.5,94.046
10,11,365.0,95.629
11,12,401.5,96.683
12,13,438.0,97.543
13,14,474.5,98.097
14,15,511.0,98.379
15,16,547.5,98.627
16,17,584.0,98.834
17,18,620.5,99.036
18,19,657.0,99.185
19,20,693.5,99.244
20,21,730.0,99.334
21,22,766.5,99.413
22,23,803.0,99.501
23,24,839.5,99.566
24,25,876.0,99.586
25,26,912.5,99.62
26,1,949.0,99.329
27,2,985.5,98.881
28,3,1022.0,98.028
29,4,1058.5,97.582
30,5,1095.0,95.783
31,6,1131.5,95.219
32,7,1168.0,92.872
33,8,1204.5,89.869
34,9,1241.0,89.382
35,10,1277.5,86.375
36,11,1314.0,85.85
37,12,1350.5,82.262
38,13,1387.0,80.136
39,14,1423.5,79.584
40,15,1460.0,76.911
41,16,1496.5,75.476
42,17,1533.0,72.968
43,18,1569.5,70.241
44,19,1606.0,68.133
45,20,1642.5,65.878
46,21,1679.0,63.122
47,22,1715.5,61.326
48,23,1752.0,59.785
49,24,1788.5,56.834
50,25,1825.0,48.374
51,26,1861.5,36.728
52,27,1898.0,29.398
53,28,1934.5,26.518
54,29,1971.0,28.101
55,30,2007.5,23.064
56,31,2044.0,20.167
57,32,2080.5,18.472
58,33,2117.0,16.915
59,34,2153.5,14.192
60,35,2190.0,14.26
61,36,2226.5,12.397
62,37,2263.0,11.235
63,38,2299.5,12.258
64,39,2336.0,11.865
65,40,2372.5,10.608
66,41,2409.0,8.6766
67,42,2445.5,8.4228
68,43,2482.0,8.1646
69,44,2518.5,7.3758
70,45,2555.0,6.1667
71,46,2591.5,5.842
72,47,2628.0,5.146
73,48,2664.5,4.3223
74,49,2701.0,4.6782
75,50,2737.5,4.1578
76,51,2774.0,3.7344
77,52,2810.5,3.2359
78,53,2847.0,3.0422
79,54,2883.5,2.8517
80,55,2920.0,3.0268
81,56,2956.5,2.9683
82,57,2993.0,2.4397
83,58,3029.5,2.131
84,59,3066.0,2.0657
85,60,3102.5,2.0198
86,61,3139.0,1.9042
87,62,3175.5,1.6545
88,63,3212.0,1.6142
89,64,3248.5,1.5694
90,65,3285.0,1.5546
91,66,3321.5,1.3132
92,67,3358.0,1.3299
93,68,3394.5,1.225
94,69,3431.0,0.98775
95,70,3467.5,0.97002
96,71,3504.0,0.91452
97,72,3540.5,0.87498
98,73,3577.0,0.85868
99,74,3613.5,0.80404
100,75,3650.0,0.80676
