,totim,BCKGRND
0,2.5,3.669724770641837
1,5.0,7.204780742360918
2,7.5,10.61010988942951
3,10.0,13.89047282926627
4,12.5,17.0504554777328
5,15.0,20.09447546020056
6,17.5,23.02678828734838
7,20.0,25.85149330432563
8,22.5,28.57253942159726
9,25.0,31.19373063548277
10,27.5,33.71873134610637
11,30.0,36.15107148019333
12,32.5,38.4941514258734
13,35.0,40.75124678639087
14,37.5,42.92551295936641
15,40.0,45.01998954801255
16,42.5,47.03760461046984
17,45.0,48.98117875320393
18,47.5,50.85342907418631
19,50.0,52.65697296137115
20,52.5,54.39433175177856
21,55.0,56.06793425629943
22,57.5,57.68012015514983
23,60.0,59.23314326872129
24,62.5,60.72917470840023
25,65.0,62.17030591176066
26,67.5,63.55855156637388
27,70.0,64.89585242632243
28,72.5,66.18407802535543
29,75.0,67.42502929047897
30,77.5,68.62044105963469
31,80.0,69.7719845069865
32,82.5,70.88126947920613
33,85.0,71.94984674602323
34,87.5,72.97921016818647
35,90.0,73.97079878586665
36,92.5,74.92599883042095
37,95.0,75.8461456623311
38,97.5,76.73252563802434
39,100.0,77.58637790818754
40,102.5,78.40889615008786
41,105.0,79.2012302363221
42,107.5,79.96448784232763
43,110.0,80.69973599490174
44,112.5,81.40800256389514
45,115.0,82.09027769916402
46,117.5,82.74751521478998
47,120.0,83.38063392250307
48,122.5,83.99051891617168
49,125.0,84.5780228091552
50,127.5,85.14396692624942
51,130.0,85.68914245189062
52,132.5,86.21431153622387
53,135.0,86.7202083605816
54,137.5,87.20754016386196
55,140.0,87.67698823124222
56,142.5,88.1292088466085
57,145.0,88.56483421003473
58,147.5,88.9844733215921
59,150.0,89.38871283272536
60,152.5,89.77811786638583
61,155.0,90.15323280706792
62,157.5,90.51458206185342
63,160.0,90.86267079352753
64,162.5,91.19798562679156
65,165.0,91.52099532855974
66,167.5,91.83215146329054
67,170.0,92.13188902426975
68,172.5,92.4206270417268
69,175.0,92.69876916863495
70,177.5,92.96670424501437
71,180.0,93.22480684152666
72,182.5,93.47343778312106
73,185.0,93.71294465346428
74,187.5,93.94366228085912
75,190.0,94.16591320633121
76,192.5,94.38000813453836
77,195.0,94.5862463681324
78,197.5,94.78491622618168
79,200.0,94.97629544723833
80,202.5,95.16065157761402
81,205.0,95.33824234540708
82,207.5,95.50931602080408
83,210.0,95.674111763159
84,212.5,95.83285995533575
85,215.0,95.98578252578125
86,217.5,96.1330932587792
87,220.0,96.27499809331852
88,222.5,96.41169541099399
89,225.0,96.54337631334192
90,227.5,96.67022488899819
91,230.0,96.79241847105247
92,232.5,96.91012788495797
93,235.0,97.023517687344
94,237.5,97.13274639606448
95,240.0,97.23796671180439
96,242.5,97.33932573155384
97,245.0,97.43696515424828
98,247.5,97.53102147886219
99,250.0,97.62162619523338
100,252.5,97.7089059678845
101,255.0,97.79298281309892
102,257.5,97.8739742694981
103,260.0,97.9519935623597
104,262.5,98.02714976190529
105,265.0,98.09954793577947
106,267.5,98.1692892959335
107,270.0,98.23647134011858
108,272.5,98.30118798818678
109,275.0,98.3635297133901
110,277.5,98.42358366886117
111,280.0,98.48143380945264
112,282.5,98.53716100910499
113,285.0,98.59084317390771
114,287.5,98.64255535101125
115,290.0,98.69236983354217
116,292.5,98.7403562616683
117,295.0,98.78658171995491
118,297.5,98.83111083114845
119,300.0,98.87400584651837
120,302.5,98.91532673288388
121,305.0,98.955131256447
122,307.5,98.99347506354908
123,310.0,99.03041175846393
124,312.5,99.06599297833603
125,315.0,99.10026846536879
126,317.5,99.13328613636365
127,320.0,99.16509214970733
128,322.5,99.19573096990078
129,325.0,99.22524542972015
130,327.5,99.2536767900966
131,330.0,99.28106479779869
132,332.5,99.30744774099796
133,335.0,99.33286250279542
134,337.5,99.35734461278382
135,340.0,99.38092829671758
136,342.5,99.4036465243602
137,345.0,99.42553105557556
