time,HEADWATER,TAILWATER,GAGE_1
1.0,-1015.320913144039,-724.7188602769991,1816.496007769975
32.0,-1206.637862921968,-867.901916435975,2200.929973981442
61.0,-1521.896546458194,-1101.724491914208,2752.719132582363
92.0,-1898.092776935767,-1375.523161773782,3385.493582725173
122.0,-2198.764123021579,-1581.861774455422,3861.399027988824
153.0,-2358.272025656634,-1675.595842464744,4078.284305094101
183.0,-2315.576656479016,-1619.813790877721,3949.037099176812
214.0,-2075.497365608828,-1420.530750100953,3493.76458350014
245.0,-1709.781154950835,-1140.337823570166,2851.313235948001
275.0,-1324.895629252271,-857.6706294142672,2205.700712613387
306.0,-1004.697796317973,-637.2702105547736,1699.56427867582
336.0,-847.7394811540516,-543.8020937192052,1486.218609961923
367.0,-892.1205116104022,-597.7849981943938,1613.698187392912
398.0,-1121.784282461512,-784.159532964157,2042.361294718659
426.0,-1450.57361937468,-1036.675755434394,2616.31262888507
457.0,-1846.801082732861,-1329.329497110487,3278.562840404808
487.0,-2161.420112160448,-1550.108483585977,3776.705398229161
518.0,-2325.728559257242,-1649.809992574058,4003.280235208877
548.0,-2285.91157907837,-1597.311908720023,3884.292361909281
579.0,-2048.696502589591,-1401.606106047797,3443.39328592218
610.0,-1684.631747487347,-1123.745056530901,2814.405686500751
640.0,-1302.901735688616,-843.5368195095139,2182.610102192732
671.0,-987.481225936028,-626.7383115070091,1689.348154526076
701.0,-835.6982431163487,-536.8173140382559,1484.212968463238
732.0,-970.087746665297,-658.4789506685659,1761.822891016682
