,parnme,parval1,i,j,x,y,pargp,tpl_filename,input_filename,partype,partrans,parubnd,parlbnd,scale,dercom,parchglim,offset
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:12_x:3125.00_y:9875.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:12_x:3125.00_y:9875.00_zone:1,1.0,0,12,3125.0,9875.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:13_x:3375.00_y:9875.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:13_x:3375.00_y:9875.00_zone:1,1.0,0,13,3375.0,9875.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:14_x:3625.00_y:9875.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:14_x:3625.00_y:9875.00_zone:1,1.0,0,14,3625.0,9875.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:15_x:3875.00_y:9875.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:15_x:3875.00_y:9875.00_zone:1,1.0,0,15,3875.0,9875.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:16_x:4125.00_y:9875.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:16_x:4125.00_y:9875.00_zone:1,1.0,0,16,4125.0,9875.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:17_x:4375.00_y:9875.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:17_x:4375.00_y:9875.00_zone:1,1.0,0,17,4375.0,9875.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:18_x:4625.00_y:9875.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:18_x:4625.00_y:9875.00_zone:1,1.0,0,18,4625.0,9875.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:19_x:4875.00_y:9875.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:0_j:19_x:4875.00_y:9875.00_zone:1,1.0,0,19,4875.0,9875.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:0_x:125.00_y:9625.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:0_x:125.00_y:9625.00_zone:1,1.0,1,0,125.0,9625.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:1_x:375.00_y:9625.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:1_x:375.00_y:9625.00_zone:1,1.0,1,1,375.0,9625.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:2_x:625.00_y:9625.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:2_x:625.00_y:9625.00_zone:1,1.0,1,2,625.0,9625.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:3_x:875.00_y:9625.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:3_x:875.00_y:9625.00_zone:1,1.0,1,3,875.0,9625.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:4_x:1125.00_y:9625.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:4_x:1125.00_y:9625.00_zone:1,1.0,1,4,1125.0,9625.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:5_x:1375.00_y:9625.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:5_x:1375.00_y:9625.00_zone:1,1.0,1,5,1375.0,9625.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:6_x:1625.00_y:9625.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:6_x:1625.00_y:9625.00_zone:1,1.0,1,6,1625.0,9625.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:7_x:1875.00_y:9625.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:7_x:1875.00_y:9625.00_zone:1,1.0,1,7,1875.0,9625.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:8_x:2125.00_y:9625.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:8_x:2125.00_y:9625.00_zone:1,1.0,1,8,2125.0,9625.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:9_x:2375.00_y:9625.00_zone:1,pname:npfklayer1gr_inst:0_ptype:gr_pstyle:m_i:1_j:9_x:2375.00_y:9625.00_zone:1,1.0,1,9,2375.0,9625.0,npfklayer1gr,part2_01_OUT\freyberg6_template\npfklayer1gr_inst0_grid.csv.tpl,part2_01_OUT\freyberg6_template\mult\npfklayer1gr_inst0_grid.csv,grid,log,5.0,0.2,1.0,1,factor,0.0
