time,ICF1
40.00000000000,1191.149007431722
80.00000000000,1437.420221092501
120.0000000000,1683.661147454714
160.0000000000,1929.902069070377
200.0000000000,2176.142990685188
240.0000000000,2422.383912299993
280.0000000000,2668.624833914810
320.0000000000,2822.148363993029
360.0000000000,2783.103658100430
400.0000000000,2744.056156791590
450.0000000000,2695.246779893772
500.0000000000,2646.437402998285
550.0000000000,2597.628026102780
600.0000000000,2548.818649207280
666.6666666667,2483.739480008209
733.3333333333,2418.660310814214
800.0000000000,2443.751361426152
866.6666666667,3046.598428380580
933.3333333333,3649.437049878244
1000.000000000,4252.275669780672
