time,H1_2_1,H1_2_10
40.00000000000,1.731393320596085,.1302931596091205
80.00000000000,2.192908858121496,.2605863192182410
120.0000000000,2.654234416282560,.3908794788273616
160.0000000000,3.115559940081301,.5211726384364821
200.0000000000,3.576885463873759,.6514657980456026
240.0000000000,4.038210987666218,.7817589576547231
280.0000000000,4.499536511458662,.9120521172638436
320.0000000000,4.901312955547943,1.107438016528926
360.0000000000,5.179406536536388,1.438016528925620
400.0000000000,5.457491798247212,1.768595041322314
450.0000000000,5.805098373786875,2.181818181818182
500.0000000000,6.152704949326441,2.595041322314049
550.0000000000,6.500311524866036,3.008264462809918
600.0000000000,6.847918100405606,3.421487603305785
666.6666666667,7.311393534457873,3.972451790633608
733.3333333333,7.774868968510633,4.523415977961432
800.0000000000,8.156012200325691,4.870813397129188
866.6666666667,8.009602875758787,3.913875598086126
933.3333333333,7.863087224641736,2.956937799043065
1000.000000000,7.716571561200334,2.000000000000004
