time,HEAD,Q1,Q2,FW
0.5087819625434E-04,0.5480547709,278.6489740,3831.761808,-4110.410782
0.1119320317595E-03,0.5480362386,278.6409255,3831.630864,-4110.271790
0.1851966343658E-03,0.5480140039,278.6312690,3831.473760,-4110.105029
0.2731141574933E-03,0.5479873283,278.6196837,3831.285278,-4109.904962
0.3786151852463E-03,0.5479553260,278.6057849,3831.059160,-4109.664945
0.5052164185499E-03,0.5479169357,278.5891115,3830.787906,-4109.377018
0.6571378985142E-03,0.5478708850,278.5691108,3830.462527,-4109.031638
0.8394436744713E-03,0.5478156498,278.5451206,3830.072253,-4108.617373
0.1058210605620E-02,0.5477494043,278.5163477,3829.604184,-4108.120532
0.1320730922998E-02,0.5476699625,278.4818423,3829.042877,-4107.524719
0.1635755303852E-02,0.5475747085,278.4404675,3828.369846,-4106.810314
0.2013784560877E-02,0.5474605132,278.3908634,3827.562986,-4105.953849
0.2467419669307E-02,0.5473236362,278.3314042,3826.595868,-4104.927272
0.3011781799422E-02,0.5471596102,278.2601475,3825.436929,-4103.697077
0.3665016355561E-02,0.5469631043,278.1747751,3824.048507,-4102.223282
0.4448897822928E-02,0.5467277645,278.0725231,3822.385711,-4100.458234
0.5389555583768E-02,0.5464460279,277.9501008,3820.395108,-4098.345209
0.6518344896776E-02,0.5461089072,277.8035957,3818.013209,-4095.816804
0.7872892072385E-02,0.5457057441,277.6283662,3815.164715,-4092.793081
0.9498348683117E-02,0.5452239285,277.4189170,3811.760547,-4089.179464
0.1144889661599E-01,0.5446485850,277.1687612,3807.695626,-4084.864388
0.1378955413545E-01,0.5439622280,276.8702671,3802.846443,-4079.716710
0.1659834315879E-01,0.5431443915,276.5144926,3797.068443,-4073.582936
0.1996888998680E-01,0.5421712470,276.0910130,3790.193339,-4066.284352
0.2401354618042E-01,0.5410152287,275.5877489,3782.026466,-4057.614215
0.2886713361276E-01,0.5396446983,274.9908094,3772.344428,-4047.335238
0.3469143853156E-01,0.5380236982,274.2843675,3760.893369,-4035.177737
0.4168060443413E-01,0.5361118583,273.4505981,3747.388339,-4020.838937
0.5006760351721E-01,0.5338645505,272.4697171,3731.514412,-4003.984129
0.6013200241691E-01,0.5312334097,271.3201703,3712.930402,-3984.250573
0.7220928109654E-01,0.5281673686,269.9790384,3691.276226,-3961.255265
0.8670201551210E-01,0.5246143769,268.4227297,3666.185097,-3934.607827
0.1040932968108,0.5205239812,266.6280414,3637.301817,-3903.929859
0.1249628343692,0.5158509154,264.5736579,3604.308207,-3868.881865
0.1500062794393,0.5105597751,262.2421302,3566.956183,-3829.198314
0.1800584135234,0.5046306901,259.6223139,3525.107862,-3784.730175
0.2161209744243,0.4980860155,256.7099217,3478.771394,-3735.481316
0.2593960475054,0.4913055758,253.4768368,3428.011196,-3681.488033
0.3113261352028,0.4844639600,249.9366423,3373.236969,-3623.173611
0.3736422404396,0.4776256503,246.1354913,3315.179422,-3561.314913
0.4484215667238,0.4708698207,242.1376599,3254.821893,-3496.959553
0.5381567582648,0.4642845667,238.0226005,3193.348496,-3431.371097
0.6458389881140,0.4579589309,233.8789019,3132.048731,-3365.927633
0.7750576639330,0.4519733233,229.7956199,3072.187079,-3301.982699
0.9301200749159,0.4463897870,225.8523462,3014.859163,-3240.711509
1.116194968095,0.4412441813,222.1101236,2960.865930,-3182.976054
1.339484839911,0.4365424041,218.6054614,2910.637993,-3129.243455
1.607432686089,0.4322619144,215.3490302,2864.230597,-3079.579627
1.928970101503,0.4283583013,212.3292311,2821.388407,-3033.717638
2.314815000000,0.4247750098,209.5192922,2781.657149,-2991.176442
