,STO-SS_IN,STO-SY_IN,WEL_IN,RCHA_IN,CHD_IN,SFR_IN,LAK_IN,TOTAL_IN,STO-SS_OUT,STO-SY_OUT,WEL_OUT,RCHA_OUT,CHD_OUT,SFR_OUT,LAK_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY
2011-12-31,0.0,0.0,0.0,33188.867,23435.904,349.6383,3680.2842,60654.695,0.0,0.0,2383.0227,0.0,44272.152,11781.069,2217.9348,60654.176,0.5174,0.0
2012-01-31,207.9518,802209.75,0.0,141249.0,742144.1,16425.117,119000.11,1821236.1,7.4943,4842.6714,2383.0227,0.0,1384814.5,359632.34,69561.61,1821241.6,-5.5333,-0.0
2012-02-29,397.9186,1521198.8,0.0,250624.98,1410219.5,36150.76,227324.16,3445916.0,7.5271,5439.6323,2383.0227,0.0,2632203.2,673748.25,132142.6,3445924.2,-8.2675,-0.0
2012-03-31,413.8804,1620096.0,0.0,1207345.5,2125844.2,57447.87,340443.1,5351590.5,46.6868,137520.53,2383.0227,0.0,3993492.5,1017568.1,200592.27,5351603.0,-12.3907,-0.0
2012-04-30,413.8804,1620096.0,0.0,3152983.2,2810990.2,68774.73,445261.38,8098519.5,325.2304,1100960.6,2383.0227,0.0,5346436.0,1378038.6,270387.1,8098530.5,-11.046,-0.0
2012-05-31,417.287,1629527.8,0.0,6495248.0,3544048.5,71471.71,546766.94,12287480.0,885.4562,3240586.5,99927.086,0.0,6792658.0,1805063.1,348367.34,12287488.0,-7.8201,-0.0
2012-06-30,944.9391,3058682.2,0.0,6510290.5,4289303.0,78584.266,645346.3,14583151.0,885.4562,3240586.5,638366.1,0.0,8108533.5,2171381.0,423410.47,14583163.0,-11.6481,-0.0
2012-07-31,1419.2664,4619765.0,0.0,6517838.0,5074509.0,91426.266,743105.9,17048064.0,885.4691,3240586.5,1337120.9,0.0,9449791.0,2514358.2,505332.94,17048076.0,-11.8701,-0.0
2012-08-31,1685.1389,5789183.0,0.0,6546399.5,5788889.0,110922.125,843397.56,19080476.0,928.6292,3302843.2,1581930.4,0.0,10773463.0,2835994.2,585335.9,19080496.0,-19.5443,-0.0
2012-09-30,1915.4856,6783139.5,0.0,6553187.0,6430277.5,135874.89,941519.9,20845914.0,958.9606,3348655.2,1654908.9,0.0,12044140.0,3135327.2,661945.3,20845936.0,-22.1124,-0.0
2012-10-31,2090.46,7590996.0,0.0,6815299.0,7079057.5,167150.0,1048702.4,22703294.0,1023.6042,3507755.0,1654908.9,0.0,13362564.0,3439863.8,737192.3,22703308.0,-12.6782,-0.0
2012-11-30,2271.2231,8351683.5,0.0,6934629.0,7709376.0,202104.19,1154264.9,24354328.0,1029.2094,3531658.5,1654908.9,0.0,14630762.0,3728196.8,807792.4,24354348.0,-18.7674,-0.0
2012-12-31,2458.8567,9137134.0,0.0,7018820.0,8362277.0,243255.64,1265806.2,26029752.0,1030.0222,3539107.5,1654908.9,0.0,15937906.0,4019022.5,877804.75,26029780.0,-28.4203,-0.0
