,0,1,2,3,4,5,6,7,8,9,10
34,34,"(0, 5, 0)",1,134,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
35,35,"(0, 5, 1)",1,135,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
36,36,"(0, 5, 2)",1,136,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
37,37,"(0, 5, 3)",1,137,0.1,1e-06,0.1,0.3,0.11,3.5,ag
38,38,"(0, 5, 4)",1,138,0.1,1e-06,0.1,0.3,0.11,3.5,ag
39,39,"(0, 5, 5)",1,139,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
40,40,"(0, 5, 6)",1,140,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
41,41,"(0, 5, 7)",1,141,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
42,42,"(0, 5, 8)",1,142,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
43,43,"(0, 5, 9)",1,143,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
44,44,"(0, 6, 0)",1,144,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
45,45,"(0, 6, 1)",1,145,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
46,46,"(0, 6, 2)",1,146,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
47,47,"(0, 6, 3)",1,147,0.1,1e-06,0.1,0.3,0.11,3.5,ag
48,48,"(0, 6, 4)",1,148,0.1,1e-06,0.1,0.3,0.11,3.5,ag
49,49,"(0, 6, 5)",1,149,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
50,50,"(0, 6, 6)",1,150,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
51,51,"(0, 6, 7)",1,151,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
52,52,"(0, 6, 8)",1,152,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
53,53,"(0, 7, 1)",1,153,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
54,54,"(0, 7, 2)",1,154,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
55,55,"(0, 7, 3)",1,155,0.1,1e-06,0.1,0.3,0.11,3.5,ag
56,56,"(0, 7, 4)",1,156,0.1,1e-06,0.1,0.3,0.11,3.5,ag
57,57,"(0, 7, 5)",1,157,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
58,58,"(0, 7, 6)",1,158,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
59,59,"(0, 7, 7)",1,159,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
60,60,"(0, 7, 8)",1,160,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
61,61,"(0, 8, 1)",1,161,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
62,62,"(0, 8, 2)",1,162,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
63,63,"(0, 8, 3)",1,163,0.1,1e-06,0.1,0.3,0.11,3.5,ag
64,64,"(0, 8, 4)",1,164,0.1,1e-06,0.1,0.3,0.11,3.5,ag
65,65,"(0, 8, 5)",1,165,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
66,66,"(0, 8, 6)",1,166,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
67,67,"(0, 8, 7)",1,167,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
68,68,"(0, 8, 8)",1,168,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
69,69,"(0, 9, 1)",1,169,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
70,70,"(0, 9, 2)",1,170,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
71,71,"(0, 9, 3)",1,171,0.1,1e-06,0.1,0.3,0.11,3.5,ag
72,72,"(0, 9, 4)",1,172,0.1,1e-06,0.1,0.3,0.11,3.5,ag
73,73,"(0, 9, 5)",1,173,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
74,74,"(0, 9, 8)",1,174,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
75,75,"(0, 9, 9)",1,175,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
76,76,"(0, 10, 1)",1,176,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
77,77,"(0, 10, 5)",1,177,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
78,78,"(0, 10, 8)",1,178,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
79,79,"(0, 11, 0)",1,179,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
80,80,"(0, 11, 1)",1,180,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
81,81,"(0, 11, 5)",1,181,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
82,82,"(0, 11, 6)",1,182,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
83,83,"(0, 11, 7)",1,183,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
84,84,"(0, 11, 8)",1,184,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
85,85,"(0, 12, 0)",1,185,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
86,86,"(0, 12, 1)",1,186,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
87,87,"(0, 12, 5)",1,187,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
88,88,"(0, 12, 6)",1,188,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
89,89,"(0, 12, 7)",1,189,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
90,90,"(0, 12, 8)",1,190,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
91,91,"(0, 13, 1)",1,191,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
92,92,"(0, 13, 5)",1,192,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
93,93,"(0, 13, 6)",1,193,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
94,94,"(0, 13, 7)",1,194,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
95,95,"(0, 13, 8)",1,195,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
96,96,"(0, 14, 2)",1,196,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
97,97,"(0, 14, 3)",1,197,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
98,98,"(0, 14, 4)",1,198,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
99,99,"(0, 14, 5)",1,199,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
100,100,"(1, 0, 0)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
101,101,"(1, 0, 1)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
102,102,"(1, 1, 0)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
103,103,"(1, 1, 1)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
104,104,"(1, 1, 2)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
105,105,"(1, 1, 5)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
106,106,"(1, 1, 6)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
107,107,"(1, 1, 7)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
108,108,"(1, 2, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
109,109,"(1, 2, 2)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
110,110,"(1, 2, 3)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
111,111,"(1, 2, 4)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
112,112,"(1, 2, 5)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
113,113,"(1, 2, 6)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
114,114,"(1, 2, 7)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
115,115,"(1, 3, 0)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
116,116,"(1, 3, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
117,117,"(1, 3, 2)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
118,118,"(1, 3, 3)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
119,119,"(1, 3, 4)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
120,120,"(1, 3, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
121,121,"(1, 3, 6)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
122,122,"(1, 3, 7)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
123,123,"(1, 3, 8)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
124,124,"(1, 4, 0)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
125,125,"(1, 4, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
126,126,"(1, 4, 2)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
127,127,"(1, 4, 3)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
128,128,"(1, 4, 4)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
129,129,"(1, 4, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
130,130,"(1, 4, 6)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
131,131,"(1, 4, 7)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
132,132,"(1, 4, 8)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
133,133,"(1, 4, 9)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
134,134,"(1, 5, 0)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
135,135,"(1, 5, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
136,136,"(1, 5, 2)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
137,137,"(1, 5, 3)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
138,138,"(1, 5, 4)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
139,139,"(1, 5, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
140,140,"(1, 5, 6)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
141,141,"(1, 5, 7)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
142,142,"(1, 5, 8)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
143,143,"(1, 5, 9)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
144,144,"(1, 6, 0)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
145,145,"(1, 6, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
146,146,"(1, 6, 2)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
147,147,"(1, 6, 3)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
148,148,"(1, 6, 4)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
149,149,"(1, 6, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
150,150,"(1, 6, 6)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
151,151,"(1, 6, 7)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
152,152,"(1, 6, 8)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
153,153,"(1, 7, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
154,154,"(1, 7, 2)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
155,155,"(1, 7, 3)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
156,156,"(1, 7, 4)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
157,157,"(1, 7, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
158,158,"(1, 7, 6)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
159,159,"(1, 7, 7)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
160,160,"(1, 7, 8)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
161,161,"(1, 8, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
162,162,"(1, 8, 2)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
163,163,"(1, 8, 3)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
164,164,"(1, 8, 4)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
165,165,"(1, 8, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
166,166,"(1, 8, 6)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
167,167,"(1, 8, 7)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
168,168,"(1, 8, 8)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
169,169,"(1, 9, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
170,170,"(1, 9, 2)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
171,171,"(1, 9, 3)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
172,172,"(1, 9, 4)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,ag
173,173,"(1, 9, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
174,174,"(1, 9, 8)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
175,175,"(1, 9, 9)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
176,176,"(1, 10, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
177,177,"(1, 10, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
178,178,"(1, 10, 8)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
179,179,"(1, 11, 0)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
180,180,"(1, 11, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
181,181,"(1, 11, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
182,182,"(1, 11, 6)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
183,183,"(1, 11, 7)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
184,184,"(1, 11, 8)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
185,185,"(1, 12, 0)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
186,186,"(1, 12, 1)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
187,187,"(1, 12, 5)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
188,188,"(1, 12, 6)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
189,189,"(1, 12, 7)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
190,190,"(1, 12, 8)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
191,191,"(1, 13, 1)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
192,192,"(1, 13, 5)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
193,193,"(1, 13, 6)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
194,194,"(1, 13, 7)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
195,195,"(1, 13, 8)",0,-1,0.1,1e-06,0.1,0.3,0.11,3.5,uzfcells
196,196,"(1, 14, 2)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
197,197,"(1, 14, 3)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
198,198,"(1, 14, 4)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
199,199,"(1, 14, 5)",0,-1,0.1,1e-06,0.2,0.3,0.21,3.5,uzfcells
