,WellName,X,Y,TopLayer,BottomLaye,DefaultQ,geometry
0,P1_LN,1520069.9254,5032526.5447,1,1,0.0,POINT (1520069.925370173 5032526.544731205)
1,P2_LN,1520053.2517,5032516.0802,1,1,0.0,POINT (1520053.2516991356 5032516.080162694)
2,P3_LN,1520071.6268,5032513.1484,1,1,0.0,POINT (1520071.6267725884 5032513.148409702)
3,P4_LN,1520033.3387,5032495.6664,1,1,0.0,POINT (1520033.3387340312 5032495.6664045695)
4,P5_LN,1520070.059,5032488.5587,1,1,0.0,POINT (1520070.0589896217 5032488.558709489)
5,P6_LN,1520069.3472,5032413.8679,1,1,0.0,POINT (1520069.3471948486 5032413.867873718)
6,P7_LN,1520067.5943,5032364.9714,1,1,0.0,POINT (1520067.5942612032 5032364.971365421)
7,P8_LN,1520039.4947,5032373.5895,1,1,0.0,POINT (1520039.4946788782 5032373.5894553)
8,P9_LN,1520020.107,5032386.1214,1,1,0.0,POINT (1520020.1070283768 5032386.121410775)
9,P10_LN,1520003.2454,5032396.7066,1,1,0.0,POINT (1520003.2453681524 5032396.706632288)
10,P11_LN,1519988.7709,5032404.4139,1,1,0.0,POINT (1519988.7708637926 5032404.413870674)
11,R1_LN,1519665.3114,5031845.6441,1,1,0.0,POINT (1519665.3113796294 5031845.644088559)
12,R2_LN,1519684.0457,5031835.4845,1,1,0.0,POINT (1519684.0456845243 5031835.484545257)
13,R3_LN,1519704.9982,5031823.7447,1,1,0.0,POINT (1519704.9981911783 5031823.744691556)
14,R4_LN,1519727.858,5031809.7699,1,1,0.0,POINT (1519727.8580398194 5031809.769877778)
15,R5_LN,1519745.6364,5031798.9803,1,1,0.0,POINT (1519745.6363556501 5031798.980346453)
16,R6_LN,1519766.5957,5031786.5929,1,1,0.0,POINT (1519766.5957287394 5031786.592918161)
17,R7_LN,1519788.1827,5031773.2592,1,1,0.0,POINT (1519788.1826706333 5031773.259203762)
18,R8_LN,1519805.0106,5031763.0984,1,1,0.0,POINT (1519805.0106443623 5031763.098440987)
19,R9_LN,1519830.7316,5031747.8582,1,1,0.0,POINT (1519830.7316134868 5031747.858206497)
20,R10_LN,1519847.8747,5031737.3844,1,1,0.0,POINT (1519847.8746855534 5031737.384373382)
21,P12_LN,1519967.0929,5032427.1653,1,1,0.0,POINT (1519967.0928649758 5032427.165302877)
22,S,1518762.0032,5031310.9926,1,1,0.0,POINT (1518762.0031621614 5031310.99261867)
23,P1_EX,1518995.907,5031314.895,1,1,0.0,POINT (1518995.9070342674 5031314.895004329)
24,P2_EX,1519010.7429,5031322.4382,1,1,0.0,POINT (1519010.742862277 5031322.438180535)
