,WellName,X,Y,TopLayer,BottomLaye,DefaultQ,geometry
25,P3_EX,1519025.8164,5031329.9788,1,1,0.0,POINT (1519025.8163736174 5031329.978781033)
26,P4_EX,1519041.909,5031338.2682,1,1,0.0,POINT (1519041.9090084478 5031338.268172097)
27,R1_EX,1519101.7234,5031185.2122,1,1,0.0,POINT (1519101.7233522015 5031185.2121536555)
28,R2_EX,1519121.5788,5031183.7007,1,1,0.0,POINT (1519121.5787917136 5031183.700723278)
29,R3_EX,1519133.1434,5031196.0142,1,1,0.0,POINT (1519133.143405682 5031196.0142200915)
30,R4_EX,1519144.9492,5031210.0884,1,1,0.0,POINT (1519144.949243702 5031210.088373304)
31,R5_EX,1519160.4357,5031226.2654,1,1,0.0,POINT (1519160.435678105 5031226.265407936)
32,P1_SKY,1518884.1911,5031254.9478,1,1,0.0,POINT (1518884.1911373371 5031254.947794444)
33,P2_SKY,1518900.776,5031262.9992,1,1,0.0,POINT (1518900.775969036 5031262.999189201)
34,P3_SKY,1518917.3727,5031274.5576,1,1,0.0,POINT (1518917.372720614 5031274.557642257)
35,P4_SKY,1518937.478,5031284.6102,1,1,0.0,POINT (1518937.478010779 5031284.610154747)
36,R1_SKY,1518911.5844,5031138.135,1,1,0.0,POINT (1518911.584410332 5031138.1349873785)
37,R2_SKY,1518856.9256,5031071.3583,1,1,0.0,POINT (1518856.925561187 5031071.358260818)
38,R3_SKY,1518881.553,5031094.9778,1,1,0.0,POINT (1518881.5530222927 5031094.977783664)
39,R4_SKY,1518894.1165,5031110.56,1,1,0.0,POINT (1518894.1165255853 5031110.560029491)
40,B,1519413.1781,5031940.732,3,3,0.0,POINT (1519413.178085138 5031940.732042627)
41,A,1519420.8711,5031948.1124,3,3,0.0,POINT (1519420.8711345594 5031948.112387511)
42,PC2_AMS,1519264.8579,5031768.3393,1,1,0.0,POINT (1519264.8579102897 5031768.339344891)
43,PROF_P2,1520038.0041,5031872.9992,1,1,0.0,POINT (1520038.0041488714 5031872.999193288)
44,PC3_AMS,1519388.4654,5031690.3563,1,1,0.0,POINT (1519388.4653938627 5031690.3562710555)
45,P1_S1,1518746.0021,5031297.9956,1,1,0.0,POINT (1518746.0021383194 5031297.995552232)
46,P2_S1,1518748.0041,5031291.9915,1,1,0.0,POINT (1518748.0041103866 5031291.991527927)
47,P3_S1,1518749.9975,5031283.9963,1,1,0.0,POINT (1518749.9975468062 5031283.996291143)
48,P4_S1,1518752.0013,5031276.993,1,1,0.0,POINT (1518752.0013121378 5031276.99301873)
49,R1_S1,1518784.0006,5031152.991,1,1,0.0,POINT (1518784.000640601 5031152.990966013)
50,R2_S1,1518781.002,5031162.9926,1,1,0.0,POINT (1518781.0019503238 5031162.992608709)
51,R3_S1,1518778.9982,5031169.9959,1,1,0.0,POINT (1518778.9981849925 5031169.995881123)
52,R4_S1,1518777.0041,5031177.0016,1,1,0.0,POINT (1518777.0041226181 5031177.001572755)
53,636,1518019.0028,5032595.9946,1,2,-0.005,POINT (1518019.00275882 5032595.994603351)
54,637,1518020.0022,5032741.9932,1,2,-0.005,POINT (1518020.002196251 5032741.993170552)
55,808,1519055.001,5032821.9986,3,3,-0.001,POINT (1519055.0010313082 5032821.998552435)
56,826,1519684.0051,5033258.9992,1,3,-0.02,POINT (1519684.005115832 5033258.999199749)
57,828,1519133.9997,5033304.9972,1,1,-0.0214,POINT (1519133.9996853948 5033304.997180024)
58,830,1518029.0029,5032427.9935,1,1,-0.003,POINT (1518029.0029482383 5032427.993517904)
59,832,1519688.0062,5033299.9949,3,3,-0.02,POINT (1519688.0062080864 5033299.994899045)
60,833,1519631.001,5033315.9995,1,3,-0.05,POINT (1519631.001045948 5033315.99950743)
61,838,1520107.9986,5034201.9935,1,1,0.0,POINT (1520107.9985744532 5034201.993460625)
62,878,1518003.0052,5032273.9998,1,1,0.0,POINT (1518003.0051521778 5032273.999810564)
63,2503,1519820.0039,5032380.0003,1,1,-0.005,POINT (1519820.003949582 5032380.000270614)
64,2505,1519740.0015,5032299.9996,1,1,0.0,POINT (1519740.0014589045 5032299.999553209)
65,2550,1517747.0035,5032975.0001,1,1,-0.01,POINT (1517747.0034880463 5032975.000107398)
66,2551,1517591.9992,5032844.9996,1,1,-0.008,POINT (1517591.999167049 5032844.999597507)
67,2559,1517866.0036,5032951.9955,1,1,-0.012,POINT (1517866.0036164483 5032951.995509155)
68,4740,1519004.9995,5033871.9914,1,1,-0.0225,POINT (1519004.9995208841 5033871.991366199)
69,4741,1519003.9995,5033866.9909,1,1,-0.0225,POINT (1519003.9995361397 5033866.9909131685)
70,5196,1517585.0036,5032026.9991,1,1,0.0,POINT (1517585.0035983287 5032026.999105748)
71,21/5,1517647.0034,5031648.0003,1,3,-0.008,POINT (1517647.0033604011 5031648.000322104)
72,21/6,1517718.0031,5031736.0007,1,3,-0.008,POINT (1517718.003136498 5031736.000710139)
73,21/7,1517732.0029,5031598.998,3,3,-0.008,POINT (1517732.0029449 5031598.998004455)
74,24/8,1519287.003,5033825.998,2,3,-0.0121,POINT (1519287.00303495 5033825.997991084)
75,24/9,1518987.9992,5033785.9941,2,3,-0.0121,POINT (1518987.999154272 5033785.994119528)
76,24/10,1519032.9991,5033689.9991,2,3,-0.0121,POINT (1519032.9991337163 5033689.999138669)
77,24/11,1519071.9969,5033544.9963,3,3,-0.0121,POINT (1519071.9968841071 5033544.996345716)
78,24/12,1518891.998,5033665.9948,2,3,-0.0121,POINT (1518891.9979623244 5033665.994837677)
79,5352/1-2,1519361.0041,5030790.998,1,1,0.0,POINT (1519361.004133181 5030790.998006757)
80,19/14,1520608.9996,5033181.9984,2,3,-0.0104,POINT (1520608.9995933163 5033181.998363236)
81,19/15,1520503.9995,5033213.997,2,3,-0.0104,POINT (1520503.999462638 5033213.997029733)
82,21/14,1517845.0024,5031586.9986,1,3,-0.008,POINT (1517845.0024262131 5031586.998620181)
83,21/16,1517749.0031,5031492.9919,1,3,-0.008,POINT (1517749.003124177 5031492.991885271)
84,24/13,1518892.0002,5033565.995,2,3,-0.0121,POINT (1518892.000190236 5033565.994952702)
85,24/14,1518892.0004,5033435.9934,2,3,-0.0121,POINT (1518892.0004175554 5033435.993406173)
86,24/19,1518876.0038,5033774.9932,2,3,-0.0121,POINT (1518876.00377354 5033774.993210716)
87,24/20,1519265.9989,5033456.9957,2,3,-0.0121,POINT (1519265.9988608349 5033456.995675685)
88,5257/1,1518837.0009,5031112.9948,1,1,0.0,POINT (1518837.0009146428 5031112.994836806)
89,5257/2,1518849.9968,5031075.9999,1,1,0.0,POINT (1518849.9968278052 5031075.99992579)
90,5426/p1-p2,1520457.9976,5032331.9991,1,1,0.0,POINT (1520457.9976298579 5032331.999070335)
91,5426/r1-r2-r3,1520497.9975,5032294.9968,1,1,0.0,POINT (1520497.9974602459 5032294.996778934)
92,5600/p1,1519559.9978,5033463.9985,1,1,-0.008,POINT (1519559.9977579908 5033463.998458775)
93,5600/p2,1519593.9975,5033411.9991,1,1,-0.008,POINT (1519593.997470598 5033411.999131446)
94,5600/p3,1519634.9982,5033369.9903,1,1,-0.008,POINT (1519634.9982316792 5033369.990270586)
95,5600/r1,1519433.0009,5033336.9925,1,1,0.006,POINT (1519433.0009254925 5033336.992525309)
96,5600/r2,1519443.996,5033326.9955,1,1,0.006,POINT (1519443.996019864 5033326.995525772)
97,5600/r3,1519469.0021,5033304.9914,1,1,0.006,POINT (1519469.0020808592 5033304.991423574)
98,5600/r4,1519482.0045,5033285.9927,1,1,0.006,POINT (1519482.0045270908 5033285.992655404)
99,5600/sca,1519518.9951,5033226.9991,1,1,0.024,POINT (1519518.9951309627 5033226.999132665)
100,5636/1,1519078.0002,5033219.9947,1,1,-0.0214,POINT (1519078.0002117604 5033219.994745632)
101,5636/2,1519088.0037,5033340.9992,1,1,0.0214,POINT (1519088.0037403957 5033340.999166686)
102,5636/3,1519071.9995,5033226.9908,1,1,0.0214,POINT (1519071.999453991 5033226.990844987)
103,5686/p1,1519568.0019,5033226.9948,1,1,-0.006,POINT (1519568.0018864288 5033226.994811486)
104,5686/p2,1519571.9988,5033222.9929,1,2,-0.006,POINT (1519571.998768186 5033222.99286993)
105,5686/r1,1519546.9999,5033241.0,1,1,0.006,POINT (1519546.9998802487 5033240.99997969)
106,5686/r2,1519545.005,5033238.9979,1,1,0.006,POINT (1519545.0049705587 5033238.997896942)
107,5686/sca,1519518.9951,5033226.9991,1,1,0.012,POINT (1519518.9951309627 5033226.999132665)
108,5700/p1,1519594.0014,5033191.995,1,1,0.0,POINT (1519594.0013990991 5033191.995019474)
109,5700/r1,1519594.0014,5033191.995,1,1,0.0,POINT (1519594.0013990991 5033191.995019474)
110,5700/sca,1519549.9958,5033195.998,1,1,0.008,POINT (1519549.9958332987 5033195.998015674)
111,5740/p1,1518741.9974,5032159.9917,1,1,0.0,POINT (1518741.9974402024 5032159.99169752)
112,5740/p2,1518750.9971,5032173.9949,1,1,0.0,POINT (1518750.9970955763 5032173.994865132)
113,5740/p3,1518797.9981,5032196.9987,1,1,0.0,POINT (1518797.9980831328 5032196.998746732)
114,5740/p4,1518819.9998,5032198.9906,1,1,0.0,POINT (1518819.9997540636 5032198.990599201)
115,5740/p5,1518770.9994,5032143.9927,1,1,0.0,POINT (1518770.999437006 5032143.992676256)
116,5740/p6,1518808.9982,5032148.994,1,1,0.0,POINT (1518808.9982392895 5032148.993978589)
117,5740/r1,1518942.9974,5031919.9992,1,1,0.0,POINT (1518942.997440223 5031919.999195571)
118,5740/r2,1518949.0042,5031910.9949,1,1,0.0,POINT (1518949.0042037398 5031910.994897039)
119,5740/r3,1518951.9971,5031887.9958,1,1,0.0,POINT (1518951.9970975826 5031887.995771264)
120,5740/r4,1518975.0029,5031912.9939,1,1,0.0,POINT (1518975.0028671082 5031912.993922566)
121,5740/r5,1518983.0011,5031911.9993,1,1,0.0,POINT (1518983.0010644672 5031911.999317614)
122,5740/r6,1518993.9988,5031932.9935,1,1,0.0,POINT (1518993.998785385 5031932.993524782)
123,5740/r7,1519003.0038,5031943.9989,1,1,0.0,POINT (1519003.0038205518 5031943.998948066)
124,5740/r8,1519006.0038,5031959.0003,1,1,0.0,POINT (1519006.0037747857 5031959.000307158)
125,5883/sca,1518762.0032,5031310.9926,1,1,0.006,POINT (1518762.0031621614 5031310.99261867)
126,5884/2,1517111.0055,5032707.9971,1,1,0.0,POINT (1517111.00549408 5032707.997137807)
127,5884/3,1517111.0055,5032707.9971,1,1,0.0,POINT (1517111.00549408 5032707.997137807)
128,80/1,1518111.9994,5033659.998,1,1,0.0,POINT (1518111.9994427366 5033659.997985103)
129,80/2,1518132.002,5033660.9967,1,1,0.0,POINT (1518132.0019914939 5033660.996705891)
130,80/3,1518151.9966,5033660.9938,1,1,0.0,POINT (1518151.9966305583 5033660.993759351)
131,80/4,1518173.0002,5033660.995,1,1,0.0,POINT (1518173.0002206895 5033660.995025293)
132,80/5,1518194.0038,5033660.9963,1,1,0.0,POINT (1518194.0038108206 5033660.996291236)
133,80/6,1518213.9984,5033660.9933,1,1,0.0,POINT (1518213.998449885 5033660.993344695)
134,80/7,1518234.001,5033661.9921,1,1,0.0,POINT (1518234.0009986425 5033661.992065484)
135,80/8,1518254.0029,5033662.0012,1,1,0.0,POINT (1518254.0029214453 5033662.00124112)
136,82/1,1517935.998,5032876.9907,1,1,0.0,POINT (1517935.9980479993 5032876.9907322945)
137,82/2,1517926.9994,5032829.9979,1,1,0.0,POINT (1517926.999352608 5032829.997861759)
138,82/3,1517963.0035,5032863.998,1,1,0.0,POINT (1517963.003452529 5032863.997991007)
139,82/4,1517969.0021,5032822.9911,1,1,0.0,POINT (1517969.0020990258 5032822.9911154825)
140,sc_bonf,1519849.0033,5032401.9993,1,1,0.0,POINT (1519849.0033038193 5032401.999314999)
141,6,1520684.9963,5030705.9958,1,1,0.0,POINT (1520684.996261876 5030705.995762356)
142,77,1520590.0002,5030832.9966,1,1,0.0,POINT (1520590.000189141 5030832.9966000095)
143,78,1520457.0006,5030728.9917,1,1,0.0,POINT (1520457.0005962953 5030728.9916962655)
144,81,1520370.0037,5030729.995,1,1,0.0,POINT (1520370.0036848735 5030729.995042205)
145,5814/1,1516905.0028,5033255.9986,1,1,-0.0035,POINT (1516905.0027911395 5033255.998557587)
146,5814/2,1516905.0028,5033255.9986,1,1,0.0,POINT (1516905.0027911395 5033255.998557587)
147,P3_S2,1518721.519,5031460.3038,1,1,0.0,POINT (1518721.5189680741 5031460.303785463)
148,P2_S2,1518730.2706,5031461.8262,1,1,0.0,POINT (1518730.270618222 5031461.826224193)
149,P1_S2,1518734.9061,5031458.942,1,1,0.0,POINT (1518734.9060758126 5031458.9419681495)
150,R1_S2,1518792.863,5031402.4551,1,1,0.0,POINT (1518792.8630489544 5031402.455128405)
151,R2_S2,1518789.6421,5031398.5499,1,1,0.0,POINT (1518789.642130254 5031398.549916154)
152,R3_S2,1518784.7003,5031392.577,1,1,0.0,POINT (1518784.700325642 5031392.576963184)
153,R4_S2,1518781.4843,5031388.6936,1,1,0.0,POINT (1518781.4842714611 5031388.693576067)
154,19/16,1520751.9961,5032391.9959,1,3,-0.0095,POINT (1520751.996094353 5032391.9958983725)
155,19/18,1520458.9982,5032383.9957,1,3,-0.0095,POINT (1520458.9982385708 5032383.995660437)
156,19/19,1520823.9999,5032383.9976,1,3,-0.0095,POINT (1520823.9998763702 5032383.997606353)
157,19/20,1520653.0013,5032404.9929,1,3,-0.0095,POINT (1520653.0012539215 5032404.9929468045)
158,19/21,1520382.003,5032502.9936,1,3,-0.0095,POINT (1520382.0029518392 5032502.993560928)
