,COD,LITOLOGIA,geometry
0,301,"Gravel, sand and silt","MULTIPOLYGON (((1519154.2891229123 5029215.36669908, 1518285.031515481 5028998.8112532245, 1518283.680115839 5029000.673685662, 1518244.1639306997 5029063.344735484, 1518191.5218759044 5029144.789695031, 1518139.0194972802 5029219.882933884, 1518086.937347188 5029275.922110663, 1518054.473763495 5029306.977033219, 1518015.9375115884 5029325.188938221, 1517888.1831194344 5029354.1381181115, 1517837.0814025726 5029365.717550066, 1517813.1666572622 5029370.479183002, 1517344.7154281472 5031258.3015048625, 1517363.3663049324 5031248.879434834, 1517434.2269642884 5031205.963527953, 1517550.3965245862 5031125.922630204, 1517583.420012924 5031069.462624931, 1517610.511009219 5030993.807481409, 1517637.6026055298 5030918.152537889, 1517658.481357453 5030836.005797507, 1517726.3492243993 5030640.517518018, 1517760.7739744966 5030520.543505862, 1517788.1449231575 5030432.186220968, 1517834.4344573363 5030350.600585271, 1517887.2167882593 5030262.804905074, 1517933.3661462707 5030187.570690062, 1517998.714042153 5030106.406482896, 1518063.9211618542 5030031.593996423, 1518160.8925843851 5029957.483690844, 1518238.2455405307 5029908.357039476, 1518334.5164821881 5029866.002937334, 1518437.0002682372 5029830.140232054, 1518539.4840542902 5029794.277926787, 1518610.063761351 5029764.065561326, 1518687.136665159 5029727.641651348, 1518726.0935455982 5029690.375384291, 1518772.2429036554 5029615.141669294, 1518818.1122093622 5029552.610695672, 1518864.5414197755 5029464.674039295, 1518917.043798412 5029389.580500469, 1518969.2658246905 5029327.189303017, 1519046.8986332288 5029265.360610305, 1519130.4642338024 5029222.726055842, 1519154.2891229123 5029215.36669908)), ((1521805.666224396 5030527.145486923, 1521866.669985749 5030282.196445181, 1521958.382607898 5029913.941793127, 1520878.2271289725 5029644.846016073, 1520893.3520904062 5029693.781817824, 1520916.9426822732 5029776.911391493, 1520939.9732694074 5029885.446047896, 1520969.0760247277 5030006.8243218595, 1520985.613215105 5030121.570122749, 1521000.4709913088 5030312.532971856, 1521010.6561611425 5030427.138996552, 1521002.0626216554 5030528.620751312, 1520978.9439506966 5030712.389922584, 1520958.2054748344 5030788.184942215, 1520937.6067751544 5030857.629141175, 1520910.5156787452 5030933.284484633, 1520877.211837959 5031002.447531208, 1520843.90809718 5031071.611077795, 1520817.2366293126 5031128.2121592, 1520784.213240904 5031184.672364406, 1520737.783530467 5031272.6090206625, 1520624.60616232 5031505.223690745, 1520591.02186919 5031587.090078684, 1520563.3704680826 5031688.151004851, 1520535.5792908012 5031795.562751681, 1520520.353578455 5031909.606971556, 1520498.7743455414 5032023.510515244, 1520469.0227017554 5032219.841551565, 1520461.5502717758 5032270.512440815, 1520460.149609973 5032334.026047604, 1520465.1019687299 5032397.680430577, 1520464.2622116625 5032435.789054654, 1520463.5620307652 5032467.546058045, 1520462.302145156 5032524.708244142, 1520461.3215118942 5032569.168088893, 1520453.848681906 5032619.837978119, 1520452.4484201146 5032683.352084902, 1520438.7627457583 5032727.53147729, 1520418.7244508488 5032771.569893483, 1520385.9804148304 5032815.327157306, 1520346.8837582662 5032858.944744958, 1520307.9273778857 5032896.21081193, 1520237.2074947497 5032932.774497983, 1520069.9357177273 5033024.395627427, 1519973.2446476796 5033085.803591481, 1519921.303073855 5033135.490847434, 1519881.7856887619 5033198.162597123, 1519848.7623004203 5033254.622602296, 1519815.7383120721 5033311.083207485, 1519769.8689064488 5033373.614180985, 1519743.757943364 5033404.809479643, 1519705.361367704 5033416.669963916, 1519673.5973649418 5033415.967783015, 1519622.776100549 5033414.845373589, 1519584.6595772407 5033414.003016512, 1519533.5578604836 5033425.58234842, 1519495.0216086553 5033443.794253373, 1519455.9249521177 5033487.411141023, 1519416.688219408 5033537.380049363, 1519343.727217488 5033675.565366247, 1519250.868596899 5033851.438978661, 1519138.810938487 5034033.241683197, 1519054.0318123335 5034147.476434982, 1520534.2418035942 5034516.534235892, 1520546.3677692872 5034477.39011505, 1520561.0335768745 5034388.751578004, 1520569.346663917 5034299.972664768, 1520584.1525476866 5034204.982707041, 1520592.7457870892 5034103.5008524535, 1520607.1315423278 5034027.565156739, 1520627.7300419374 5033958.121057876, 1520648.1884653699 5033895.028479686, 1520680.7923251882 5033857.622236558, 1520713.8161135416 5033801.161731405, 1521006.9702995971 5033477.2075845795, 1521072.3178954376 5033396.043377639, 1521108.014043928 5033328.4355924, 1521154.1637693297 5033143.130116752, 1521155.2719987144 5033092.861599427, 1521163.1650572575 5033023.136848176, 1521171.478044341 5032934.357834894, 1521188.1042185174 5032756.799808319, 1521190.0646850567 5032667.8802188365, 1521198.5177483303 5032572.749984863, 1521218.8361956212 5032516.008627318, 1521291.0966167862 5032409.579313833, 1521317.4877322703 5032365.681073827, 1521344.5789286662 5032290.026030435, 1521358.9646839574 5032214.090234667, 1521373.9106439827 5032112.748756178, 1521376.150962899 5032011.1265253145, 1521385.0242547404 5031896.941929271, 1521380.6319007429 5031807.882163572, 1521389.5050925864 5031693.697667524, 1521410.1034922588 5031624.253368597, 1521443.267456865 5031561.441542726, 1521476.2912452852 5031504.980937535, 1521535.2861206655 5031423.676254364, 1521593.7209913163 5031367.777153918, 1521596.692232018 5031366.240946723, 1521805.666224396 5030527.145486923)))"
1,205,Gravel and sand,"MULTIPOLYGON (((1518285.031515481 5028998.8112532245, 1517927.496282395 5028909.73961192, 1517813.1666572622 5029370.479183002, 1517837.0814025726 5029365.717550066, 1517888.1831194344 5029354.1381181115, 1518015.9375115884 5029325.188938221, 1518054.473763495 5029306.977033219, 1518086.937347188 5029275.922110663, 1518139.0194972802 5029219.882933884, 1518191.5218759044 5029144.789695031, 1518244.1639306997 5029063.344735484, 1518283.680115839 5029000.673685662, 1518285.031515481 5028998.8112532245)), ((1521154.1636185818 5033143.1307220515, 1521596.6922621175 5031366.2408258645, 1521593.7207913124 5031367.777153915, 1521535.2860206626 5031423.676254364, 1521476.2913452883 5031504.980937534, 1521443.2674568659 5031561.441742731, 1521410.1037922648 5031624.253368596, 1521389.5050925852 5031693.697467517, 1521380.632100747 5031807.882263574, 1521385.0240547361 5031896.941829272, 1521376.150962899 5032011.1265253145, 1521373.9104439793 5032112.748756178, 1521358.9646839574 5032214.090234667, 1521344.5789286664 5032290.026130435, 1521317.4878322734 5032365.681373831, 1521291.0965167836 5032409.579113831, 1521218.836295623 5032516.008727316, 1521198.5179483336 5032572.750084869, 1521190.0645850562 5032667.880518841, 1521188.1045185225 5032756.799808318, 1521171.478044341 5032934.357834894, 1521163.1648572537 5033023.136848179, 1521155.271898712 5033092.861499426, 1521154.1636185818 5033143.1307220515)), ((1516769.1486846209 5033577.7910880195, 1519054.0318123335 5034147.476434982, 1519138.810938487 5034033.241683197, 1519250.868596899 5033851.438978661, 1519343.727217488 5033675.565366247, 1519416.688219408 5033537.380049363, 1519455.9249521177 5033487.411141023, 1519495.0216086553 5033443.794253373, 1519533.5578604836 5033425.58234842, 1519584.6595772407 5033414.003016512, 1519622.776100549 5033414.845373589, 1519673.5973649418 5033415.967783015, 1519705.361367704 5033416.669963916, 1519743.757943364 5033404.809479643, 1519769.8689064488 5033373.614180985, 1519815.7383120721 5033311.083207485, 1519848.7623004203 5033254.622602296, 1519881.7856887619 5033198.162597123, 1519921.303073855 5033135.490847434, 1519973.2446476796 5033085.803591481, 1520069.9357177273 5033024.395627427, 1520237.2074947497 5032932.774497983, 1520307.9273778857 5032896.21081193, 1520346.8837582662 5032858.944744958, 1520385.9804148304 5032815.327157306, 1520418.7244508488 5032771.569893483, 1520438.7627457583 5032727.53147729, 1520452.4484201146 5032683.352084902, 1520453.848681906 5032619.837978119, 1520461.3215118942 5032569.168088893, 1520462.302145156 5032524.708244142, 1520463.5620307652 5032467.546058045, 1520464.2622116625 5032435.789054654, 1520465.1019687299 5032397.680430577, 1520460.149609973 5032334.026047604, 1520461.5502717758 5032270.512440815, 1520469.0227017554 5032219.841551565, 1520498.7743455414 5032023.510515244, 1520520.353578455 5031909.606971556, 1520535.5792908012 5031795.562751681, 1520563.3704680826 5031688.151004851, 1520591.02186919 5031587.090078684, 1520624.60616232 5031505.223690745, 1520737.783530467 5031272.6090206625, 1520784.213240904 5031184.672364406, 1520817.2366293126 5031128.2121592, 1520843.90809718 5031071.611077795, 1520877.211837959 5031002.447531208, 1520910.5156787452 5030933.284484633, 1520937.6067751544 5030857.629141175, 1520958.2054748344 5030788.184942215, 1520978.9439506966 5030712.389922584, 1521002.0626216554 5030528.620751312, 1521010.6561611425 5030427.138996552, 1521000.4709913088 5030312.532971856, 1520985.613215105 5030121.570122749, 1520969.0760247277 5030006.8243218595, 1520939.9732694074 5029885.446047896, 1520916.9426822732 5029776.911391493, 1520893.3520904062 5029693.781817824, 1520878.2271289725 5029644.846016073, 1519154.2891229123 5029215.36669908, 1519130.4642338024 5029222.726055842, 1519046.8986332288 5029265.360610305, 1518969.2658246905 5029327.189303017, 1518917.043798412 5029389.580500469, 1518864.5414197755 5029464.674039295, 1518818.1122093622 5029552.610695672, 1518772.2429036554 5029615.141669294, 1518726.0935455982 5029690.375384291, 1518687.136665159 5029727.641651348, 1518610.063761351 5029764.065561326, 1518539.4840542902 5029794.277926787, 1518437.0002682372 5029830.140232054, 1518334.5164821881 5029866.002937334, 1518238.2455405307 5029908.357039476, 1518160.8925843851 5029957.483690844, 1518063.9211618542 5030031.593996423, 1517998.714042153 5030106.406482896, 1517933.3661462707 5030187.570690062, 1517887.2167882593 5030262.804905074, 1517834.4344573363 5030350.600585271, 1517788.1449231575 5030432.186220968, 1517760.7739744966 5030520.543505862, 1517726.3492243993 5030640.517518018, 1517658.481357453 5030836.005797507, 1517637.6026055298 5030918.152537889, 1517610.511009219 5030993.807481409, 1517583.420012924 5031069.462624931, 1517550.3965245862 5031125.922630204, 1517434.2269642884 5031205.963527953, 1517363.3663049324 5031248.879434834, 1517344.7154281472 5031258.3015048625, 1516769.1486846209 5033577.7910880195)), ((1520534.2418821927 5034516.534255489, 1520795.8759486664 5034581.766954758, 1521108.0141470917 5033328.435178165, 1521072.3176954323 5033396.043177636, 1521006.9703995988 5033477.207584578, 1520713.8161135423 5033801.161931409, 1520680.792125184 5033857.622036556, 1520648.1883653684 5033895.028479687, 1520627.729841934 5033958.121057876, 1520607.1316423297 5034027.565156737, 1520592.7457870904 5034103.501052458, 1520584.1526476885 5034204.982807043, 1520569.3466639174 5034299.972764772, 1520561.0334768735 5034388.751678006, 1520546.3676692871 5034477.390415056, 1520534.2418821927 5034516.534255489)))"
