,geometry,segname,from_id,to_id,streamwid
0,"LINESTRING (1519819.2864924623 5034482.958425194, 1519819.2864924623 5034332.958425194, 1519820.9798291838 5034256.758272793, 1519827.1887304904 5034209.485956026, 1519840.94709134 5034156.569183525, 1519866.3471421413 5034120.585778227, 1519894.9221992902 5034098.360733775, 1519907.6222246895 5034066.610670274, 1519916.0889082896 5034011.577226877, 1519922.4389209896 5033970.302144328, 1519937.2556172898 5033937.493745377)",1001,0,1002,15
1,"LINESTRING (1519937.2556172898 5033937.493745377, 1519964.772338991 5033905.743681878, 1520017.6891114907 5033845.418561228, 1520052.6141813397 5033814.726833178, 1520086.480915741 5033810.493491376, 1520130.9310046406 5033808.376820475, 1520157.3893908914 5033809.435155926, 1520176.4394289907 5033776.626756975, 1520185.9644480413 5033730.059997175, 1520178.5560998907 5033682.434901923, 1520165.8560744915 5033660.209857477, 1520164.797739042 5033624.2264521755, 1520189.1394543918 5033590.359717773)",1002,1001,1003,15
2,"LINESTRING (1520189.1394543918 5033590.359717773, 1520233.5895432914 5033550.142970676, 1520251.581245943 5033538.924614908, 1520263.2229358917 5033508.232886858, 1520265.3396067917 5033474.366152456, 1520283.3313094433 5033419.3327090535, 1520286.506315792 5033379.115961956, 1520305.5563538931 5033352.657575706, 1520351.0647782432 5033335.724208506, 1520391.2815253437 5033303.974145006, 1520415.6232406935 5033276.457423307, 1520433.6149433423 5033241.532353455, 1520433.6149433423 5033207.665619055)",1003,1002,1004,15
3,"LINESTRING (1520433.6149433423 5033207.665619055, 1520420.914917943 5033163.215530153, 1520393.3981962418 5033134.640473001, 1520389.1648544427 5033113.473764002, 1520392.3398607941 5033093.365390452, 1520413.5065697934 5033089.132048655, 1520450.5483105425 5033091.248719551, 1520481.2400385933 5033100.773738604, 1520506.6400893936 5033102.890409505, 1520539.4484883416 5033118.765441254, 1520563.5785366017 5033134.640473001, 1520606.9702900536 5033152.632175656, 1520646.1287017036 5033156.865517452)",1004,1003,1005,15
4,"LINESTRING (1520646.1287017036 5033156.865517452, 1520692.6954615023 5033146.282162953, 1520737.1455504037 5033128.290460303, 1520808.054025555 5033099.715403153, 1520871.5541525558 5033064.790333303, 1520903.3042160533 5033038.331947053, 1520931.879273205 5033001.290206302, 1520954.1043176549 5032961.073459202, 1520954.1043176549 5032910.273357602, 1520943.5209631538 5032859.473255999, 1520921.295918704 5032802.534808794, 1520895.8958679037 5032762.318061696, 1520884.254177955 5032717.867972791)",1005,1004,1006,15
5,"LINESTRING (1520884.254177955 5032717.867972791, 1520880.0208361559 5032649.076168543, 1520881.0791716035 5032594.042725146, 1520895.8958679037 5032554.884313492, 1520905.4208869543 5032532.659269046, 1520908.5958933048 5032481.859167444, 1520898.0125388047 5032436.350743094, 1520891.6625261046 5032367.55893884, 1520884.254177955 5032289.24211554, 1520873.670823454 5032229.975330342, 1520880.0208361559 5032180.233564191, 1520877.4808310736 5032147.086497897)",1006,1005,1007,15
6,"LINESTRING (1520877.4808310736 5032147.086497897, 1520871.5541525558 5032111.526426772, 1520864.7808056744 5032070.886345498, 1520869.8608158333 5032017.546238815, 1520877.4808310736 5031972.6728157345, 1520889.334188113 5031916.792703973, 1520913.0409021946 5031880.385964496, 1520924.0475908741 5031844.825893374, 1520930.8209377546 5031809.265822254, 1520927.4342643134 5031787.252444895, 1520910.500897115 5031769.472409332, 1520904.5742185945 5031748.305700336, 1520909.6542287553 5031715.28563429)",1007,1006,1008,15
7,"LINESTRING (1520909.6542287553 5031715.28563429, 1520910.500897115 5031659.4055225365, 1520913.8875705544 5031611.992094373, 1520923.2009225143 5031595.90539553, 1520927.4342643134 5031569.828010045, 1520945.2142998734 5031529.187928766, 1520957.9143252755 5031503.787877962, 1520965.5343405139 5031469.921143562, 1520985.0077127954 5031424.201052124, 1521010.4077635938 5031397.954332963, 1521043.4278296353 5031374.247618884, 1521064.5945386346 5031353.080909882, 1521080.681237476 5031320.060843842)",1008,1007,1009,15
8,"LINESTRING (1521080.681237476 5031320.060843842, 1521118.7813136755 5031245.554028163, 1521158.5747265955 5031182.053901162, 1521191.594792637 5031115.167100722, 1521228.8482004767 5031052.513642084, 1521255.9415879976 5031006.79355064, 1521293.1949958354 5030933.980071679, 1521316.0550415562 5030878.946628282, 1521342.3017607173 5030796.819797359, 1521369.3951482354 5030699.452935958, 1521391.4085255964 5030616.479436681, 1521406.6485560779 5030558.397987183, 1521434.5886119558 5030483.891171504)",1009,1008,1010,15
9,"LINESTRING (1521434.5886119558 5030483.891171504, 1521474.3820248777 5030413.617697619, 1521521.7954530371 5030366.204269461, 1521535.3421467962 5030334.030871781, 1521542.1154936776 5030285.77077526, 1521559.8955292376 5030265.450734621, 1521603.9222839586 5030264.604066264, 1521644.5623652376 5030275.6107549425, 1521686.0491148774 5030301.010805741, 1521724.1491910797 5030331.490866704, 1521784.2626446383 5030319.637509661, 1521877.2268305663 5030271.716080483)",1010,1009,0,15
