,obsnme,obsval,weight,obgnme,datetime,oname,otype,usecol
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-01-02,oname:sfr_otype:lst_usecol:gage_1_datetime:2021-01-02,1613.698187392912,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-01-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-02-02,oname:sfr_otype:lst_usecol:gage_1_datetime:2021-02-02,2042.361294718659,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-02-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-03-02,oname:sfr_otype:lst_usecol:gage_1_datetime:2021-03-02,2616.31262888507,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-03-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-04-02,oname:sfr_otype:lst_usecol:gage_1_datetime:2021-04-02,3278.562840404808,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-04-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-05-02,oname:sfr_otype:lst_usecol:gage_1_datetime:2021-05-02,3776.705398229161,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-05-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-06-02,oname:sfr_otype:lst_usecol:gage_1_datetime:2021-06-02,4003.280235208877,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-06-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-07-02,oname:sfr_otype:lst_usecol:gage_1_datetime:2021-07-02,3884.292361909281,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-07-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-08-02,oname:sfr_otype:lst_usecol:gage_1_datetime:2021-08-02,3443.39328592218,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-08-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-09-02,oname:sfr_otype:lst_usecol:gage_1_datetime:2021-09-02,2814.405686500751,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-09-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-10-02,oname:sfr_otype:lst_usecol:gage_1_datetime:2021-10-02,2182.610102192732,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-10-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-11-02,oname:sfr_otype:lst_usecol:gage_1_datetime:2021-11-02,1689.348154526076,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-11-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2021-12-02,oname:sfr_otype:lst_usecol:gage_1_datetime:2021-12-02,1484.212968463238,1.0,oname:sfr_otype:lst_usecol:gage_1,2021-12-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:gage_1_datetime:2022-01-02,oname:sfr_otype:lst_usecol:gage_1_datetime:2022-01-02,1761.822891016682,1.0,oname:sfr_otype:lst_usecol:gage_1,2022-01-02,sfr,lst,gage
oname:sfr_otype:lst_usecol:headwater_datetime:2020-01-02,oname:sfr_otype:lst_usecol:headwater_datetime:2020-01-02,-1015.320913144039,1.0,oname:sfr_otype:lst_usecol:headwater,2020-01-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-02-02,oname:sfr_otype:lst_usecol:headwater_datetime:2020-02-02,-1206.637862921968,1.0,oname:sfr_otype:lst_usecol:headwater,2020-02-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-03-02,oname:sfr_otype:lst_usecol:headwater_datetime:2020-03-02,-1521.896546458194,1.0,oname:sfr_otype:lst_usecol:headwater,2020-03-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-04-02,oname:sfr_otype:lst_usecol:headwater_datetime:2020-04-02,-1898.092776935767,1.0,oname:sfr_otype:lst_usecol:headwater,2020-04-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-05-02,oname:sfr_otype:lst_usecol:headwater_datetime:2020-05-02,-2198.764123021579,1.0,oname:sfr_otype:lst_usecol:headwater,2020-05-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-06-02,oname:sfr_otype:lst_usecol:headwater_datetime:2020-06-02,-2358.272025656634,1.0,oname:sfr_otype:lst_usecol:headwater,2020-06-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-07-02,oname:sfr_otype:lst_usecol:headwater_datetime:2020-07-02,-2315.576656479016,1.0,oname:sfr_otype:lst_usecol:headwater,2020-07-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-08-02,oname:sfr_otype:lst_usecol:headwater_datetime:2020-08-02,-2075.497365608828,1.0,oname:sfr_otype:lst_usecol:headwater,2020-08-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-09-02,oname:sfr_otype:lst_usecol:headwater_datetime:2020-09-02,-1709.781154950835,1.0,oname:sfr_otype:lst_usecol:headwater,2020-09-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-10-02,oname:sfr_otype:lst_usecol:headwater_datetime:2020-10-02,-1324.895629252271,1.0,oname:sfr_otype:lst_usecol:headwater,2020-10-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-11-02,oname:sfr_otype:lst_usecol:headwater_datetime:2020-11-02,-1004.697796317973,1.0,oname:sfr_otype:lst_usecol:headwater,2020-11-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2020-12-02,oname:sfr_otype:lst_usecol:headwater_datetime:2020-12-02,-847.7394811540516,1.0,oname:sfr_otype:lst_usecol:headwater,2020-12-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-01-02,oname:sfr_otype:lst_usecol:headwater_datetime:2021-01-02,-892.1205116104022,1.0,oname:sfr_otype:lst_usecol:headwater,2021-01-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-02-02,oname:sfr_otype:lst_usecol:headwater_datetime:2021-02-02,-1121.784282461512,1.0,oname:sfr_otype:lst_usecol:headwater,2021-02-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-03-02,oname:sfr_otype:lst_usecol:headwater_datetime:2021-03-02,-1450.57361937468,1.0,oname:sfr_otype:lst_usecol:headwater,2021-03-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-04-02,oname:sfr_otype:lst_usecol:headwater_datetime:2021-04-02,-1846.801082732861,1.0,oname:sfr_otype:lst_usecol:headwater,2021-04-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-05-02,oname:sfr_otype:lst_usecol:headwater_datetime:2021-05-02,-2161.420112160448,1.0,oname:sfr_otype:lst_usecol:headwater,2021-05-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-06-02,oname:sfr_otype:lst_usecol:headwater_datetime:2021-06-02,-2325.728559257242,1.0,oname:sfr_otype:lst_usecol:headwater,2021-06-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-07-02,oname:sfr_otype:lst_usecol:headwater_datetime:2021-07-02,-2285.91157907837,1.0,oname:sfr_otype:lst_usecol:headwater,2021-07-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-08-02,oname:sfr_otype:lst_usecol:headwater_datetime:2021-08-02,-2048.696502589591,1.0,oname:sfr_otype:lst_usecol:headwater,2021-08-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-09-02,oname:sfr_otype:lst_usecol:headwater_datetime:2021-09-02,-1684.631747487347,1.0,oname:sfr_otype:lst_usecol:headwater,2021-09-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-10-02,oname:sfr_otype:lst_usecol:headwater_datetime:2021-10-02,-1302.901735688616,1.0,oname:sfr_otype:lst_usecol:headwater,2021-10-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-11-02,oname:sfr_otype:lst_usecol:headwater_datetime:2021-11-02,-987.481225936028,1.0,oname:sfr_otype:lst_usecol:headwater,2021-11-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2021-12-02,oname:sfr_otype:lst_usecol:headwater_datetime:2021-12-02,-835.6982431163487,1.0,oname:sfr_otype:lst_usecol:headwater,2021-12-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:headwater_datetime:2022-01-02,oname:sfr_otype:lst_usecol:headwater_datetime:2022-01-02,-970.087746665297,1.0,oname:sfr_otype:lst_usecol:headwater,2022-01-02,sfr,lst,headwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-01-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2020-01-02,-724.7188602769991,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-01-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-02-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2020-02-02,-867.901916435975,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-02-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-03-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2020-03-02,-1101.724491914208,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-03-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-04-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2020-04-02,-1375.523161773782,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-04-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-05-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2020-05-02,-1581.861774455422,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-05-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-06-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2020-06-02,-1675.595842464744,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-06-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-07-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2020-07-02,-1619.813790877721,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-07-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-08-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2020-08-02,-1420.530750100953,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-08-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-09-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2020-09-02,-1140.337823570166,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-09-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-10-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2020-10-02,-857.6706294142672,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-10-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-11-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2020-11-02,-637.2702105547736,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-11-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2020-12-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2020-12-02,-543.8020937192052,1.0,oname:sfr_otype:lst_usecol:tailwater,2020-12-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-01-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2021-01-02,-597.7849981943938,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-01-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-02-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2021-02-02,-784.159532964157,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-02-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-03-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2021-03-02,-1036.675755434394,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-03-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-04-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2021-04-02,-1329.329497110487,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-04-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-05-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2021-05-02,-1550.108483585977,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-05-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-06-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2021-06-02,-1649.809992574058,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-06-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-07-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2021-07-02,-1597.311908720023,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-07-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-08-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2021-08-02,-1401.606106047797,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-08-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-09-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2021-09-02,-1123.745056530901,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-09-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-10-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2021-10-02,-843.5368195095139,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-10-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-11-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2021-11-02,-626.7383115070091,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-11-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2021-12-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2021-12-02,-536.8173140382559,1.0,oname:sfr_otype:lst_usecol:tailwater,2021-12-02,sfr,lst,tailwater
oname:sfr_otype:lst_usecol:tailwater_datetime:2022-01-02,oname:sfr_otype:lst_usecol:tailwater_datetime:2022-01-02,-658.4789506685659,1.0,oname:sfr_otype:lst_usecol:tailwater,2022-01-02,sfr,lst,tailwater
