,0,1,2,sidx,idx_strs,pargp4,parval1_4,4
0,0,39,5,"(0, 39, 5)",idx0:0_idx1:39_idx2:5,ghbcondcn,1.0,1.00000000000000000000000000000000000000000000000000000
1,0,39,6,"(0, 39, 6)",idx0:0_idx1:39_idx2:6,ghbcondcn,1.0,1.00000000000000000000000000000000000000000000000000000
2,0,39,7,"(0, 39, 7)",idx0:0_idx1:39_idx2:7,ghbcondcn,1.0,1.00000000000000000000000000000000000000000000000000000
3,0,39,8,"(0, 39, 8)",idx0:0_idx1:39_idx2:8,ghbcondcn,1.0,1.00000000000000000000000000000000000000000000000000000
4,0,39,9,"(0, 39, 9)",idx0:0_idx1:39_idx2:9,ghbcondcn,1.0,1.00000000000000000000000000000000000000000000000000000
5,0,39,10,"(0, 39, 10)",idx0:0_idx1:39_idx2:10,ghbcondcn,1.0,1.00000000000000000000000000000000000000000000000000000
6,0,39,11,"(0, 39, 11)",idx0:0_idx1:39_idx2:11,ghbcondcn,1.0,1.00000000000000000000000000000000000000000000000000000
7,0,39,12,"(0, 39, 12)",idx0:0_idx1:39_idx2:12,ghbcondcn,1.0,1.00000000000000000000000000000000000000000000000000000
8,0,39,13,"(0, 39, 13)",idx0:0_idx1:39_idx2:13,ghbcondcn,1.0,1.00000000000000000000000000000000000000000000000000000
9,0,39,14,"(0, 39, 14)",idx0:0_idx1:39_idx2:14,ghbcondcn,1.0,1.00000000000000000000000000000000000000000000000000000
