name,value,group,weight
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3804.5,35.3124,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3834.5,35.3056,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3865.5,35.2491,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3896.5,35.1784,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3926.5,35.0373,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3957.5,34.9016,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3987.5,34.7868,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4018.5,34.7168,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4049.5,34.724,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4077.5,34.8048,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4108.5,34.9276,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4138.5,35.0389,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4169.5,35.1408,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4199.5,35.1856,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4230.5,35.1744,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4261.5,35.0685,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4291.5,34.9161,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4322.5,34.7597,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4352.5,34.6379,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4383.5,34.5273,oname:heads.csv_otype:lst_usecol:trgw-0-15-16,2.18168
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3652.5,35.1563,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3683.5,35.1385,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3712.5,35.1438,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3743.5,35.1799,oname:heads.csv_otype:lst_usecol:trgw-0-2-15,3.13278
