time,CUNIT1,CUNIT2,CUNIT3,AQUITARD6,AQUITARD7,AQUITARD8,NODELAY4,NODELAY5,NODELAY9,NODELAY10,DELAY11,DELAY12,DELAY13,ES14,TC02,SKC02,TC03,SKC03,TC04,SKC04,TC05,SKC05,TC07,SKC07,TC08,SKC08,TC09,SKC09,TC10,SKC10,TC12,SKC12,TC14,SKC14
30.43750000000,0.1447462950E-04,0.9564052105E-07,-0.3836209084E-05,0.9573573143E-06,0.1533365862E-06,0.9396236155E-06,0.9369383849E-06,0.1838311256E-06,0.2561513455E-04,0.2072467743E-06,0.1400775783E-05,0.1922455791E-04,0.1268432762E-05,327.0143259,0.1447462950E-04,0.000000000,0.9564052105E-07,0.000000000,-0.3836209084E-05,0.000000000,0.3234241441E-05,0.8965272728E-06,0.4020453589E-05,0.3836622463E-05,0.9573573143E-06,0.000000000,0.1533365862E-06,0.000000000,0.9396236155E-06,0.000000000,0.6038016945E-03,0.5589620021E-03,0.9002342052E-05,0.7526662516E-05
60.87500000000,0.2184895646E-04,0.1539818607E-05,-0.5074463559E-05,0.3338669914E-05,0.7070833015E-06,0.3290186794E-05,0.2514571870E-05,0.5053329174E-06,0.3184876852E-04,0.5880881277E-06,0.3828636875E-05,0.2479639793E-04,0.3644776056E-05,327.0594021,0.2184895646E-04,0.000000000,0.1539818607E-05,0.000000000,-0.5074463559E-05,0.000000000,0.8749324554E-05,0.2406115810E-05,0.1105181473E-04,0.1054648181E-04,0.3338669914E-05,0.000000000,0.7070833015E-06,0.000000000,0.3290186794E-05,0.000000000,0.7516346643E-03,0.6949894979E-03,0.2559057910E-04,0.2135771492E-04
91.31250000000,0.2581890772E-04,0.3497208409E-05,-0.4791700327E-05,0.6781671961E-05,0.1838378633E-05,0.6717620821E-05,0.4093800348E-05,0.8277484894E-06,0.3477223214E-04,0.9760786140E-06,0.6310630171E-05,0.2725817489E-04,0.6105115805E-05,327.1053315,0.2581890772E-04,0.000000000,0.3497208409E-05,0.000000000,-0.4791700327E-05,0.000000000,0.1432166107E-04,0.3917230547E-05,0.1810316058E-04,0.1727541209E-04,0.6781671961E-05,0.000000000,0.1838378633E-05,0.000000000,0.6717620821E-05,0.000000000,0.8208143869E-03,0.7587839799E-03,0.4252959771E-04,0.3544840329E-04
121.7500000000,0.2814639731E-04,0.5616979032E-05,-0.3639698343E-05,0.1101430431E-04,0.3630575568E-05,0.1096757522E-04,0.5672248305E-05,0.1150039757E-05,0.3712424462E-04,0.1364337785E-05,0.8794634515E-05,0.2914043122E-04,0.8570359808E-05,327.1512998,0.2814639731E-04,0.000000000,0.5616979032E-05,0.000000000,-0.3639698343E-05,0.000000000,0.1989448125E-04,0.5427598427E-05,0.2515178785E-04,0.2400174809E-04,0.1101430431E-04,0.000000000,0.3630575568E-05,0.000000000,0.1096757522E-04,0.000000000,0.8763731940E-03,0.8101085182E-03,0.5948354712E-04,0.4954884953E-04
152.1875000000,0.2967701480E-04,0.7764406219E-05,-0.1998130473E-05,0.1584387720E-04,0.6122037272E-05,0.1585493367E-04,0.7249674550E-05,0.1472183168E-05,0.3937696154E-04,0.1752553787E-05,0.1127724258E-04,0.3091973823E-04,0.1103553717E-04,327.1972699,0.2967701480E-04,0.000000000,0.7764406219E-05,0.000000000,-0.1998130473E-05,0.000000000,0.2546390580E-04,0.6936988663E-05,0.3219718142E-04,0.3072499825E-04,0.1584387720E-04,0.000000000,0.6122037272E-05,0.000000000,0.1585493367E-04,0.000000000,0.9295629743E-03,0.8592662745E-03,0.7643581896E-04,0.6364772800E-04
182.6250000000,0.3081808318E-04,0.9893560387E-05,-0.8474032399E-07,0.2113304109E-04,0.9321176245E-05,0.2124402647E-04,0.8825966585E-05,0.1794167217E-05,0.4161204148E-04,0.2140711260E-05,0.1375808612E-04,0.3268074145E-04,0.1350035525E-04,327.2432401,0.3081808318E-04,0.000000000,0.9893560387E-05,0.000000000,-0.8474032399E-07,0.000000000,0.3102934632E-04,0.8445293608E-05,0.3923908971E-04,0.3744492249E-04,0.2113304109E-04,0.000000000,0.9321176245E-05,0.000000000,0.2124402647E-04,0.000000000,0.9823319477E-03,0.9080391648E-03,0.9338554740E-04,0.7774448090E-04
213.0625000000,0.3176676012E-04,0.1199310654E-04,0.1977187888E-05,0.2678307297E-04,0.1321685921E-04,0.2703459008E-04,0.1040106302E-04,0.2115983747E-05,0.4384361998E-04,0.2528809422E-05,0.1623705309E-04,0.3443821584E-04,0.1596479739E-04,327.2892104,0.3176676012E-04,0.000000000,0.1199310654E-04,0.000000000,0.1977187888E-05,0.000000000,0.3659057063E-04,0.9952454519E-05,0.4627733429E-04,0.4416135054E-04,0.2678307297E-04,0.000000000,0.1321685921E-04,0.000000000,0.2703459008E-04,0.000000000,0.1035017484E-02,0.9567356482E-03,0.1103326866E-03,0.9183907978E-04
243.5000000000,0.3261906263E-04,0.1406395658E-04,0.4118637181E-05,0.3272227221E-04,0.1778558013E-04,0.3315179284E-04,0.1197493047E-04,0.2437626901E-05,0.4607414457E-04,0.2916848247E-05,0.1871408786E-04,0.3619472631E-04,0.1842886278E-04,327.3351806,0.3261906263E-04,0.000000000,0.1406395658E-04,0.000000000,0.4118637181E-05,0.000000000,0.4214745779E-04,0.1145843946E-04,0.5331178707E-04,0.5087416017E-04,0.3272227221E-04,0.000000000,0.1778558013E-04,0.000000000,0.3315179284E-04,0.000000000,0.1087678005E-02,0.1005409134E-02,0.1272772348E-03,0.1059315237E-03
273.9375000000,0.3342211918E-04,0.1611048650E-04,0.6301387274E-05,0.3889790061E-04,0.2299638055E-04,0.3953914018E-04,0.1354755138E-04,0.2759092437E-05,0.4830403920E-04,0.3304827751E-05,0.2118916137E-04,0.3795071746E-04,0.2089255146E-04,327.3811509,0.3342211918E-04,0.000000000,0.1611048650E-04,0.000000000,0.6301387274E-05,0.000000000,0.4769994437E-04,0.1296323162E-04,0.6034235528E-04,0.5758326284E-04,0.3889790061E-04,0.000000000,0.2299638055E-04,0.000000000,0.3953914018E-04,0.000000000,0.1140323629E-02,0.1054068873E-02,0.1442191926E-03,0.1200218134E-03
304.3750000000,0.3419929992E-04,0.1813735869E-04,0.8504514533E-05,0.4527058059E-04,0.2881420144E-04,0.4615342049E-04,0.1511891705E-04,0.3080377249E-05,0.5053337747E-04,0.3692747953E-05,0.2366225918E-04,0.3970626643E-04,0.2335586355E-04,327.4271211,0.3419929992E-04,0.000000000,0.1813735869E-04,0.000000000,0.8504514533E-05,0.000000000,0.5324799890E-04,0.1446682267E-04,0.6736897100E-04,0.6428859375E-04,0.4527058059E-04,0.000000000,0.2881420144E-04,0.000000000,0.4615342049E-04,0.000000000,0.1192956115E-02,0.1102716471E-02,0.1611585608E-03,0.1341099493E-03
