time,HD01,HD02,HD03,HD04,HD05,HD06,HD07,HD08,HD09,HD10,HD11,HD12,HD13,HD14
30.43750000000,-0.8050000000E-02,1.257218434,3.376228854,5.627420010,6.740376342,6.741200000,6.741439537,6.762187929,6.767060192,6.762582150,6.741200000,6.240795909,5.522000000,5.523058425
60.87500000000,-0.2415000000E-01,1.093612923,3.350911225,5.645120863,6.689694844,6.690400000,6.690855658,6.743931305,6.760334908,6.745235477,6.690400000,6.107681667,5.471200000,5.473152068
91.31250000000,-0.4025000000E-01,1.003116429,3.318295099,5.635145251,6.638929808,6.639600000,6.640113413,6.719684237,6.751632715,6.722151227,6.639600000,6.042669245,5.420400000,5.422392667
121.7500000000,-0.5635000000E-01,0.9479967483,3.283352898,5.609342446,6.588150299,6.588800000,6.589360551,6.690977507,6.740667995,6.694681263,6.588800000,5.989408283,5.369600000,5.371594442
152.1875000000,-0.7245000000E-01,0.9100666346,3.247996259,5.574608284,6.537363374,6.538000000,6.538600447,6.658894928,6.727308911,6.663809117,6.538000000,5.938180562,5.318800000,5.320794298
182.6250000000,-0.8855000000E-01,0.8805449033,3.212878165,5.534897159,6.486572360,6.487200000,6.487834764,6.624208813,6.711525952,6.630255395,6.487200000,5.887304897,5.268000000,5.269994053
213.0625000000,-0.1046500000,0.8551754656,3.178160615,5.492448867,6.435779098,6.436400000,6.437064694,6.587474118,6.693356343,6.594552488,6.436400000,5.836490199,5.217200000,5.219193803
243.5000000000,-0.1207500000,0.8318837994,3.143831465,5.448518130,6.384984620,6.385600000,6.386291099,6.549093764,6.672879533,6.557097633,6.385600000,5.785686059,5.166400000,5.168393552
273.9375000000,-0.1368500000,0.8096510354,3.109829114,5.403800377,6.334189496,6.334800000,6.335514614,6.509364002,6.650200389,6.518190626,6.334800000,5.734883747,5.115600000,5.117593302
304.3750000000,-0.1529500000,0.7879716985,3.076087698,5.358676700,6.283394038,6.284000000,6.284735714,6.468505932,6.625437759,6.478060695,6.284000000,5.684081753,5.064800000,5.066793052
334.8125000000,-0.1690500000,0.7665915898,3.042550833,5.313353149,6.232598417,6.233200000,6.233954759,6.426687426,6.598716764,6.436885666,6.233200000,5.633279815,5.014000000,5.015992801
365.2500000000,-0.1851500000,0.7453804938,3.009173808,5.267939185,6.181802721,6.182400000,6.183172026,6.384038400,6.570163671,6.394805673,6.182400000,5.582477887,4.963200000,4.965192551
395.6875000000,-0.2012500000,0.7243022148,2.976140793,5.224074757,6.136067241,6.136679167,6.137421623,6.341718062,6.540021609,6.352913152,6.136679167,5.535885819,4.917479167,4.919265068
426.1250000000,-0.2173500000,0.7033783011,2.943717549,5.182718732,6.095408465,6.096037500,6.096741841,6.300587081,6.508604050,6.312034400,6.096037500,5.494223521,4.876837500,4.878408085
456.5625000000,-0.2334500000,0.6826277576,2.911961993,5.142860695,6.054766966,6.055395833,6.056100401,6.260230979,6.476143516,6.271822246,6.055395833,5.453404904,4.836195833,4.837756462
487.0000000000,-0.2495500000,0.6620545947,2.880838669,5.103925595,6.014126607,6.014754167,6.015460268,6.220359806,6.442814406,6.232034664,6.014754167,5.412731703,4.795554167,4.797114158
517.4375000000,-0.2656500000,0.6416501892,2.850275848,5.065581958,5.973486755,5.974112500,5.974820756,6.180776863,6.408749540,6.192503792,5.974112500,5.372083622,4.754912500,4.756472314
547.8750000000,-0.2817500000,0.6213984605,2.820192858,5.027633531,5.932847229,5.933470833,5.934181580,6.141349779,6.374051807,6.153114025,5.933470833,5.331439882,4.714270833,4.715830495
578.3125000000,-0.2978500000,0.6012802079,2.790512436,4.989960181,5.892207929,5.892829167,5.893542549,6.101990425,6.338802378,6.113786534,5.892829167,5.290796893,4.673629167,4.675188676
608.7500000000,-0.3139500000,0.5812759455,2.761165667,4.952485471,5.851568791,5.852187500,5.852903542,6.062641025,6.303066516,6.074468311,5.852187500,5.250154034,4.632987500,4.634546858
639.1875000000,-0.3300500000,0.5613674807,2.732093339,4.915158707,5.810929774,5.811545833,5.812264477,6.023264551,6.266897695,6.035124440,5.811545833,5.209511198,4.592345833,4.593905040
669.6250000000,-0.3461500000,0.5415386378,2.703245657,4.877944854,5.770290851,5.770904167,5.771625305,5.983838090,6.230340532,5.995732623,5.770904167,5.168868366,4.551704167,4.553263222
700.0625000000,-0.3622500000,0.5217754686,2.674581287,4.840818766,5.729651999,5.730262500,5.730985999,5.944348278,6.193432888,5.956279331,5.730262500,5.128225535,4.511062500,4.512621404
730.5000000000,-0.3783500000,0.5020661832,2.646066197,4.803761813,5.689013204,5.689620833,5.690346542,5.904788155,6.156207381,5.916757075,5.689620833,5.087582705,4.470420833,4.471979586
760.9375000000,-0.3944458333,0.4824031778,2.617673706,4.766760593,5.648374458,5.648979167,5.649706939,5.865155953,6.118693659,5.877163466,5.648979167,5.046940053,4.429779167,4.431337810
791.3750000000,-0.4105375000,0.4627789061,2.589381204,4.729803971,5.607735749,5.608337500,5.609067181,5.825451538,6.080916810,5.837497748,5.608337500,5.006297432,4.389137500,4.390696036
821.8125000000,-0.4266291667,0.4431847616,2.561169094,4.692882488,5.567097065,5.567695833,5.568427264,5.785675627,6.042898001,5.797760076,5.567695833,4.965654639,4.348495833,4.350054220
852.2500000000,-0.4427208333,0.4236148606,2.533022264,4.655989428,5.526458404,5.527054167,5.527787199,5.745831183,6.004657318,5.757952955,5.527054167,4.925011817,4.307854167,4.309412403
882.6875000000,-0.4588125000,0.4040645345,2.504928414,4.619119383,5.485819763,5.486412500,5.487146996,5.705921753,5.966212913,5.718079586,5.486412500,4.884368990,4.267212500,4.268770585
913.1250000000,-0.4749041667,0.3845300441,2.476877551,4.582267986,5.445181137,5.445770833,5.446506663,5.665951174,5.927581260,5.678143555,5.445770833,4.843726163,4.226570833,4.228128767
943.5625000000,-0.4909958333,0.3650083784,2.448861558,4.545431706,5.404542523,5.405129167,5.405866207,5.625923368,5.888777370,5.638148621,5.405129167,4.803083336,4.185929167,4.187486949
974.0000000000,-0.5070875000,0.3454971053,2.420873847,4.508607684,5.363903919,5.364487500,5.365225636,5.585842221,5.849814960,5.598098576,5.364487500,4.762440509,4.145287500,4.146845131
1004.437500000,-0.5231791667,0.3259942568,2.392909077,4.471793605,5.323265324,5.323845833,5.324584960,5.545711497,5.810706591,5.557997143,5.323845833,4.721797682,4.104645833,4.106203314
1034.875000000,-0.5392708333,0.3064982392,2.364962912,4.434987591,5.282626735,5.283204167,5.283944186,5.505534794,5.771463783,5.517847921,5.283204167,4.681154857,4.064004167,4.065561496
1065.312500000,-0.5553625000,0.2870077611,2.337031838,4.398188122,5.241988152,5.242562500,5.243303321,5.465315515,5.732097119,5.477654347,5.242562500,4.640512031,4.023362500,4.024919678
1095.750000000,-0.5714541667,0.2675217759,2.309113006,4.361393965,5.201349573,5.201920833,5.202662371,5.425056857,5.692616331,5.437419671,5.201920833,4.599869206,3.982720833,3.984277861
1126.187500000,-0.5875500000,0.2480372299,2.281203087,4.324604670,5.160715145,5.161283333,5.162025465,5.384761734,5.653029296,5.397146795,5.161283333,4.559229660,3.942083333,3.943639999
