date,HD01,HD02,HD03,HD04,HD05,HD06,HD07,HD08,HD09,HD10,HD11,HD12,HD13,HD14
1908,-0.056350000000000004,0.9925330768285715,3.281117587857143,5.588426125714285,6.588123732142857,6.5888,6.5893241520000005,6.683908405285714,6.735983859428571,6.687609588142856,6.5888,6.006075823142857,5.3696,5.371454250857143
1909,-0.2093,0.7148475285583333,2.9629260886666664,5.2107535825,6.126323373666666,6.126939930583333,6.127661435833333,6.323725209916667,6.517215451833334,6.3344374255,6.126939930583333,5.525914633749999,4.907739930583333,4.909500043
1910,-0.4024829861083334,0.47280069824166665,2.6040888281666668,4.7485354305,5.628055309833333,5.628658333333334,5.6293861928333335,5.844899224583333,6.098306861916666,5.8569256489166674,5.628658333333334,5.026618689,4.409458333333333,4.411016906666666
1911,-0.5956086805583334,0.23830521559999998,2.267295895166667,4.306237490083333,5.1404087155000004,5.140975347166667,5.141717334583333,5.364411609166666,5.632637248166667,5.376797742583334,5.140975347166667,4.538920861666667,3.9217753471666668,3.9233319106666666
1912,-0.7888000000000001,0.00456720767425,1.9326948336666667,3.8649445689166666,4.652820214666667,4.653349652833334,4.654094970583333,4.87891189925,5.1518466365833335,4.891464311833333,4.653349652833334,4.0512811932499995,3.4341496528333333,3.4357043946666668
1913,-0.9820000000000001,-0.22911720981666664,1.598256206,3.4236889709166665,4.165166196916666,4.165658333333334,4.1664028958333335,4.391416762166666,4.665410537416666,4.404035945916667,4.165658333333334,3.5635768955000002,2.9464583333333336,2.948011436333333
1914,-1.1751829860833334,-0.464105801875,1.2576451415833334,2.959936814166667,3.6360734762500004,3.6364784721666665,3.637349346,3.8854279687499997,4.17227732725,3.89903796375,3.6364784721666665,3.0365640428333336,2.4172784721666667,2.4192914581666667
1915,-1.3683086805833333,-0.7170776286166666,0.8494709634916666,2.353288011,2.9258323569166667,2.9261246528333333,2.927199106416667,3.2404872570833336,3.6004804989999997,3.258151120166666,2.9261246528333333,2.3281594709999998,1.7069246528333333,1.7093309921666666
1916,-1.5614999999999999,-0.9827930673916666,0.402035459325,1.7082401122500002,2.1943271986666666,2.194550347166667,2.1956675093333335,2.5302038410833334,2.930415971,2.5493249241666667,2.194550347166667,1.5965515745833334,0.9753503471666667,0.9777522394833333
1917,-1.7547,-1.24988504725,-0.04912472419091667,1.0616133520166666,1.4628863484166665,1.4630416666666666,1.4641693256666668,1.804914087,2.2184270180833336,1.8245046897500001,1.4630416666666666,0.86500901595,0.24384166666916665,0.24623903622916668
1918,-1.9479,-1.5170687391666666,-0.5005287853083333,0.41490007523333333,0.7314541482666667,0.7315416666916668,0.7326683247166667,1.0742236674999999,1.4908952023333333,1.0939834100833334,0.7315416666916668,0.133468089335,-0.48767534721666667,-0.48528247209166664
1919,-2.1410829860833336,-1.7810914159166666,-0.9372579695666667,-0.17953666126,0.094798651888,0.09492812500000002,0.09576282430291666,0.38285769674166664,0.768575785925,0.40038522240833335,0.09492812500000002,-0.5081275539,-1.1243461805583335,-1.12300467715
1920,-2.3342086805833335,-2.00286751625,-1.2161090509166665,-0.44207679439166664,-0.12076649675583334,-0.12052881944166667,-0.12018222784,0.013571946592333331,0.22798967419083335,0.021610677509833334,-0.12052881944166667,-0.7283681873583333,-1.3397375,-1.3393714175
