time,11J025,11J029,11J030
1.000000000000,36.05240603987475,36.05239334513502,43.28991242172184
339.8235294118,34.05521964970391,10.30313167153127,43.28991227294434
1017.470588235,31.72329684445472,6.605409201456427,43.28991209589341
2372.764705882,29.66245278394041,4.251582000651728,43.28991189414687
5083.352941176,27.89700164966938,2.393536448277540,43.28991165570972
10504.52941176,26.44799329298406,.9107456203312333,43.28991114302143
21346.88235294,25.41220087091093,-.1364364647160647,43.28990425665156
43031.58823529,24.85495921000970,-.6964208981349014,43.28981199580462
86401.00000000,24.65838743283479,-.8933518584740391,43.28921534528449
98743.85714286,24.63343761050614,-.9183183466968851,43.28901162350329
123429.5714286,24.61840175859446,-.9333533203567127,43.28850409430380
172801.0000000,24.61259694200086,-.9391557864788941,43.28738613288120
201601.0000000,24.61150684367980,-.9402453617159070,43.28674860631254
230401.0000000,24.61109516723639,-.9406568625902940,43.28615931041969
259201.0000000,24.61090414262787,-.9408478226173580,43.28563674565120
259539.8235294,26.60808817974245,24.80841150317258,43.28563071151326
260217.4705882,28.94000653394208,28.50612952830619,43.28561858801336
261572.7647059,31.00084223604961,30.85994837468799,43.28559438208617
264283.3529412,32.76627818431989,32.71797874635660,43.28554647854607
269704.5294118,34.21526053544068,34.20074357620211,43.28545333234634
280546.8823529,35.25101192527952,35.24788464038574,43.28528360624833
302231.5882353,35.80819522916251,35.80781073589094,43.28506603707147
345601.0000000,36.00469548110280,36.00467016889447,43.28519418769515
374401.0000000,36.03861277080119,36.03860349332351,43.28548941803324
403201.0000000,36.04792906060121,36.04791826331015,43.28592373245364
432001.0000000,36.05067017430931,36.05065821451726,43.28642763955602
460801.0000000,36.05156808042313,36.05155569659222,43.28694431425140
489601.0000000,36.05191509522594,36.05190257144059,43.28743512137689
518401.0000000,36.05207982765759,36.05206725265584,43.28787770504898
