time,PERIMETER-HEAD,PERIMETER-HEADS
1.000000000000,.3000000000000000E+31,-6021.580176616681
32.00000000000,.3000000000000000E+31,-4079.979697913856
61.00000000000,.3000000000000000E+31,-4289.768479310987
92.00000000000,.3000000000000000E+31,-6256.630692545779
122.0000000000,.3000000000000000E+31,-9014.958609002066
153.0000000000,.3000000000000000E+31,-12046.31949731147
183.0000000000,.3000000000000000E+31,-2741.448400165797
214.0000000000,.3000000000000000E+31,-3018.300686376553
245.0000000000,.3000000000000000E+31,-3759.149590409605
275.0000000000,.3000000000000000E+31,-4474.582519131008
306.0000000000,.3000000000000000E+31,-5215.646037438242
336.0000000000,.3000000000000000E+31,-5353.755855972207
367.0000000000,.3000000000000000E+31,-5444.214104149054
