,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0,6.0094653e-27,1.3635233e-25,2.477702e-24,4.2447293e-23,7.137652e-22,1.19267295e-20,1.9883598e-19,3.311719e-18,5.512952e-17,9.173665e-16,1.5259536e-14,2.5373304e-13,4.217426e-12,7.0074245e-11,1.1639588e-09,1.9331056e-08,3.2112052e-07,5.339331e-06,8.898369e-05,0.0014901911,0.0087239025,0.02708401,0.061416954,0.11189496,0.17084335,0.22264248,0.24779545,0.24600886,0.21558343,0.16088521,0.10230945,0.054368783,0.023029061,0.006953286,0.0010148142,6.1252555e-05,3.7534653e-06,2.3236602e-07,9.276548e-09
1,0.0,6.0094033e-27,1.3635103e-25,2.4776817e-24,4.2446987e-23,7.137601e-22,1.1926634e-20,1.988342e-19,3.3116862e-18,5.5128944e-17,9.173563e-16,1.525935e-14,2.5372965e-13,4.217367e-12,7.007319e-11,1.1639387e-09,1.933069e-08,3.2111384e-07,5.3392146e-06,8.8981775e-05,0.0014901605,0.008723775,0.027083686,0.06141633,0.111893944,0.17084187,0.22264063,0.24779348,0.24600707,0.21558206,0.16088429,0.10230889,0.05436854,0.023028988,0.006953274,0.0010148135,6.125229e-05,3.7534514e-06,2.3236615e-07,9.276544e-09
2,0.0,6.0075617e-27,1.3631402e-25,2.4770485e-24,4.243684e-23,7.13601e-22,1.1924179e-20,1.9879678e-19,3.3111235e-18,5.5120586e-17,9.172347e-16,1.5257618e-14,2.5370596e-13,4.217054e-12,7.0069374e-11,1.1638976e-09,1.9330342e-08,3.2111262e-07,5.339248e-06,8.89825e-05,0.0014901726,0.0087238215,0.027083816,0.061416607,0.111894496,0.17084283,0.22264184,0.24779482,0.2460084,0.21558325,0.16088516,0.10230938,0.054368716,0.023029013,0.0069532753,0.0010148156,6.125269e-05,3.753466e-06,2.3236673e-07,9.276571e-09
3,0.0,6.0075706e-27,1.3631429e-25,2.4770542e-24,4.243699e-23,7.136042e-22,1.1924245e-20,1.9879804e-19,3.3111477e-18,5.5121043e-17,9.172428e-16,1.525776e-14,2.5370838e-13,4.217096e-12,7.007009e-11,1.1639097e-09,1.9330543e-08,3.2111586e-07,5.3393e-06,8.8983346e-05,0.0014901861,0.008723894,0.02708401,0.061417025,0.11189521,0.1708438,0.22264293,0.24779569,0.24600887,0.21558318,0.16088495,0.102309145,0.05436855,0.023028929,0.006953255,0.0010148151,6.12524e-05,3.753461e-06,2.3236613e-07,9.276546e-09
4,0.0,6.0076134e-27,1.3631531e-25,2.4770743e-24,4.2437325e-23,7.1360943e-22,1.19243296e-20,1.987995e-19,3.3111721e-18,5.5121443e-17,9.172495e-16,1.525787e-14,2.5371008e-13,4.217122e-12,7.0070484e-11,1.1639161e-09,1.933065e-08,3.2111782e-07,5.3393333e-06,8.898387e-05,0.0014901939,0.008723921,0.02708407,0.06141709,0.111895196,0.17084359,0.22264239,0.24779499,0.24600807,0.21558246,0.16088451,0.10230904,0.054368705,0.023029078,0.006953284,0.0010148133,6.125261e-05,3.7534685e-06,2.3236665e-07,9.276568e-09
5,0.0,6.0076407e-27,1.3631592e-25,2.4770844e-24,4.2437463e-23,7.1361145e-22,1.19243635e-20,1.9879994e-19,3.3111781e-18,5.512151e-17,9.172504e-16,1.5257884e-14,2.5371033e-13,4.2171258e-12,7.0070526e-11,1.1639163e-09,1.9330656e-08,3.2111782e-07,5.339331e-06,8.8983856e-05,0.0014901934,0.008723899,0.027083974,0.061416827,0.11189465,0.17084268,0.22264133,0.24779402,0.24600743,0.21558231,0.1608845,0.1023089,0.05436849,0.023028987,0.006953275,0.0010148142,6.1252635e-05,3.7534614e-06,2.323662e-07,9.276549e-09
6,0.0,6.0075987e-27,1.3631489e-25,2.477065e-24,4.243716e-23,7.1360645e-22,1.1924274e-20,1.9879846e-19,3.3111519e-18,5.5121043e-17,9.172422e-16,1.5257745e-14,2.5370805e-13,4.2170894e-12,7.006993e-11,1.1639067e-09,1.9330495e-08,3.211153e-07,5.339293e-06,8.8983244e-05,0.0014901842,0.008723863,0.027083857,0.061416566,0.11189426,0.17084225,0.22264096,0.24779361,0.2460071,0.21558219,0.16088465,0.10230907,0.054368466,0.023028895,0.0069532557,0.0010148161,6.125267e-05,3.7534621e-06,2.3236619e-07,9.2765475e-09
7,0.0,6.0075625e-27,1.3631404e-25,2.4770499e-24,4.2436877e-23,7.136015e-22,1.19241955e-20,1.9879714e-19,3.3111304e-18,5.5120686e-17,9.17236e-16,1.5257652e-14,2.537066e-13,4.2170655e-12,7.0069575e-11,1.1639013e-09,1.9330415e-08,3.2111407e-07,5.3392732e-06,8.898291e-05,0.0014901782,0.008723821,0.02708376,0.06141641,0.11189405,0.1708421,0.22264107,0.24779391,0.24600722,0.21558207,0.16088445,0.102309056,0.054368544,0.023028923,0.006953255,0.0010148162,6.125262e-05,3.7534617e-06,2.3236628e-07,9.27655e-09
8,0.0,6.0075394e-27,1.3631355e-25,2.4770398e-24,4.2436725e-23,7.1359903e-22,1.1924149e-20,1.9879642e-19,3.311119e-18,5.512052e-17,9.172333e-16,1.52576e-14,2.5370567e-13,4.2170516e-12,7.006939e-11,1.1638982e-09,1.9330356e-08,3.211131e-07,5.3392578e-06,8.8982604e-05,0.0014901725,0.008723802,0.02708373,0.061416365,0.111894004,0.17084207,0.22264114,0.2477942,0.24600768,0.21558227,0.16088416,0.102308795,0.054368503,0.023028964,0.0069532767,0.0010148204,6.125278e-05,3.7534726e-06,2.323669e-07,9.276576e-09
9,0.0,6.0074997e-27,1.3631267e-25,2.4770248e-24,4.243646e-23,7.1359413e-22,1.1924072e-20,1.9879506e-19,3.3110977e-18,5.512019e-17,9.172283e-16,1.5257513e-14,2.5370418e-13,4.2170265e-12,7.006894e-11,1.1638911e-09,1.9330242e-08,3.211111e-07,5.339223e-06,8.898209e-05,0.0014901651,0.008723783,0.027083702,0.061416376,0.11189404,0.17084211,0.22264116,0.24779424,0.24600787,0.21558256,0.16088438,0.10230877,0.054368477,0.023028981,0.00695329,0.0010148224,6.125286e-05,3.7534783e-06,2.3236717e-07,9.276587e-09
10,0.0,6.0074828e-27,1.3631226e-25,2.4770167e-24,4.243634e-23,7.135929e-22,1.192405e-20,1.9879466e-19,3.3110886e-18,5.512005e-17,9.172262e-16,1.5257488e-14,2.5370377e-13,4.2170195e-12,7.006881e-11,1.1638891e-09,1.9330212e-08,3.2111078e-07,5.339218e-06,8.898199e-05,0.0014901638,0.008723783,0.02708371,0.061416425,0.11189415,0.17084228,0.22264114,0.24779405,0.24600765,0.21558248,0.16088443,0.10230885,0.0543685,0.023029001,0.0069533023,0.0010148239,6.1252984e-05,3.7534865e-06,2.3236765e-07,9.276607e-09
11,0.0,6.0074666e-27,1.3631184e-25,2.4770088e-24,4.2436208e-23,7.135906e-22,1.19240226e-20,1.9879427e-19,3.3110828e-18,5.5119928e-17,9.172241e-16,1.5257455e-14,2.5370336e-13,4.2170135e-12,7.00687e-11,1.1638871e-09,1.9330177e-08,3.2111018e-07,5.33921e-06,8.898189e-05,0.0014901633,0.008723788,0.027083734,0.06141646,0.11189426,0.17084238,0.22264127,0.24779402,0.24600749,0.21558239,0.16088459,0.10230907,0.054368634,0.023029037,0.006953305,0.0010148251,6.1253086e-05,3.753494e-06,2.3236811e-07,9.276625e-09
12,0.0,6.00747e-27,1.3631189e-25,2.477012e-24,4.243627e-23,7.1359227e-22,1.1924045e-20,1.9879479e-19,3.3110921e-18,5.5120097e-17,9.17227e-16,1.5257498e-14,2.5370407e-13,4.217025e-12,7.006892e-11,1.1638902e-09,1.9330226e-08,3.2111083e-07,5.339218e-06,8.898204e-05,0.0014901655,0.0087238,0.027083745,0.061416462,0.1118942,0.17084235,0.22264121,0.24779391,0.24600726,0.21558207,0.16088441,0.102309085,0.054368693,0.023029074,0.006953311,0.0010148243,6.125308e-05,3.7534953e-06,2.3236825e-07,9.276631e-09
13,0.0,6.0074566e-27,1.3631157e-25,2.4770055e-24,4.2436173e-23,7.1359045e-22,1.1924016e-20,1.9879422e-19,3.311085e-18,5.5120007e-17,9.172258e-16,1.5257477e-14,2.5370366e-13,4.217018e-12,7.006878e-11,1.1638882e-09,1.9330194e-08,3.2111038e-07,5.33921e-06,8.898191e-05,0.0014901638,0.008723803,0.027083764,0.06141649,0.11189421,0.17084236,0.22264138,0.24779421,0.24600756,0.21558228,0.16088457,0.10230921,0.054368794,0.02302913,0.0069533284,0.0010148275,6.125326e-05,3.7535065e-06,2.3236893e-07,9.276658e-09
14,0.0,6.0074805e-27,1.3631218e-25,2.4770156e-24,4.243633e-23,7.1359333e-22,1.1924056e-20,1.987948e-19,3.311091e-18,5.5120107e-17,9.172272e-16,1.5257503e-14,2.537039e-13,4.2170204e-12,7.006879e-11,1.1638881e-09,1.9330187e-08,3.211101e-07,5.3392087e-06,8.8981935e-05,0.001490165,0.008723808,0.02708377,0.061416462,0.11189407,0.17084202,0.22264092,0.24779376,0.24600737,0.21558242,0.16088472,0.102309294,0.054368816,0.02302914,0.0069533293,0.0010148283,6.125334e-05,3.7535112e-06,2.323692e-07,9.276672e-09
