name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:heads.csv_otype:lst_usecol:trgw-0-13-10_time:4261.5,35.6486,0.517002,34.5164,37.1469,36.1656,35.1316,34.4693,0.0136915,34.4343,34.5033,34.483,34.4556,0.0131305
oname:heads.csv_otype:lst_usecol:trgw-0-13-10_time:4291.5,35.5989,0.485343,34.6263,36.7029,36.0842,35.1136,34.2811,0.0129257,34.2486,34.3116,34.294,34.2681,0.314739
oname:heads.csv_otype:lst_usecol:trgw-0-13-10_time:4322.5,35.3195,0.477439,34.3098,36.2938,35.7969,34.842,34.1195,0.0120669,34.09,34.1467,34.1316,34.1075,0.163017
oname:heads.csv_otype:lst_usecol:trgw-0-13-10_time:4352.5,35.1579,0.557178,34.1784,36.4244,35.7151,34.6007,34.0344,0.0113821,34.0075,34.0611,34.0458,34.023,0.117292
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:3712.5,35.109,0.342287,34.4292,35.9794,35.4513,34.7667,34.3994,0.00491381,34.3908,34.411,34.4044,34.3945,0.0181829
oname:heads.csv_otype:lst_usecol:trgw-0-15-16_time:4291.5,34.8695,0.392493,34.1102,35.6244,35.262,34.477,34.0119,0.00442506,34.0027,34.0211,34.0164,34.0075,0.0890357
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3865.5,35.3438,0.306638,34.7623,36.1654,35.6504,35.0371,34.7171,0.0108218,34.6932,34.7462,34.7279,34.7063,0.0160971
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3896.5,35.2453,0.265834,34.6631,35.7932,35.5112,34.9795,34.6023,0.00986229,34.5783,34.6283,34.6122,34.5924,0.0348548
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3926.5,35.1505,0.268274,34.5578,35.6266,35.4188,34.8822,34.486,0.00888063,34.4622,34.5085,34.4949,34.4771,0.0493168
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:3987.5,35.0413,0.292233,34.363,35.7315,35.3335,34.7491,34.3435,0.00759886,34.3207,34.3606,34.3511,34.3359,0.00237053
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4018.5,34.9417,0.292535,34.4022,35.5536,35.2342,34.6491,34.3532,0.00747628,34.331,34.3697,34.3606,34.3457,0.0324109
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4049.5,34.9925,0.30307,34.4645,35.7239,35.2956,34.6895,34.4129,0.00774526,34.3906,34.4305,34.4206,34.4052,0.0340337
oname:heads.csv_otype:lst_usecol:trgw-0-2-15_time:4291.5,35.0941,0.257651,34.5444,35.7853,35.3518,34.8365,34.4038,0.00804941,34.3811,34.4211,34.4118,34.3957,0.12329
