,icsubno,"(k, i, j)",nodelay,stress_offset,ib_thick[k],1.0,ib_cv,ib_cr,ib_theta,999.0,999.0,boundname,b0,b1,b2
18,18,"(2, 0, 9)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_01_10,2,0,9
19,19,"(3, 0, 9)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_01_10,3,0,9
20,20,"(0, 1, 4)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_02_05,0,1,4
21,21,"(1, 1, 4)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_02_05,1,1,4
22,22,"(2, 1, 4)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_02_05,2,1,4
23,23,"(3, 1, 4)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_02_05,3,1,4
24,24,"(0, 1, 5)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_02_06,0,1,5
25,25,"(1, 1, 5)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_02_06,1,1,5
26,26,"(2, 1, 5)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_02_06,2,1,5
27,27,"(3, 1, 5)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_02_06,3,1,5
28,28,"(0, 1, 6)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_02_07,0,1,6
29,29,"(1, 1, 6)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_02_07,1,1,6
30,30,"(2, 1, 6)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_02_07,2,1,6
31,31,"(3, 1, 6)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_02_07,3,1,6
32,32,"(0, 1, 7)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_02_08,0,1,7
33,33,"(1, 1, 7)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_02_08,1,1,7
34,34,"(2, 1, 7)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_02_08,2,1,7
35,35,"(3, 1, 7)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_02_08,3,1,7
36,36,"(0, 1, 8)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_02_09,0,1,8
37,37,"(1, 1, 8)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_02_09,1,1,8
38,38,"(2, 1, 8)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_02_09,2,1,8
39,39,"(3, 1, 8)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_02_09,3,1,8
40,40,"(0, 1, 9)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_02_10,0,1,9
41,41,"(1, 1, 9)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_02_10,1,1,9
42,42,"(2, 1, 9)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_02_10,2,1,9
43,43,"(3, 1, 9)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_02_10,3,1,9
44,44,"(0, 1, 10)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_02_11,0,1,10
45,45,"(1, 1, 10)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_02_11,1,1,10
46,46,"(2, 1, 10)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_02_11,2,1,10
47,47,"(3, 1, 10)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_02_11,3,1,10
48,48,"(0, 1, 11)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_02_12,0,1,11
49,49,"(1, 1, 11)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_02_12,1,1,11
50,50,"(2, 1, 11)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_02_12,2,1,11
51,51,"(3, 1, 11)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_02_12,3,1,11
52,52,"(0, 2, 3)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_04,0,2,3
53,53,"(1, 2, 3)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_04,1,2,3
54,54,"(2, 2, 3)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_04,2,2,3
55,55,"(3, 2, 3)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_04,3,2,3
56,56,"(0, 2, 4)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_05,0,2,4
57,57,"(1, 2, 4)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_05,1,2,4
58,58,"(2, 2, 4)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_05,2,2,4
59,59,"(3, 2, 4)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_05,3,2,4
60,60,"(0, 2, 5)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_06,0,2,5
61,61,"(1, 2, 5)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_06,1,2,5
62,62,"(2, 2, 5)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_06,2,2,5
63,63,"(3, 2, 5)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_06,3,2,5
64,64,"(0, 2, 6)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_07,0,2,6
65,65,"(1, 2, 6)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_07,1,2,6
66,66,"(2, 2, 6)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_07,2,2,6
67,67,"(3, 2, 6)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_07,3,2,6
68,68,"(0, 2, 7)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_08,0,2,7
69,69,"(1, 2, 7)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_08,1,2,7
70,70,"(2, 2, 7)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_08,2,2,7
71,71,"(3, 2, 7)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_08,3,2,7
72,72,"(0, 2, 8)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_09,0,2,8
73,73,"(1, 2, 8)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_09,1,2,8
74,74,"(2, 2, 8)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_09,2,2,8
75,75,"(3, 2, 8)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_09,3,2,8
76,76,"(0, 2, 9)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_10,0,2,9
77,77,"(1, 2, 9)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_10,1,2,9
78,78,"(2, 2, 9)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_10,2,2,9
79,79,"(3, 2, 9)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_10,3,2,9
80,80,"(0, 2, 10)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_11,0,2,10
81,81,"(1, 2, 10)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_11,1,2,10
82,82,"(2, 2, 10)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_11,2,2,10
83,83,"(3, 2, 10)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_11,3,2,10
84,84,"(0, 2, 11)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_03_12,0,2,11
85,85,"(1, 2, 11)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_03_12,1,2,11
86,86,"(2, 2, 11)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_03_12,2,2,11
87,87,"(3, 2, 11)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_03_12,3,2,11
88,88,"(0, 3, 3)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_04,0,3,3
89,89,"(1, 3, 3)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_04,1,3,3
90,90,"(2, 3, 3)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_04,2,3,3
91,91,"(3, 3, 3)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_04,3,3,3
92,92,"(0, 3, 4)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_05,0,3,4
93,93,"(1, 3, 4)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_05,1,3,4
94,94,"(2, 3, 4)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_05,2,3,4
95,95,"(3, 3, 4)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_05,3,3,4
96,96,"(0, 3, 5)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_06,0,3,5
97,97,"(1, 3, 5)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_06,1,3,5
98,98,"(2, 3, 5)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_06,2,3,5
99,99,"(3, 3, 5)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_06,3,3,5
100,100,"(0, 3, 6)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_07,0,3,6
101,101,"(1, 3, 6)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_07,1,3,6
102,102,"(2, 3, 6)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_07,2,3,6
103,103,"(3, 3, 6)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_07,3,3,6
104,104,"(0, 3, 7)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_08,0,3,7
105,105,"(1, 3, 7)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_08,1,3,7
106,106,"(2, 3, 7)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_08,2,3,7
107,107,"(3, 3, 7)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_08,3,3,7
108,108,"(0, 3, 8)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_09,0,3,8
109,109,"(1, 3, 8)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_09,1,3,8
110,110,"(2, 3, 8)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_09,2,3,8
111,111,"(3, 3, 8)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_09,3,3,8
112,112,"(0, 3, 9)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_10,0,3,9
113,113,"(1, 3, 9)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_10,1,3,9
114,114,"(2, 3, 9)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_10,2,3,9
115,115,"(3, 3, 9)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_10,3,3,9
116,116,"(0, 3, 10)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_11,0,3,10
117,117,"(1, 3, 10)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_11,1,3,10
118,118,"(2, 3, 10)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_11,2,3,10
119,119,"(3, 3, 10)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_11,3,3,10
120,120,"(0, 3, 11)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_04_12,0,3,11
121,121,"(1, 3, 11)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_04_12,1,3,11
122,122,"(2, 3, 11)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_04_12,2,3,11
123,123,"(3, 3, 11)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_04_12,3,3,11
124,124,"(0, 4, 2)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_03,0,4,2
125,125,"(1, 4, 2)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_03,1,4,2
126,126,"(2, 4, 2)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_03,2,4,2
127,127,"(3, 4, 2)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_03,3,4,2
128,128,"(0, 4, 3)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_04,0,4,3
129,129,"(1, 4, 3)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_04,1,4,3
130,130,"(2, 4, 3)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_04,2,4,3
131,131,"(3, 4, 3)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_04,3,4,3
132,132,"(0, 4, 4)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_05,0,4,4
133,133,"(1, 4, 4)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_05,1,4,4
134,134,"(2, 4, 4)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_05,2,4,4
135,135,"(3, 4, 4)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_05,3,4,4
136,136,"(0, 4, 5)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_06,0,4,5
137,137,"(1, 4, 5)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_06,1,4,5
138,138,"(2, 4, 5)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_06,2,4,5
139,139,"(3, 4, 5)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_06,3,4,5
140,140,"(0, 4, 6)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_07,0,4,6
141,141,"(1, 4, 6)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_07,1,4,6
142,142,"(2, 4, 6)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_07,2,4,6
143,143,"(3, 4, 6)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_07,3,4,6
144,144,"(0, 4, 7)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_08,0,4,7
145,145,"(1, 4, 7)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_08,1,4,7
146,146,"(2, 4, 7)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_08,2,4,7
147,147,"(3, 4, 7)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_08,3,4,7
148,148,"(0, 4, 8)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_09,0,4,8
149,149,"(1, 4, 8)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_09,1,4,8
150,150,"(2, 4, 8)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_05_09,2,4,8
151,151,"(3, 4, 8)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_05_09,3,4,8
152,152,"(0, 4, 9)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_05_10,0,4,9
153,153,"(1, 4, 9)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_05_10,1,4,9
