,icsubno,"(k, i, j)",nodelay,stress_offset,ib_thick[k],1.0,ib_cv,ib_cr,ib_theta,999.0,999.0,boundname,b0,b1,b2
217,217,"(1, 6, 1)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_02,1,6,1
218,218,"(2, 6, 1)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_02,2,6,1
219,219,"(3, 6, 1)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_02,3,6,1
220,220,"(0, 6, 2)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_03,0,6,2
221,221,"(1, 6, 2)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_03,1,6,2
222,222,"(2, 6, 2)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_03,2,6,2
223,223,"(3, 6, 2)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_03,3,6,2
224,224,"(0, 6, 3)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_04,0,6,3
225,225,"(1, 6, 3)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_04,1,6,3
226,226,"(2, 6, 3)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_04,2,6,3
227,227,"(3, 6, 3)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_04,3,6,3
228,228,"(0, 6, 4)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_05,0,6,4
229,229,"(1, 6, 4)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_05,1,6,4
230,230,"(2, 6, 4)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_05,2,6,4
231,231,"(3, 6, 4)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_05,3,6,4
232,232,"(0, 6, 5)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_06,0,6,5
233,233,"(1, 6, 5)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_06,1,6,5
234,234,"(2, 6, 5)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_06,2,6,5
235,235,"(3, 6, 5)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_06,3,6,5
236,236,"(0, 6, 6)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_07,0,6,6
237,237,"(1, 6, 6)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_07,1,6,6
238,238,"(2, 6, 6)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_07,2,6,6
239,239,"(3, 6, 6)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_07,3,6,6
240,240,"(0, 6, 7)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_08,0,6,7
241,241,"(1, 6, 7)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_08,1,6,7
242,242,"(2, 6, 7)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_08,2,6,7
243,243,"(3, 6, 7)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_08,3,6,7
244,244,"(0, 6, 8)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_09,0,6,8
245,245,"(1, 6, 8)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_09,1,6,8
246,246,"(2, 6, 8)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_09,2,6,8
247,247,"(3, 6, 8)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_09,3,6,8
248,248,"(0, 6, 9)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_10,0,6,9
249,249,"(1, 6, 9)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_10,1,6,9
250,250,"(2, 6, 9)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_10,2,6,9
251,251,"(3, 6, 9)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_10,3,6,9
252,252,"(0, 6, 10)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_11,0,6,10
253,253,"(1, 6, 10)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_11,1,6,10
254,254,"(2, 6, 10)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_11,2,6,10
255,255,"(3, 6, 10)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_11,3,6,10
256,256,"(0, 6, 11)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_12,0,6,11
257,257,"(1, 6, 11)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_12,1,6,11
258,258,"(2, 6, 11)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_12,2,6,11
259,259,"(3, 6, 11)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_12,3,6,11
260,260,"(0, 6, 12)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_13,0,6,12
261,261,"(1, 6, 12)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_13,1,6,12
262,262,"(2, 6, 12)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_13,2,6,12
263,263,"(3, 6, 12)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_13,3,6,12
264,264,"(0, 6, 13)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_07_14,0,6,13
265,265,"(1, 6, 13)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_07_14,1,6,13
266,266,"(2, 6, 13)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_07_14,2,6,13
267,267,"(3, 6, 13)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_07_14,3,6,13
268,268,"(0, 7, 1)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_08_02,0,7,1
269,269,"(1, 7, 1)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_08_02,1,7,1
270,270,"(2, 7, 1)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_08_02,2,7,1
271,271,"(3, 7, 1)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_08_02,3,7,1
272,272,"(0, 7, 2)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_08_03,0,7,2
273,273,"(1, 7, 2)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_08_03,1,7,2
274,274,"(2, 7, 2)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_08_03,2,7,2
275,275,"(3, 7, 2)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_08_03,3,7,2
276,276,"(0, 7, 3)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_08_04,0,7,3
277,277,"(1, 7, 3)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_08_04,1,7,3
278,278,"(2, 7, 3)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_08_04,2,7,3
279,279,"(3, 7, 3)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_08_04,3,7,3
280,280,"(0, 7, 4)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_08_05,0,7,4
281,281,"(1, 7, 4)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_08_05,1,7,4
282,282,"(2, 7, 4)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_08_05,2,7,4
283,283,"(3, 7, 4)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_08_05,3,7,4
284,284,"(0, 7, 5)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_08_06,0,7,5
285,285,"(1, 7, 5)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_08_06,1,7,5
286,286,"(2, 7, 5)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_08_06,2,7,5
287,287,"(3, 7, 5)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_08_06,3,7,5
288,288,"(0, 7, 6)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_08_07,0,7,6
289,289,"(1, 7, 6)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_08_07,1,7,6
290,290,"(2, 7, 6)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_08_07,2,7,6
291,291,"(3, 7, 6)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_08_07,3,7,6
292,292,"(0, 7, 7)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_08_08,0,7,7
293,293,"(1, 7, 7)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_08_08,1,7,7
294,294,"(2, 7, 7)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_08_08,2,7,7
295,295,"(3, 7, 7)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_08_08,3,7,7
296,296,"(0, 7, 8)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_08_09,0,7,8
297,297,"(1, 7, 8)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_08_09,1,7,8
298,298,"(2, 7, 8)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_08_09,2,7,8
299,299,"(3, 7, 8)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_08_09,3,7,8
300,300,"(0, 7, 9)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_08_10,0,7,9
301,301,"(1, 7, 9)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_08_10,1,7,9
302,302,"(2, 7, 9)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_08_10,2,7,9
303,303,"(3, 7, 9)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_08_10,3,7,9
304,304,"(0, 7, 10)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_08_11,0,7,10
305,305,"(1, 7, 10)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_08_11,1,7,10
306,306,"(2, 7, 10)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_08_11,2,7,10
307,307,"(3, 7, 10)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_08_11,3,7,10
308,308,"(0, 7, 11)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_08_12,0,7,11
309,309,"(1, 7, 11)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_08_12,1,7,11
310,310,"(2, 7, 11)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_08_12,2,7,11
311,311,"(3, 7, 11)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_08_12,3,7,11
312,312,"(0, 7, 12)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_08_13,0,7,12
313,313,"(1, 7, 12)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_08_13,1,7,12
314,314,"(2, 7, 12)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_08_13,2,7,12
315,315,"(3, 7, 12)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_08_13,3,7,12
316,316,"(0, 7, 13)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_08_14,0,7,13
317,317,"(1, 7, 13)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_08_14,1,7,13
318,318,"(2, 7, 13)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_08_14,2,7,13
319,319,"(3, 7, 13)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_08_14,3,7,13
320,320,"(0, 8, 0)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_09_01,0,8,0
321,321,"(1, 8, 0)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_09_01,1,8,0
322,322,"(2, 8, 0)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_09_01,2,8,0
323,323,"(3, 8, 0)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_09_01,3,8,0
324,324,"(0, 8, 1)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_09_02,0,8,1
325,325,"(1, 8, 1)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_09_02,1,8,1
326,326,"(2, 8, 1)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_09_02,2,8,1
327,327,"(3, 8, 1)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_09_02,3,8,1
328,328,"(0, 8, 2)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_09_03,0,8,2
329,329,"(1, 8, 2)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_09_03,1,8,2
330,330,"(2, 8, 2)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_09_03,2,8,2
331,331,"(3, 8, 2)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_09_03,3,8,2
332,332,"(0, 8, 3)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_09_04,0,8,3
333,333,"(1, 8, 3)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_09_04,1,8,3
334,334,"(2, 8, 3)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_09_04,2,8,3
335,335,"(3, 8, 3)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_09_04,3,8,3
336,336,"(0, 8, 4)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_09_05,0,8,4
337,337,"(1, 8, 4)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_09_05,1,8,4
338,338,"(2, 8, 4)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_09_05,2,8,4
339,339,"(3, 8, 4)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_09_05,3,8,4
340,340,"(0, 8, 5)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_09_06,0,8,5
341,341,"(1, 8, 5)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_09_06,1,8,5
342,342,"(2, 8, 5)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_09_06,2,8,5
343,343,"(3, 8, 5)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_09_06,3,8,5
344,344,"(0, 8, 6)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_09_07,0,8,6
345,345,"(1, 8, 6)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_09_07,1,8,6
346,346,"(2, 8, 6)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_09_07,2,8,6
347,347,"(3, 8, 6)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_09_07,3,8,6
348,348,"(0, 8, 7)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_09_08,0,8,7
349,349,"(1, 8, 7)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_09_08,1,8,7
350,350,"(2, 8, 7)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_09_08,2,8,7
351,351,"(3, 8, 7)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_09_08,3,8,7
352,352,"(0, 8, 8)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_09_09,0,8,8
353,353,"(1, 8, 8)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_09_09,1,8,8
354,354,"(2, 8, 8)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_09_09,2,8,8
355,355,"(3, 8, 8)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_09_09,3,8,8
356,356,"(0, 8, 9)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_09_10,0,8,9
357,357,"(1, 8, 9)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_09_10,1,8,9
358,358,"(2, 8, 9)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_09_10,2,8,9
359,359,"(3, 8, 9)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_09_10,3,8,9
360,360,"(0, 8, 10)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_09_11,0,8,10
361,361,"(1, 8, 10)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_09_11,1,8,10
362,362,"(2, 8, 10)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_09_11,2,8,10
363,363,"(3, 8, 10)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_09_11,3,8,10
364,364,"(0, 8, 11)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_09_12,0,8,11
365,365,"(1, 8, 11)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_09_12,1,8,11
366,366,"(2, 8, 11)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_09_12,2,8,11
367,367,"(3, 8, 11)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_09_12,3,8,11
368,368,"(0, 8, 12)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_09_13,0,8,12
369,369,"(1, 8, 12)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_09_13,1,8,12
370,370,"(2, 8, 12)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_09_13,2,8,12
371,371,"(3, 8, 12)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_09_13,3,8,12
372,372,"(0, 8, 13)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_09_14,0,8,13
373,373,"(1, 8, 13)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_09_14,1,8,13
374,374,"(2, 8, 13)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_09_14,2,8,13
375,375,"(3, 8, 13)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_09_14,3,8,13
376,376,"(0, 8, 14)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_09_15,0,8,14
377,377,"(1, 8, 14)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_09_15,1,8,14
378,378,"(2, 8, 14)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_09_15,2,8,14
379,379,"(3, 8, 14)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_09_15,3,8,14
380,380,"(0, 9, 0)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_10_01,0,9,0
381,381,"(1, 9, 0)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_10_01,1,9,0
382,382,"(2, 9, 0)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_10_01,2,9,0
383,383,"(3, 9, 0)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_10_01,3,9,0
384,384,"(0, 9, 1)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_10_02,0,9,1
385,385,"(1, 9, 1)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_10_02,1,9,1
386,386,"(2, 9, 1)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_10_02,2,9,1
387,387,"(3, 9, 1)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_10_02,3,9,1
388,388,"(0, 9, 2)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_10_03,0,9,2
389,389,"(1, 9, 2)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_10_03,1,9,2
390,390,"(2, 9, 2)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_10_03,2,9,2
391,391,"(3, 9, 2)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_10_03,3,9,2
392,392,"(0, 9, 3)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_10_04,0,9,3
393,393,"(1, 9, 3)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_10_04,1,9,3
394,394,"(2, 9, 3)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_10_04,2,9,3
395,395,"(3, 9, 3)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_10_04,3,9,3
396,396,"(0, 9, 4)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_10_05,0,9,4
397,397,"(1, 9, 4)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_10_05,1,9,4
398,398,"(2, 9, 4)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_10_05,2,9,4
399,399,"(3, 9, 4)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_10_05,3,9,4
400,400,"(0, 9, 5)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_10_06,0,9,5
401,401,"(1, 9, 5)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_10_06,1,9,5
402,402,"(2, 9, 5)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_10_06,2,9,5
403,403,"(3, 9, 5)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_10_06,3,9,5
404,404,"(0, 9, 6)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_10_07,0,9,6
405,405,"(1, 9, 6)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_10_07,1,9,6
406,406,"(2, 9, 6)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_10_07,2,9,6
407,407,"(3, 9, 6)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_10_07,3,9,6
408,408,"(0, 9, 7)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_10_08,0,9,7
409,409,"(1, 9, 7)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_10_08,1,9,7
410,410,"(2, 9, 7)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_10_08,2,9,7
411,411,"(3, 9, 7)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_10_08,3,9,7
412,412,"(0, 9, 8)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_10_09,0,9,8
413,413,"(1, 9, 8)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_10_09,1,9,8
414,414,"(2, 9, 8)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_10_09,2,9,8
415,415,"(3, 9, 8)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_10_09,3,9,8
416,416,"(0, 9, 9)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_10_10,0,9,9
417,417,"(1, 9, 9)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_10_10,1,9,9
418,418,"(2, 9, 9)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_10_10,2,9,9
419,419,"(3, 9, 9)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_10_10,3,9,9
420,420,"(0, 9, 10)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_10_11,0,9,10
421,421,"(1, 9, 10)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_10_11,1,9,10
422,422,"(2, 9, 10)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_10_11,2,9,10
423,423,"(3, 9, 10)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_10_11,3,9,10
424,424,"(0, 9, 11)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_10_12,0,9,11
425,425,"(1, 9, 11)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_10_12,1,9,11
426,426,"(2, 9, 11)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_10_12,2,9,11
427,427,"(3, 9, 11)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_10_12,3,9,11
428,428,"(0, 9, 12)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_10_13,0,9,12
429,429,"(1, 9, 12)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_10_13,1,9,12
430,430,"(2, 9, 12)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_10_13,2,9,12
431,431,"(3, 9, 12)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_10_13,3,9,12
432,432,"(0, 9, 13)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_10_14,0,9,13
433,433,"(1, 9, 13)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_10_14,1,9,13
434,434,"(2, 9, 13)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_10_14,2,9,13
435,435,"(3, 9, 13)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_10_14,3,9,13
436,436,"(0, 9, 14)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_10_15,0,9,14
437,437,"(1, 9, 14)",nodelay,15,70.0,1.0,0.25,0.01,0.45,999.0,999.0,02_10_15,1,9,14
438,438,"(2, 9, 14)",nodelay,15,50.0,1.0,0.25,0.01,0.45,999.0,999.0,03_10_15,2,9,14
439,439,"(3, 9, 14)",nodelay,15,90.0,1.0,0.25,0.01,0.45,999.0,999.0,04_10_15,3,9,14
440,440,"(0, 10, 0)",nodelay,15,45.0,1.0,0.25,0.01,0.45,999.0,999.0,01_11_01,0,10,0
