,a0,a1,a2,b0,b1,b2
0,h1l1,HEAD,"(0, 8, 9)",0,8,9
1,h1l2,HEAD,"(1, 8, 9)",1,8,9
2,h1l3,HEAD,"(2, 8, 9)",2,8,9
3,h1l4,HEAD,"(3, 8, 9)",3,8,9
4,h2l1,HEAD,"(0, 11, 6)",0,11,6
5,h2l2,HEAD,"(1, 11, 6)",1,11,6
6,h3l2,HEAD,"(2, 11, 6)",2,11,6
7,h4l2,HEAD,"(3, 11, 6)",3,11,6
