totim,W1L1,W1L2,W1L3,W1L4,W2L1,W2L2,W2L3,W2L4,S1L1,S1L2,S1L3,S1L4,S2L1,S2L2,S2L3,S2L4,C1L1,C1L2,C1L3,C1L4,C2L1,C2L2,C2L3,C2L4,W2L4Q,GS1,ES1,PC1,GS2,ES2,PC2,GS3,ES3,PC3,GS4,ES4,PC4,SK1L2,SK2L4,T1L2,W1QIE,W1QII,W1QAQ,W1QT,W1WC,W2QIE,W2QII,W2QAQ,W2QT,W2WC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0051073,115.7805993,3e+30,509.5051073,273.2806252,3e+30,606.5051073,320.2821715,3e+30,1018.505107,532.2837209,3e+30,3e+30,3e+30,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.009076204089,0.00622560601,0.001566706293,0.0001915987213,0.002973461226,0.001865900777,0.004808975301,0.1018053281,-0.006131301929,0.00439835022,0.0,0.0001447634783,-0.001915147321,0.001318246783,0.0,0.008257073111,0.002944902161,0.01062395623,0.001566706293,0.0003363621995,0.001058313906,0.00318414756,0.004808975301,0.1100624012,1205.337727,199.0753884,122.9533594,130.7805993,506.5753884,280.8038494,288.2806252,603.5753884,324.2271395,335.2821715,1015.575388,532.6639885,547.2837209,0.001412154682,0.0008358719345,0.4499999979,68.17912126,0.0,48.16810645,116.3472277,29.9456703,78.2143052,1036.696886,90.42653647,1205.337727,90.8728246
2.0,0.01280021956,0.009224592702,0.002385571829,0.000419753317,0.004773414987,0.003015469786,0.005248781949,0.1123472996,-0.009651464724,0.006517114844,0.0,0.0003171469508,-0.003204385788,0.002130409823,0.0,0.008575674918,0.003148754834,0.01574170755,0.002385571829,0.0007369002678,0.001569029199,0.005145879609,0.005248781949,0.1209229745,118.9385169,197.5326681,126.7303642,130.7805993,505.0326681,284.4941113,288.2806252,602.0326681,326.3032786,335.2821715,1014.032668,533.11729,547.2837209,0.001386826031,0.0008342323555,0.4499999923,32.84311231,0.0,23.20344558,56.04655789,14.98609872,0.0,115.4493801,3.489136823,118.9385169,5.574088412
3.0,0.01468279765,0.01097814767,0.002914380419,0.0006756535477,0.005969148356,0.003821172788,0.005522015934,0.1178315571,-0.01179967665,0.007755990041,0.0,0.0005104937917,-0.004124311022,0.002699633762,0.0,0.008741421366,0.002883120994,0.01873413771,0.002914380419,0.001186147339,0.001844837334,0.006520806549,0.005522015934,0.1265729785,61.87547084,196.6251558,128.9522049,130.7805993,504.1251558,286.6747353,288.2806252,601.1251558,327.6499746,335.2821715,1013.125156,533.6263229,547.2837209,0.001372281605,0.0008333810692,0.4499999812,19.20388738,0.0,13.56742173,32.77130911,8.842315579,0.0,60.06031466,1.815156177,61.87547084,3.29519323
4.0,0.01579897736,0.01212406677,0.003292850882,0.0009251863475,0.006844270929,0.004435853718,0.00574253584,0.1227637744,-0.01323415725,0.008565574442,0.0,0.000699029685,-0.004833557409,0.003133901847,0.0,0.008890483934,0.00256482011,0.02068964121,0.003292850882,0.001624216033,0.002010713519,0.007569755565,0.00574253584,0.1316542583,55.64714444,196.0304048,130.4083194,130.7805993,503.5304048,288.1095705,288.2806252,600.5304048,328.6168744,335.2821715,1012.530405,534.1232667,547.2837209,0.001362876742,0.0008326162538,0.4499999624,12.54942201,0.0,8.866085159,21.41550717,5.81078167,0.0,54.01470017,1.632444272,55.64714444,2.758717268
5.0,0.02750804739,0.02884669571,0.003579960913,0.001157670453,0.007529965958,0.004933561278,0.01023086347,0.1272663211,-0.0142485992,0.009130363087,0.0,0.0008746843422,-0.005412469461,0.003485529007,0.0,0.009026560902,0.01325944819,0.0379770588,0.003579960913,0.002032354795,0.002117496497,0.008419090285,0.01023086347,0.136292882,50.79943822,195.6144802,131.4266175,130.7805993,503.1144802,289.1153603,288.2806252,600.1144802,329.3521382,335.2821715,1012.11448,534.5867593,547.2837209,0.001356360614,0.0008319187062,0.4499999335,1.488933904,181.6473174,6.185228143,189.3214795,4.161023264,0.0,49.30920449,1.490233736,50.79943822,2.400923196
6.0,0.04115854356,0.04446280207,0.003816990839,0.001371572789,0.008100025874,0.005359099626,0.01440992198,0.1315533195,-0.01504692113,0.009571670197,0.0,0.001036299441,-0.005910415017,0.003786169086,0.0,0.009156123519,0.02611162244,0.05403447227,0.003816990839,0.00240787223,0.002189610857,0.009145268712,0.01440992198,0.1407094431,48.3675401,195.2894458,132.2223914,131.4266175,502.7894458,289.9041981,289.1153603,599.7894458,329.9603583,335.2821715,1011.789446,535.013631,547.2837209,0.001351293471,0.0008312551083,0.4499998919,0.0,171.0182763,4.832932068,175.8512084,3.272524537,0.0,46.94864764,1.418892462,48.3675401,2.196272197
7.0,0.05221892992,0.05743619753,0.004021546468,0.001568674628,0.008591146834,0.005734643635,0.01820032883,0.1355797256,-0.01571452065,0.009938294982,0.0,0.00118522083,-0.006352307362,0.00405148849,0.0,0.009277810457,0.03650440927,0.06737449251,0.004021546468,0.002753895459,0.002238839472,0.009786132125,0.01820032883,0.144857536,45.42743844,195.0190035,132.8845088,132.2223914,502.5190035,290.5615813,289.9041981,599.5190035,330.4861497,335.2821715,1011.519003,535.407336,547.2837209,0.001347099567,0.0008306323456,0.4499998353,0.0,142.0768839,4.015055835,146.0919397,2.724359446,0.0,44.09479572,1.332642715,45.42743844,2.018888745
8.0,0.06151275884,0.06857084151,0.004202429315,0.001751355847,0.009024830954,0.006073477208,0.02168326342,0.139371348,-0.01629076722,0.01025295713,0.0,0.00132324664,-0.006753007045,0.004290872209,0.0,0.009392401712,0.04522199162,0.07882379864,0.004202429315,0.003074602487,0.002271823908,0.01036434942,0.02168326342,0.1487637497,42.77852053,194.7864955,133.4537523,132.8845088,502.2864955,291.1272989,290.5615813,599.2864955,330.9517976,335.2821715,1011.286496,535.7725465,547.2837209,0.001343511246,0.000830046336,0.4499997612,0.0,121.9399752,3.445992025,125.3859672,2.342672997,0.0,41.5235855,1.254935028,42.77852053,1.87472295
9.0,0.06954158604,0.07837060474,0.004365394044,0.001921711193,0.009414589407,0.006384025047,0.02491905899,0.1429564734,-0.01680042099,0.01052989589,0.0,0.001451959568,-0.007121943787,0.004510272241,0.0,0.00950075217,0.05274116505,0.08890050063,0.004365394044,0.003373670761,0.002292645619,0.01089429729,0.02491905899,0.1524572256,40.4487438,194.5815289,133.9555671,133.4537523,502.0815289,291.6263652,291.1272989,599.0815289,331.3718921,335.2821715,1011.081529,536.1133857,547.2837209,0.001340361525,0.0008294926323,0.4499996675,0.0,107.3211579,3.032868046,110.3540259,2.065353288,0.0,39.26215425,1.186589551,40.4487438,1.755438688
10.0,0.07662618341,0.08716327181,0.004514345759,0.00208150906,0.009769406823,0.006671913136,0.0279503599,0.146359531,-0.01725968765,0.01077837438,0.0,0.001572695734,-0.007465412014,0.004713663306,0.0,0.009603600133,0.05936649576,0.09794164619,0.004514345759,0.003654204794,0.002303994809,0.01138557644,0.0279503599,0.1559631311,38.39458495,194.3973389,134.4065152,133.9555671,501.8973389,292.0750876,291.6263652,598.8973389,331.7563429,335.2821715,1010.897339,536.4333398,547.2837209,0.001337542117,0.0008289673986,0.4499995523,0.0,96.29204181,2.72118809,99.0132299,1.856011029,0.0,37.26825545,1.126329498,38.39458495,1.65453579
