,parnme,parval1,i,j,x,y,pargp,tpl_filename,input_filename,partype,partrans,parubnd,parlbnd,parchglim,scale,dercom,offset
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:11_x:2875.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:11_x:2875.00_y:9875.00_zone:1,36.57383,0,11,2875.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:12_x:3125.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:12_x:3125.00_y:9875.00_zone:1,36.24027,0,12,3125.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:13_x:3375.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:13_x:3375.00_y:9875.00_zone:1,35.87683,0,13,3375.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:14_x:3625.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:14_x:3625.00_y:9875.00_zone:1,35.49933,0,14,3625.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:15_x:3875.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:15_x:3875.00_y:9875.00_zone:1,35.08058,0,15,3875.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:16_x:4125.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:16_x:4125.00_y:9875.00_zone:1,35.20359,0,16,4125.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:17_x:4375.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:17_x:4375.00_y:9875.00_zone:1,35.27419,0,17,4375.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:18_x:4625.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:18_x:4625.00_y:9875.00_zone:1,35.31944,0,18,4625.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:19_x:4875.00_y:9875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:0_j:19_x:4875.00_y:9875.00_zone:1,35.34415,0,19,4875.0,9875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:0_x:125.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:0_x:125.00_y:9625.00_zone:1,39.44428,1,0,125.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:1_x:375.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:1_x:375.00_y:9625.00_zone:1,39.3683,1,1,375.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:2_x:625.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:2_x:625.00_y:9625.00_zone:1,39.2257,1,2,625.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:3_x:875.00_y:9625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:1_j:3_x:875.00_y:9625.00_zone:1,39.00458,1,3,875.0,9625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
