,parnme,parval1,i,j,x,y,pargp,tpl_filename,input_filename,partype,partrans,parubnd,parlbnd,parchglim,scale,dercom,offset
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:9_x:2375.00_y:7625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:9_x:2375.00_y:7625.00_zone:1,36.1939,9,9,2375.0,7625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:10_x:2625.00_y:7625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:10_x:2625.00_y:7625.00_zone:1,35.99963,9,10,2625.0,7625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:11_x:2875.00_y:7625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:11_x:2875.00_y:7625.00_zone:1,35.78482,9,11,2875.0,7625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:12_x:3125.00_y:7625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:12_x:3125.00_y:7625.00_zone:1,35.53898,9,12,3125.0,7625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:13_x:3375.00_y:7625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:13_x:3375.00_y:7625.00_zone:1,35.27147,9,13,3375.0,7625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:14_x:3625.00_y:7625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:14_x:3625.00_y:7625.00_zone:1,35.01722,9,14,3625.0,7625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:15_x:3875.00_y:7625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:15_x:3875.00_y:7625.00_zone:1,34.69901,9,15,3875.0,7625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:16_x:4125.00_y:7625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:16_x:4125.00_y:7625.00_zone:1,34.51911,9,16,4125.0,7625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:17_x:4375.00_y:7625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:17_x:4375.00_y:7625.00_zone:1,34.80622,9,17,4375.0,7625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:18_x:4625.00_y:7625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:18_x:4625.00_y:7625.00_zone:1,34.93839,9,18,4625.0,7625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:19_x:4875.00_y:7625.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:9_j:19_x:4875.00_y:7625.00_zone:1,34.99188,9,19,4875.0,7625.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:0_x:125.00_y:7375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:0_x:125.00_y:7375.00_zone:1,40.10696,10,0,125.0,7375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:1_x:375.00_y:7375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:1_x:375.00_y:7375.00_zone:1,40.0849,10,1,375.0,7375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:2_x:625.00_y:7375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:2_x:625.00_y:7375.00_zone:1,40.06375,10,2,625.0,7375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:3_x:875.00_y:7375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:3_x:875.00_y:7375.00_zone:1,40.05173,10,3,875.0,7375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:8_x:2125.00_y:7375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:8_x:2125.00_y:7375.00_zone:1,36.11096,10,8,2125.0,7375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:9_x:2375.00_y:7375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:9_x:2375.00_y:7375.00_zone:1,36.00449,10,9,2375.0,7375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:10_x:2625.00_y:7375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:10_x:2625.00_y:7375.00_zone:1,35.84815,10,10,2625.0,7375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:11_x:2875.00_y:7375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:11_x:2875.00_y:7375.00_zone:1,35.64915,10,11,2875.0,7375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:12_x:3125.00_y:7375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:12_x:3125.00_y:7375.00_zone:1,35.39447,10,12,3125.0,7375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:13_x:3375.00_y:7375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:13_x:3375.00_y:7375.00_zone:1,35.10917,10,13,3375.0,7375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:14_x:3625.00_y:7375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:14_x:3625.00_y:7375.00_zone:1,34.92772,10,14,3625.0,7375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:15_x:3875.00_y:7375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:15_x:3875.00_y:7375.00_zone:1,34.70116,10,15,3875.0,7375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:16_x:4125.00_y:7375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:16_x:4125.00_y:7375.00_zone:1,34.72268,10,16,4125.0,7375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:17_x:4375.00_y:7375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:17_x:4375.00_y:7375.00_zone:1,34.84064,10,17,4375.0,7375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:18_x:4625.00_y:7375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:18_x:4625.00_y:7375.00_zone:1,34.93041,10,18,4625.0,7375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:19_x:4875.00_y:7375.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:10_j:19_x:4875.00_y:7375.00_zone:1,34.97556,10,19,4875.0,7375.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:0_x:125.00_y:7125.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:0_x:125.00_y:7125.00_zone:1,40.13375,11,0,125.0,7125.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:1_x:375.00_y:7125.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:1_x:375.00_y:7125.00_zone:1,40.12455,11,1,375.0,7125.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:2_x:625.00_y:7125.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:2_x:625.00_y:7125.00_zone:1,40.11404,11,2,625.0,7125.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:3_x:875.00_y:7125.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:3_x:875.00_y:7125.00_zone:1,40.10673,11,3,875.0,7125.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:8_x:2125.00_y:7125.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:8_x:2125.00_y:7125.00_zone:1,35.94029,11,8,2125.0,7125.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:9_x:2375.00_y:7125.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:9_x:2375.00_y:7125.00_zone:1,35.85919,11,9,2375.0,7125.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:10_x:2625.00_y:7125.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:10_x:2625.00_y:7125.00_zone:1,35.7219,11,10,2625.0,7125.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:11_x:2875.00_y:7125.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:11_x:2875.00_y:7125.00_zone:1,35.53486,11,11,2875.0,7125.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:12_x:3125.00_y:7125.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:12_x:3125.00_y:7125.00_zone:1,35.25414,11,12,3125.0,7125.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:13_x:3375.00_y:7125.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:13_x:3375.00_y:7125.00_zone:1,34.81543,11,13,3375.0,7125.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:14_x:3625.00_y:7125.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:14_x:3625.00_y:7125.00_zone:1,34.84076,11,14,3625.0,7125.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:15_x:3875.00_y:7125.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:15_x:3875.00_y:7125.00_zone:1,34.69898,11,15,3875.0,7125.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:16_x:4125.00_y:7125.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:16_x:4125.00_y:7125.00_zone:1,34.79051,11,16,4125.0,7125.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:17_x:4375.00_y:7125.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:17_x:4375.00_y:7125.00_zone:1,34.87362,11,17,4375.0,7125.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:18_x:4625.00_y:7125.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:18_x:4625.00_y:7125.00_zone:1,34.93889,11,18,4625.0,7125.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:19_x:4875.00_y:7125.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:11_j:19_x:4875.00_y:7125.00_zone:1,34.97415,11,19,4875.0,7125.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:0_x:125.00_y:6875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:0_x:125.00_y:6875.00_zone:1,40.12694,12,0,125.0,6875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:1_x:375.00_y:6875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:1_x:375.00_y:6875.00_zone:1,40.11987,12,1,375.0,6875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:2_x:625.00_y:6875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:2_x:625.00_y:6875.00_zone:1,40.11269,12,2,625.0,6875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:3_x:875.00_y:6875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:3_x:875.00_y:6875.00_zone:1,40.10679,12,3,875.0,6875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:8_x:2125.00_y:6875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:8_x:2125.00_y:6875.00_zone:1,35.81938,12,8,2125.0,6875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:9_x:2375.00_y:6875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:9_x:2375.00_y:6875.00_zone:1,35.75262,12,9,2375.0,6875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:10_x:2625.00_y:6875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:10_x:2625.00_y:6875.00_zone:1,35.63128,12,10,2625.0,6875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:11_x:2875.00_y:6875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:11_x:2875.00_y:6875.00_zone:1,35.47031,12,11,2875.0,6875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:12_x:3125.00_y:6875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:12_x:3125.00_y:6875.00_zone:1,35.25774,12,12,3125.0,6875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:13_x:3375.00_y:6875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:13_x:3375.00_y:6875.00_zone:1,35.01521,12,13,3375.0,6875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:14_x:3625.00_y:6875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:14_x:3625.00_y:6875.00_zone:1,34.88216,12,14,3625.0,6875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:15_x:3875.00_y:6875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:15_x:3875.00_y:6875.00_zone:1,34.71364,12,15,3875.0,6875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:16_x:4125.00_y:6875.00_zone:1,pname:icstrtlayer1_inst:0_ptype:gr_pstyle:d_i:12_j:16_x:4125.00_y:6875.00_zone:1,34.81999,12,16,4125.0,6875.0,icstrtlayer1,part2_01b_OUT\freyberg6_template\freyberg6.ic_strt_layer1.txt.tpl,part2_01b_OUT\freyberg6_template\org\freyberg6.ic_strt_layer1.txt,grid,none,50,15,factor,1.0,1,0.0
