,0,1
0,1470.8953,7.3943706
1,1525.0,0.0
2,1524.3895,30.507325
3,1524.3895,-30.50732
4,1475.6991,59.451079
5,1523.7789,61.01465
6,1521.9483,91.47312
7,1471.5497,-53.70288
8,1523.7789,-61.01465
9,1521.9483,-91.47312
10,1463.8241,111.07067
11,1520.1177,121.93159
12,1517.0699,152.29243
13,1460.4512,173.42613
14,1514.0221,182.65327
15,1509.762,212.86786
16,1453.4198,234.33117
17,1505.5019,243.08244
18,1500.0363,273.10239
19,1443.6622,294.01616
20,1494.5708,303.12234
21,1487.9085,332.89958
22,1430.9793,352.36941
23,1481.2463,362.67682
24,1473.398,392.16366
25,1415.7626,409.69203
26,1465.5497,421.65051
27,1456.5279,450.79973
28,1398.2142,466.11678
29,1447.5061,479.94895
30,1437.3253,508.71388
31,1378.4428,521.6941
32,1427.1445,537.47881
33,1415.821,565.81337
34,1356.4344,576.42565
35,1404.4975,594.14794
36,1392.0494,622.00676
37,1332.2216,630.24424
38,1379.6013,649.86559
39,1366.0485,677.20407
40,1305.9343,683.06052
41,1352.4958,704.54255
42,1337.8601,731.31689
43,1277.6155,734.81395
44,1323.2243,758.09124
45,1307.5291,784.25858
46,1247.2106,785.38284
47,1291.8339,810.42592
48,1275.1043,835.94434
49,1214.7867,834.64515
50,1258.3747,861.46277
51,1240.6375,886.29142
52,1180.4375,882.54984
53,1222.9003,911.12007
54,1204.184,935.21918
55,1144.1867,929.04443
56,1185.4676,959.31829
57,1165.802,982.64927
58,1106.1066,974.04575
59,1146.1364,1005.9803
60,1125.5531,1028.5057
61,1066.2747,1017.4846
62,1104.9698,1051.0312
63,1083.5018,1072.7152
64,1024.6951,1059.3023
65,1062.0337,1094.3991
66,1039.7153,1115.2067
67,981.43408,1099.4306
68,1017.3969,1136.0143
69,994.26383,1155.9124
70,936.65007,1137.8312
71,971.13077,1175.8104
72,947.22012,1194.7669
73,890.40825,1174.4628
74,923.30947,1213.7235
75,898.65952,1231.7082
76,842.70618,1209.1911
77,874.00957,1249.6929
78,848.6598,1266.6769
79,793.65336,1241.9297
80,823.31003,1283.661
81,797.30103,1299.6172
82,743.35537,1272.6676
83,771.29203,1315.5735
84,744.66545,1330.4763
85,691.83015,1301.3598
86,718.03888,1345.3792
87,690.83736,1359.2048
88,639.15794,1327.962
89,663.63585,1373.0304
90,635.90296,1385.7566
91,585.50065,1352.4822
92,608.17006,1398.4828
93,579.95021,1410.0892
94,530.93181,1374.8989
95,551.73035,1421.6957
96,523.06872,1432.1638
97,475.48599,1395.0828
98,494.40709,1442.6318
99,465.34959,1451.9448
100,419.29231,1412.9809
101,436.29209,1461.2578
102,406.88524,1469.4007
103,362.45525,1428.612
104,377.4784,1477.5436
105,347.76931,1484.5034
106,305.00448,1441.9377
107,318.06021,1491.4633
108,288.09645,1497.2289
109,247.02937,1452.9378
110,258.13268,1502.9945
111,227.96223,1507.5567
112,188.68339,1461.6647
113,197.79177,1512.1188
114,167.46295,1515.4703
115,130.04304,1468.1181
116,137.13412,1518.8217
117,106.69549,1520.9569
118,71.177349,1472.1831
119,76.25686,1523.0922
120,45.75717,1524.0079
121,12.225145,1473.8448
122,15.25748,1524.9237
123,-15.25443,1524.6184
124,-46.71794,1473.1507
125,-45.76633,1524.3131
126,-76.24159,1522.7873
127,-105.5953,1470.0902
128,-106.7169,1521.2615
129,-137.1067,1518.5176
130,-164.2974,1464.6747
131,-167.4965,1515.7737
132,-197.7522,1511.8161
133,-222.723,1456.9281
134,-228.0079,1507.8586
135,-258.081,1502.6936
136,-280.8217,1446.8203
137,-288.1541,1497.5287
138,-317.9965,1491.1647
139,-338.4997,1434.3664
140,-347.8389,1484.8007
141,-377.4028,1477.2478
142,-395.6345,1419.6743
143,-406.9667,1469.6949
144,-436.2047,1460.9652
145,-452.1553,1402.7737
146,-465.4428,1452.2355
147,-494.3081,1442.343
148,-507.9532,1383.5856
149,-523.1735,1432.4505
150,-551.6199,1421.4111
151,-562.8947,1362.1503
152,-580.0663,1410.3716
153,-608.0483,1398.2028
154,-616.9102,1338.5479
155,-636.0303,1386.0341
156,-663.503,1372.7555
157,-669.9527,1312.7674
158,-690.9757,1359.477
159,-717.8951,1345.1099
160,-721.9398,1284.8492
161,-744.8146,1330.7427
162,-771.1376,1315.3101
163,-772.7853,1254.9305
164,-797.4607,1299.8775
165,-823.1452,1283.404
166,-822.4295,1223.0594
167,-848.8297,1266.9306
168,-873.8346,1249.4427
169,-870.7464,1189.1899
170,-898.8395,1231.9548
171,-923.1246,1213.4805
172,-917.6187,1153.3978
173,-947.4098,1195.0061
174,-970.9364,1175.575
175,-963.0021,1115.7801
176,-994.4629,1156.1438
177,-1017.193,1135.7869
178,-1006.846,1076.3642
179,-1039.924,1115.43
180,-1061.821,1094.18
181,-1049.072,1035.2279
182,-1083.719,1072.9299
183,-1104.749,1050.8208
184,-1089.617,992.45339
185,-1125.779,1028.7117
186,-1145.907,1005.7789
187,-1128.422,948.04903
188,-1166.035,982.84604
189,-1185.23,959.12624
190,-1165.424,902.08554
191,-1204.425,935.40645
192,-1222.656,910.93767
193,-1200.596,854.72375
194,-1240.886,886.46889
195,-1258.123,861.29031
196,-1233.902,806.03151
197,-1275.36,836.11173
198,-1291.575,810.26367
199,-1265.207,756.01578
200,-1307.791,784.41562
201,-1322.959,757.93947
202,-1294.432,704.79187
203,-1338.128,731.46333
204,-1352.225,704.4015
205,-1321.575,652.46586
206,-1366.322,677.33967
207,-1379.325,649.73549
208,-1346.591,599.05879
209,-1392.328,622.13131
210,-1404.216,594.02899
211,-1369.441,544.6538
212,-1416.105,565.92667
213,-1426.859,537.37121
214,-1390.146,489.4119
215,-1437.613,508.81574
216,-1447.216,479.85287
217,-1408.689,433.40787
218,-1456.82,450.89
219,-1465.256,421.56609
220,-1424.943,376.68527
221,-1473.693,392.24219
222,-1480.95,362.60422
223,-1438.865,319.37663
224,-1488.206,332.96624
225,-1494.272,303.06166
226,-1450.48,261.58485
227,-1500.337,273.15708
228,-1505.2,243.03378
229,-1459.752,203.3423
230,-1510.064,212.91048
231,-1513.719,182.6167
232,-1466.668,144.73983
233,-1517.374,152.32292
234,-1519.813,121.90718
235,-1471.306,85.946182
236,-1522.253,91.491436
237,-1523.474,61.002435
238,-1473.687,27.033874
239,-1524.695,30.513434
240,-1524.695,0.0
241,-1473.672,-31.95664
242,-1524.695,-30.51343
243,-1523.474,-61.00244
244,-1471.19,-90.90821
245,-1522.253,-91.49144
246,-1519.813,-121.9072
247,-1466.297,-149.688
248,-1517.374,-152.3229
249,-1513.719,-182.6167
250,-1459.074,-208.1999
251,-1510.064,-212.9105
252,-1505.2,-243.0338
253,-1449.57,-266.3785
254,-1500.337,-273.1571
255,-1494.272,-303.0617
256,-1437.77,-324.1331
257,-1488.206,-332.9662
258,-1480.95,-362.6042
259,-1423.623,-381.3877
260,-1473.693,-392.2422
261,-1465.256,-421.5661
262,-1407.163,-438.0549
263,-1456.82,-450.89
264,-1447.216,-479.8529
265,-1388.508,-494.0223
266,-1437.613,-508.8157
267,-1426.859,-537.3712
268,-1367.693,-549.222
269,-1416.105,-565.9267
270,-1404.216,-594.029
271,-1344.647,-603.5405
272,-1392.328,-622.1313
273,-1379.325,-649.7355
274,-1319.419,-656.8472
275,-1366.322,-677.3397
276,-1352.225,-704.4015
277,-1292.094,-709.0786
278,-1338.128,-731.4633
279,-1322.959,-757.9395
280,-1262.665,-760.1869
281,-1307.791,-784.4156
282,-1291.575,-810.2637
283,-1231.177,-810.0929
