,time,total_in,total_out,sources,sinks,fluid_storage,total_mass,error_in-out,error_alt
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,36.5,315360000.0,-196369000.0,315360000.0,0.0,0.0,196369000.0,46.5,46.5
2,73.0,630720000.0,-369099000.0,630720000.0,0.0,0.0,369099000.0,52.3,52.3
3,109.5,946080000.0,-612397000.0,946080000.0,-2.93141e-31,0.0,612397000.0,42.8,42.8
4,146.0,1261440000.0,-844222000.0,1261440000.0,-6.46552e-30,0.0,844222000.0,39.6,39.6
5,182.5,1576800000.0,-1058460000.0,1576800000.0,-6.97451e-29,0.0,1058460000.0,39.3,39.3
6,219.0,1892160000.0,-1358820000.0,1892160000.0,-5.82266e-28,0.0,1358820000.0,32.8,32.8
7,255.5,2207520000.0,-1696600000.0,2207520000.0,-6.50804e-27,0.0,1696600000.0,26.2,26.2
8,292.0,2522880000.0,-1927380000.0,2522880000.0,-8.14751e-26,0.0,1927380000.0,26.8,26.8
9,328.5,2838240000.0,-2407310000.0,2838240000.0,-1.49481e-24,0.0,2407310000.0,16.4,16.4
10,365.0,3153600000.0,-2980200000.0,3153600000.0,-1.61563e-23,0.0,2980200000.0,5.65,5.65
11,401.5,3468960000.0,-3089490000.0,3468960000.0,-2.22988e-22,0.0,3089490000.0,11.6,11.6
12,438.0,3784320000.0,-3542390000.0,3784320000.0,-6.80861e-21,0.0,3542390000.0,6.6,6.6
13,474.5,4099680000.0,-3604630000.0,4099680000.0,-1.80811e-19,0.0,3604630000.0,12.9,12.9
14,511.0,4434040000.0,-3834760000.0,4415040000.0,-7.63906e-17,0.0,3815770000.0,14.5,14.6
15,547.5,4749390000.0,-4388350000.0,4730400000.0,-2.95887e-16,0.0,4369360000.0,7.9,7.94
16,584.0,5075510000.0,-4512760000.0,5045760000.0,-5.80807e-16,0.0,4483020000.0,11.7,11.8
17,620.5,5390870000.0,-4814900000.0,5361120000.0,-9.35534e-16,0.0,4785150000.0,11.3,11.4
18,657.0,5716870000.0,-4868510000.0,5676480000.0,-1.36488e-15,0.0,4828120000.0,16.0,16.2
19,693.5,6044860000.0,-5006570000.0,5991840000.0,-1.87397e-15,0.0,4953550000.0,18.8,19.0
20,730.0,6360220000.0,-5305380000.0,6307200000.0,-2.46822e-15,0.0,5252350000.0,18.1,18.3
21,766.5,6689050000.0,-5444220000.0,6622560000.0,-3.15336e-15,0.0,5377720000.0,20.5,20.7
22,803.0,7004410000.0,-5766800000.0,6937920000.0,-3.93544e-15,0.0,5700300000.0,19.4,19.6
23,839.5,7345650000.0,-6052950000.0,7253280000.0,-4.82088e-15,0.0,5960590000.0,19.3,19.6
24,876.0,7668780000.0,-6421640000.0,7568640000.0,-5.81645e-15,0.0,6321490000.0,17.7,18.0
25,912.5,7984140000.0,-6611650000.0,7884000000.0,-6.92929e-15,0.0,6511510000.0,18.8,19.1
26,949.0,8162240000.0,-6924990000.0,7884000000.0,-313244000.0,0.0,6333500000.0,16.4,17.0
27,985.5,8518310000.0,-7237470000.0,7884000000.0,-625076000.0,0.0,5978070000.0,16.3,17.7
28,1022.0,8810170000.0,-7563660000.0,7884000000.0,-934218000.0,0.0,5703270000.0,15.2,17.2
29,1058.5,9117020000.0,-7892450000.0,7884000000.0,-1241950000.0,0.0,5417480000.0,14.4,16.8
30,1095.0,9291350000.0,-8217500000.0,7884000000.0,-1544020000.0,0.0,5266120000.0,12.3,14.6
31,1131.5,9566050000.0,-8523220000.0,7884000000.0,-1844300000.0,0.0,4996870000.0,11.5,14.2
32,1168.0,9693910000.0,-8835440000.0,7884000000.0,-2137180000.0,0.0,4888340000.0,9.27,11.5
33,1204.5,9787010000.0,-9122230000.0,7884000000.0,-2420590000.0,0.0,4798630000.0,7.03,8.8
34,1241.0,10059800000.0,-9405840000.0,7884000000.0,-2702460000.0,0.0,4527570000.0,6.72,8.65
35,1277.5,10204200000.0,-9693520000.0,7884000000.0,-2974860000.0,0.0,4398420000.0,5.13,6.69
36,1314.0,10486700000.0,-9977620000.0,7884000000.0,-3245590000.0,0.0,4129290000.0,4.98,6.67
37,1350.5,10803700000.0,-10246700000.0,7884000000.0,-3505010000.0,0.0,3821990000.0,5.29,7.32
38,1387.0,10901400000.0,-10506800000.0,7884000000.0,-3757730000.0,0.0,3731670000.0,3.69,5.13
39,1423.5,11146600000.0,-10765700000.0,7884000000.0,-4008710000.0,0.0,3494300000.0,3.48,4.95
40,1460.0,11297900000.0,-11019000000.0,7884000000.0,-4251250000.0,0.0,3353910000.0,2.5,3.6
41,1496.5,11700100000.0,-11258700000.0,7884000000.0,-4489280000.0,0.0,2953390000.0,3.84,5.76
42,1533.0,11875400000.0,-11496500000.0,7884000000.0,-4719390000.0,0.0,2785740000.0,3.24,4.92
