,0,1,2,3
0,1,2,-38.22473770063831,0.019745085522583087
1,2,1,38.22473770063831,0.019745085522583087
2,2,3,-38.06821485672603,0.019696534353585027
3,3,2,38.06821485672603,0.019696534353585027
4,3,4,-40.122223552649096,0.020327468971376297
5,4,3,40.122223552649096,0.020327468971376297
6,4,5,-37.12350464196987,0.01940178520250753
7,5,4,37.12350464196987,0.01940178520250753
8,5,6,-32.57145916452966,0.017937199552538585
9,6,5,32.57145916452966,0.017937199552538585
10,6,7,-29.018152679818396,0.016736096357756594
11,7,6,29.018152679818396,0.016736096357756594
12,7,8,-18.312313438823608,0.012696915775516137
13,8,7,18.312313438823608,0.012696915775516137
14,9,10,-168.0424316499365,0.04810684216623835
15,10,9,168.0424316499365,0.04810684216623835
16,10,11,-180.04368108339807,0.050139754786422255
17,11,10,180.04368108339807,0.050139754786422255
18,11,12,-188.4811214887864,0.05153665056580228
19,12,11,188.4811214887864,0.05153665056580228
20,12,13,-193.0697440324207,0.05228583016747562
21,13,12,193.0697440324207,0.05228583016747562
22,13,14,-198.82719725959694,0.05321584343088604
23,14,13,198.82719725959694,0.05321584343088604
24,14,15,-199.84355117782235,0.05337889245534927
25,15,14,199.84355117782235,0.05337889245534927
26,15,16,-206.05237792728576,0.0543678368484832
27,16,15,206.05237792728576,0.0543678368484832
28,16,17,-210.55584626767237,0.055077707856072675
29,17,16,210.55584626767237,0.055077707856072675
30,17,18,-210.55584626767237,0.055077707856072675
31,18,17,210.55584626767237,0.055077707856072675
