,0,1,2
0,0,0,3
1,0,1,3
2,0,1,2
3,0,2,2
4,0,2,1
5,0,3,1
6,0,4,1
7,0,5,1
8,0,6,1
9,0,7,1
10,0,7,2
11,0,7,3
12,0,7,4
13,0,6,4
14,0,5,4
15,0,4,4
16,0,3,4
17,0,3,5
18,0,3,6
19,0,4,6
20,0,4,7
21,0,5,7
22,0,5,8
23,0,6,8
24,0,7,8
25,0,7,7
26,0,8,7
27,0,8,6
28,0,8,5
29,0,8,4
30,0,9,4
31,0,9,3
32,0,10,3
33,0,11,3
34,0,12,3
35,0,13,3
36,0,13,4
37,0,14,4
38,0,14,5
39,0,14,6
40,0,13,6
41,0,13,7
42,0,12,7
43,0,11,7
44,0,11,8
45,0,10,8
46,0,9,8
47,0,8,8
48,0,7,8
49,0,7,9
50,0,6,9
51,0,5,9
52,0,4,9
53,0,3,9
54,0,2,9
55,0,2,10
56,0,1,10
57,0,0,10
58,0,0,11
59,0,0,12
60,0,0,13
61,0,1,13
62,0,2,13
63,0,3,13
64,0,4,13
65,0,5,13
66,0,6,13
67,0,6,12
68,0,7,12
69,0,8,12
70,0,9,12
71,0,10,12
72,0,11,12
73,0,12,12
74,0,12,13
75,0,13,13
76,0,13,14
77,0,13,15
78,0,12,15
79,0,11,15
80,0,10,15
81,0,10,16
82,0,9,16
83,0,9,15
84,0,8,15
85,0,7,15
86,0,6,15
87,0,6,16
88,0,6,17
