,cA0,cA1,cA2,cB0,cB1,cB2
207,3,0,8,3,0,8
208,3,0,9,3,0,9
209,3,0,10,3,0,10
210,3,0,11,3,0,11
211,3,0,12,3,0,12
212,3,0,13,3,0,13
213,3,0,14,3,0,14
214,3,0,15,3,0,15
215,3,0,16,3,0,16
216,3,0,17,3,0,17
217,3,0,17,3,0,17
218,3,1,0,3,1,0
219,3,1,17,3,1,17
220,3,2,0,3,2,0
221,3,2,17,3,2,17
222,3,3,0,3,3,0
223,3,3,17,3,3,17
224,3,4,0,3,4,0
225,3,4,17,3,4,17
226,3,5,0,3,5,0
227,3,5,17,3,5,17
228,3,6,0,3,6,0
229,3,6,17,3,6,17
230,3,7,0,3,7,0
231,3,7,17,3,7,17
232,3,8,0,3,8,0
233,3,8,17,3,8,17
234,3,9,0,3,9,0
235,3,9,17,3,9,17
236,3,10,0,3,10,0
237,3,10,17,3,10,17
238,3,11,0,3,11,0
239,3,11,17,3,11,17
240,3,12,0,3,12,0
241,3,12,17,3,12,17
242,3,13,0,3,13,0
243,3,13,17,3,13,17
244,3,14,0,3,14,0
245,3,14,0,3,14,0
246,3,14,1,3,14,1
247,3,14,2,3,14,2
248,3,14,3,3,14,3
249,3,14,4,3,14,4
250,3,14,5,3,14,5
251,3,14,6,3,14,6
252,3,14,7,3,14,7
253,3,14,8,3,14,8
254,3,14,9,3,14,9
255,3,14,10,3,14,10
256,3,14,11,3,14,11
257,3,14,12,3,14,12
258,3,14,13,3,14,13
259,3,14,14,3,14,14
260,3,14,15,3,14,15
261,3,14,16,3,14,16
262,3,14,17,3,14,17
263,3,14,17,3,14,17
264,4,0,0,4,0,0
265,4,0,0,4,0,0
266,4,0,1,4,0,1
267,4,0,2,4,0,2
268,4,0,3,4,0,3
269,4,0,4,4,0,4
270,4,0,5,4,0,5
271,4,0,6,4,0,6
272,4,0,7,4,0,7
273,4,0,8,4,0,8
274,4,0,9,4,0,9
275,4,0,10,4,0,10
276,4,0,11,4,0,11
277,4,0,12,4,0,12
278,4,0,13,4,0,13
279,4,0,14,4,0,14
280,4,0,15,4,0,15
281,4,0,16,4,0,16
282,4,0,17,4,0,17
283,4,0,17,4,0,17
284,4,1,0,4,1,0
285,4,1,17,4,1,17
286,4,2,0,4,2,0
287,4,2,17,4,2,17
288,4,3,0,4,3,0
289,4,3,17,4,3,17
290,4,4,0,4,4,0
291,4,4,17,4,4,17
292,4,5,0,4,5,0
293,4,5,17,4,5,17
294,4,6,0,4,6,0
295,4,6,17,4,6,17
296,4,7,0,4,7,0
297,4,7,17,4,7,17
298,4,8,0,4,8,0
299,4,8,17,4,8,17
300,4,9,0,4,9,0
301,4,9,17,4,9,17
302,4,10,0,4,10,0
303,4,10,17,4,10,17
304,4,11,0,4,11,0
305,4,11,17,4,11,17
306,4,12,0,4,12,0
307,4,12,17,4,12,17
308,4,13,0,4,13,0
309,4,13,17,4,13,17
310,4,14,0,4,14,0
311,4,14,0,4,14,0
312,4,14,1,4,14,1
313,4,14,2,4,14,2
314,4,14,3,4,14,3
315,4,14,4,4,14,4
316,4,14,5,4,14,5
317,4,14,6,4,14,6
318,4,14,7,4,14,7
319,4,14,8,4,14,8
320,4,14,9,4,14,9
321,4,14,10,4,14,10
322,4,14,11,4,14,11
323,4,14,12,4,14,12
324,4,14,13,4,14,13
325,4,14,14,4,14,14
326,4,14,15,4,14,15
327,4,14,16,4,14,16
328,4,14,17,4,14,17
329,4,14,17,4,14,17
330,5,0,0,5,0,0
331,5,0,0,5,0,0
332,5,0,0,5,0,0
333,5,0,1,5,0,1
334,5,0,1,5,0,1
335,5,0,2,5,0,2
336,5,0,2,5,0,2
337,5,0,3,5,0,3
338,5,0,3,5,0,3
339,5,0,4,5,0,4
340,5,0,4,5,0,4
341,5,0,5,5,0,5
342,5,0,5,5,0,5
343,5,0,6,5,0,6
344,5,0,6,5,0,6
345,5,0,7,5,0,7
346,5,0,7,5,0,7
347,5,0,8,5,0,8
348,5,0,8,5,0,8
349,5,0,9,5,0,9
350,5,0,9,5,0,9
351,5,0,10,5,0,10
352,5,0,10,5,0,10
353,5,0,11,5,0,11
354,5,0,11,5,0,11
355,5,0,12,5,0,12
356,5,0,12,5,0,12
357,5,0,13,5,0,13
358,5,0,13,5,0,13
359,5,0,14,5,0,14
360,5,0,14,5,0,14
361,5,0,15,5,0,15
362,5,0,15,5,0,15
363,5,0,16,5,0,16
364,5,0,16,5,0,16
365,5,0,17,5,0,17
366,5,0,17,5,0,17
367,5,0,17,5,0,17
368,5,1,0,5,1,0
369,5,1,0,5,1,0
370,5,1,1,5,1,1
371,5,1,2,5,1,2
372,5,1,3,5,1,3
373,5,1,4,5,1,4
374,5,1,5,5,1,5
375,5,1,6,5,1,6
376,5,1,7,5,1,7
377,5,1,8,5,1,8
378,5,1,9,5,1,9
379,5,1,10,5,1,10
380,5,1,11,5,1,11
381,5,1,12,5,1,12
382,5,1,13,5,1,13
383,5,1,14,5,1,14
384,5,1,15,5,1,15
385,5,1,16,5,1,16
386,5,1,17,5,1,17
387,5,1,17,5,1,17
388,5,2,0,5,2,0
389,5,2,0,5,2,0
390,5,2,1,5,2,1
391,5,2,2,5,2,2
392,5,2,3,5,2,3
393,5,2,4,5,2,4
394,5,2,5,5,2,5
395,5,2,6,5,2,6
396,5,2,7,5,2,7
397,5,2,8,5,2,8
398,5,2,9,5,2,9
399,5,2,10,5,2,10
400,5,2,11,5,2,11
401,5,2,12,5,2,12
402,5,2,13,5,2,13
403,5,2,14,5,2,14
404,5,2,15,5,2,15
405,5,2,16,5,2,16
406,5,2,17,5,2,17
407,5,2,17,5,2,17
408,5,3,0,5,3,0
409,5,3,0,5,3,0
410,5,3,1,5,3,1
411,5,3,2,5,3,2
412,5,3,3,5,3,3
413,5,3,4,5,3,4
414,5,3,5,5,3,5
415,5,3,6,5,3,6
416,5,3,7,5,3,7
417,5,3,8,5,3,8
418,5,3,9,5,3,9
419,5,3,10,5,3,10
420,5,3,11,5,3,11
421,5,3,12,5,3,12
422,5,3,13,5,3,13
423,5,3,14,5,3,14
424,5,3,15,5,3,15
425,5,3,16,5,3,16
426,5,3,17,5,3,17
427,5,3,17,5,3,17
428,5,4,0,5,4,0
429,5,4,0,5,4,0
430,5,4,1,5,4,1
431,5,4,2,5,4,2
432,5,4,3,5,4,3
433,5,4,4,5,4,4
434,5,4,5,5,4,5
435,5,4,6,5,4,6
436,5,4,7,5,4,7
437,5,4,8,5,4,8
438,5,4,9,5,4,9
439,5,4,10,5,4,10
440,5,4,11,5,4,11
441,5,4,12,5,4,12
442,5,4,13,5,4,13
443,5,4,14,5,4,14
444,5,4,15,5,4,15
445,5,4,16,5,4,16
446,5,4,17,5,4,17
447,5,4,17,5,4,17
448,5,5,0,5,5,0
449,5,5,0,5,5,0
450,5,5,1,5,5,1
451,5,5,2,5,5,2
452,5,5,3,5,5,3
453,5,5,4,5,5,4
454,5,5,5,5,5,5
455,5,5,6,5,5,6
456,5,5,7,5,5,7
457,5,5,8,5,5,8
458,5,5,9,5,5,9
459,5,5,10,5,5,10
460,5,5,11,5,5,11
461,5,5,12,5,5,12
462,5,5,13,5,5,13
463,5,5,14,5,5,14
464,5,5,15,5,5,15
465,5,5,16,5,5,16
466,5,5,17,5,5,17
467,5,5,17,5,5,17
468,5,6,0,5,6,0
469,5,6,0,5,6,0
470,5,6,1,5,6,1
471,5,6,2,5,6,2
472,5,6,3,5,6,3
473,5,6,4,5,6,4
474,5,6,5,5,6,5
475,5,6,6,5,6,6
476,5,6,7,5,6,7
477,5,6,8,5,6,8
478,5,6,9,5,6,9
479,5,6,10,5,6,10
480,5,6,11,5,6,11
481,5,6,12,5,6,12
482,5,6,13,5,6,13
483,5,6,14,5,6,14
484,5,6,15,5,6,15
485,5,6,16,5,6,16
486,5,6,17,5,6,17
487,5,6,17,5,6,17
488,5,7,0,5,7,0
489,5,7,0,5,7,0
490,5,7,1,5,7,1
491,5,7,2,5,7,2
492,5,7,3,5,7,3
493,5,7,4,5,7,4
494,5,7,5,5,7,5
495,5,7,6,5,7,6
496,5,7,7,5,7,7
497,5,7,8,5,7,8
498,5,7,9,5,7,9
499,5,7,10,5,7,10
500,5,7,11,5,7,11
501,5,7,12,5,7,12
502,5,7,13,5,7,13
503,5,7,14,5,7,14
504,5,7,15,5,7,15
505,5,7,16,5,7,16
506,5,7,17,5,7,17
507,5,7,17,5,7,17
508,5,8,0,5,8,0
509,5,8,0,5,8,0
510,5,8,1,5,8,1
511,5,8,2,5,8,2
512,5,8,3,5,8,3
513,5,8,4,5,8,4
514,5,8,5,5,8,5
515,5,8,6,5,8,6
516,5,8,7,5,8,7
517,5,8,8,5,8,8
518,5,8,9,5,8,9
519,5,8,10,5,8,10
520,5,8,11,5,8,11
521,5,8,12,5,8,12
522,5,8,13,5,8,13
523,5,8,14,5,8,14
524,5,8,15,5,8,15
525,5,8,16,5,8,16
526,5,8,17,5,8,17
527,5,8,17,5,8,17
528,5,9,0,5,9,0
529,5,9,0,5,9,0
530,5,9,1,5,9,1
531,5,9,2,5,9,2
532,5,9,3,5,9,3
533,5,9,4,5,9,4
534,5,9,5,5,9,5
535,5,9,6,5,9,6
536,5,9,7,5,9,7
537,5,9,8,5,9,8
538,5,9,9,5,9,9
539,5,9,10,5,9,10
540,5,9,11,5,9,11
541,5,9,12,5,9,12
542,5,9,13,5,9,13
543,5,9,14,5,9,14
544,5,9,15,5,9,15
545,5,9,16,5,9,16
546,5,9,17,5,9,17
547,5,9,17,5,9,17
548,5,10,0,5,10,0
549,5,10,0,5,10,0
550,5,10,1,5,10,1
551,5,10,2,5,10,2
552,5,10,3,5,10,3
553,5,10,4,5,10,4
554,5,10,5,5,10,5
555,5,10,6,5,10,6
556,5,10,7,5,10,7
557,5,10,8,5,10,8
558,5,10,9,5,10,9
559,5,10,10,5,10,10
560,5,10,11,5,10,11
561,5,10,12,5,10,12
562,5,10,13,5,10,13
563,5,10,14,5,10,14
564,5,10,15,5,10,15
565,5,10,16,5,10,16
566,5,10,17,5,10,17
567,5,10,17,5,10,17
568,5,11,0,5,11,0
569,5,11,0,5,11,0
570,5,11,1,5,11,1
571,5,11,2,5,11,2
572,5,11,3,5,11,3
573,5,11,4,5,11,4
574,5,11,5,5,11,5
575,5,11,6,5,11,6
576,5,11,7,5,11,7
577,5,11,8,5,11,8
578,5,11,9,5,11,9
579,5,11,10,5,11,10
580,5,11,11,5,11,11
581,5,11,12,5,11,12
582,5,11,13,5,11,13
583,5,11,14,5,11,14
584,5,11,15,5,11,15
585,5,11,16,5,11,16
586,5,11,17,5,11,17
587,5,11,17,5,11,17
588,5,12,0,5,12,0
589,5,12,0,5,12,0
590,5,12,1,5,12,1
591,5,12,2,5,12,2
592,5,12,3,5,12,3
593,5,12,4,5,12,4
594,5,12,5,5,12,5
595,5,12,6,5,12,6
596,5,12,7,5,12,7
597,5,12,8,5,12,8
598,5,12,9,5,12,9
599,5,12,10,5,12,10
600,5,12,11,5,12,11
601,5,12,12,5,12,12
602,5,12,13,5,12,13
603,5,12,14,5,12,14
604,5,12,15,5,12,15
605,5,12,16,5,12,16
606,5,12,17,5,12,17
607,5,12,17,5,12,17
608,5,13,0,5,13,0
609,5,13,0,5,13,0
610,5,13,1,5,13,1
611,5,13,2,5,13,2
612,5,13,3,5,13,3
613,5,13,4,5,13,4
614,5,13,5,5,13,5
615,5,13,6,5,13,6
616,5,13,7,5,13,7
617,5,13,8,5,13,8
618,5,13,9,5,13,9
619,5,13,10,5,13,10
620,5,13,11,5,13,11
621,5,13,12,5,13,12
622,5,13,13,5,13,13
623,5,13,14,5,13,14
624,5,13,15,5,13,15
625,5,13,16,5,13,16
626,5,13,17,5,13,17
627,5,13,17,5,13,17
628,5,14,0,5,14,0
629,5,14,0,5,14,0
630,5,14,0,5,14,0
631,5,14,1,5,14,1
632,5,14,1,5,14,1
633,5,14,2,5,14,2
634,5,14,2,5,14,2
635,5,14,3,5,14,3
636,5,14,3,5,14,3
637,5,14,4,5,14,4
638,5,14,4,5,14,4
639,5,14,5,5,14,5
640,5,14,5,5,14,5
641,5,14,6,5,14,6
642,5,14,6,5,14,6
643,5,14,7,5,14,7
644,5,14,7,5,14,7
645,5,14,8,5,14,8
646,5,14,8,5,14,8
647,5,14,9,5,14,9
648,5,14,9,5,14,9
649,5,14,10,5,14,10
650,5,14,10,5,14,10
651,5,14,11,5,14,11
652,5,14,11,5,14,11
653,5,14,12,5,14,12
654,5,14,12,5,14,12
655,5,14,13,5,14,13
656,5,14,13,5,14,13
657,5,14,14,5,14,14
658,5,14,14,5,14,14
659,5,14,15,5,14,15
660,5,14,15,5,14,15
661,5,14,16,5,14,16
662,5,14,16,5,14,16
663,5,14,17,5,14,17
664,5,14,17,5,14,17
665,5,14,17,5,14,17
