,cA0,cA1,cA2,cB0,cB1,cB2
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,1,0,0,1
3,0,0,2,0,0,2
4,0,0,3,0,0,3
5,0,0,4,0,0,4
6,0,0,5,0,0,5
7,0,0,6,0,0,6
8,0,0,7,0,0,7
9,0,0,8,0,0,8
10,0,0,9,0,0,9
11,0,0,10,0,0,10
12,0,0,11,0,0,11
13,0,0,12,0,0,12
14,0,0,13,0,0,13
15,0,0,14,0,0,14
16,0,0,15,0,0,15
17,0,0,16,0,0,16
18,0,0,17,0,0,17
19,0,0,17,0,0,17
20,0,1,0,0,1,0
21,0,1,17,0,1,17
22,0,2,0,0,2,0
23,0,2,17,0,2,17
24,0,3,0,0,3,0
25,0,3,17,0,3,17
26,0,4,0,0,4,0
27,0,4,17,0,4,17
28,0,5,0,0,5,0
29,0,5,17,0,5,17
30,0,6,0,0,6,0
31,0,6,17,0,6,17
32,0,7,0,0,7,0
33,0,7,17,0,7,17
34,0,8,0,0,8,0
35,0,8,17,0,8,17
36,0,9,0,0,9,0
37,0,9,17,0,9,17
38,0,10,0,0,10,0
39,0,10,17,0,10,17
40,0,11,0,0,11,0
41,0,11,17,0,11,17
42,0,12,0,0,12,0
43,0,12,17,0,12,17
44,0,13,0,0,13,0
45,0,13,17,0,13,17
46,0,14,0,0,14,0
47,0,14,0,0,14,0
48,0,14,1,0,14,1
49,0,14,2,0,14,2
50,0,14,3,0,14,3
51,0,14,4,0,14,4
52,0,14,5,0,14,5
53,0,14,6,0,14,6
54,0,14,7,0,14,7
55,0,14,8,0,14,8
56,0,14,9,0,14,9
57,0,14,10,0,14,10
58,0,14,11,0,14,11
59,0,14,12,0,14,12
60,0,14,13,0,14,13
61,0,14,14,0,14,14
62,0,14,15,0,14,15
63,0,14,16,0,14,16
64,0,14,17,0,14,17
65,0,14,17,0,14,17
66,1,0,0,1,0,0
67,1,0,0,1,0,0
68,1,0,1,1,0,1
69,1,0,2,1,0,2
70,1,0,3,1,0,3
71,1,0,4,1,0,4
72,1,0,5,1,0,5
73,1,0,6,1,0,6
74,1,0,7,1,0,7
75,1,0,8,1,0,8
76,1,0,9,1,0,9
77,1,0,10,1,0,10
78,1,0,11,1,0,11
79,1,0,12,1,0,12
80,1,0,13,1,0,13
81,1,0,14,1,0,14
82,1,0,15,1,0,15
83,1,0,16,1,0,16
84,1,0,17,1,0,17
85,1,0,17,1,0,17
86,1,1,0,1,1,0
87,1,1,17,1,1,17
88,1,2,0,1,2,0
89,1,2,17,1,2,17
90,1,3,0,1,3,0
91,1,3,17,1,3,17
92,1,4,0,1,4,0
93,1,4,17,1,4,17
94,1,5,0,1,5,0
95,1,5,17,1,5,17
96,1,6,0,1,6,0
97,1,6,17,1,6,17
98,1,7,0,1,7,0
99,1,7,17,1,7,17
100,1,8,0,1,8,0
101,1,8,17,1,8,17
102,1,9,0,1,9,0
103,1,9,17,1,9,17
104,1,10,0,1,10,0
105,1,10,17,1,10,17
106,1,11,0,1,11,0
107,1,11,17,1,11,17
108,1,12,0,1,12,0
109,1,12,17,1,12,17
110,1,13,0,1,13,0
111,1,13,17,1,13,17
112,1,14,0,1,14,0
113,1,14,0,1,14,0
114,1,14,1,1,14,1
115,1,14,2,1,14,2
116,1,14,3,1,14,3
117,1,14,4,1,14,4
118,1,14,5,1,14,5
119,1,14,6,1,14,6
120,1,14,7,1,14,7
121,1,14,8,1,14,8
122,1,14,9,1,14,9
123,1,14,10,1,14,10
124,1,14,11,1,14,11
125,1,14,12,1,14,12
126,1,14,13,1,14,13
127,1,14,14,1,14,14
128,1,14,15,1,14,15
129,1,14,16,1,14,16
130,1,14,17,1,14,17
131,1,14,17,1,14,17
132,2,0,0,2,0,0
133,2,0,0,2,0,0
134,2,0,1,2,0,1
135,2,0,2,2,0,2
136,2,0,3,2,0,3
137,2,0,4,2,0,4
138,2,0,5,2,0,5
139,2,0,6,2,0,6
140,2,0,7,2,0,7
141,2,0,8,2,0,8
142,2,0,9,2,0,9
143,2,0,10,2,0,10
144,2,0,11,2,0,11
145,2,0,12,2,0,12
146,2,0,13,2,0,13
147,2,0,14,2,0,14
148,2,0,15,2,0,15
149,2,0,16,2,0,16
150,2,0,17,2,0,17
151,2,0,17,2,0,17
152,2,1,0,2,1,0
153,2,1,17,2,1,17
154,2,2,0,2,2,0
155,2,2,17,2,2,17
156,2,3,0,2,3,0
157,2,3,17,2,3,17
158,2,4,0,2,4,0
159,2,4,17,2,4,17
160,2,5,0,2,5,0
161,2,5,17,2,5,17
162,2,6,0,2,6,0
163,2,6,17,2,6,17
164,2,7,0,2,7,0
165,2,7,17,2,7,17
166,2,8,0,2,8,0
167,2,8,17,2,8,17
168,2,9,0,2,9,0
169,2,9,17,2,9,17
170,2,10,0,2,10,0
171,2,10,17,2,10,17
172,2,11,0,2,11,0
173,2,11,17,2,11,17
174,2,12,0,2,12,0
175,2,12,17,2,12,17
176,2,13,0,2,13,0
177,2,13,17,2,13,17
178,2,14,0,2,14,0
179,2,14,0,2,14,0
180,2,14,1,2,14,1
181,2,14,2,2,14,2
182,2,14,3,2,14,3
183,2,14,4,2,14,4
184,2,14,5,2,14,5
185,2,14,6,2,14,6
186,2,14,7,2,14,7
187,2,14,8,2,14,8
188,2,14,9,2,14,9
189,2,14,10,2,14,10
190,2,14,11,2,14,11
191,2,14,12,2,14,12
192,2,14,13,2,14,13
193,2,14,14,2,14,14
194,2,14,15,2,14,15
195,2,14,16,2,14,16
196,2,14,17,2,14,17
197,2,14,17,2,14,17
198,3,0,0,3,0,0
199,3,0,0,3,0,0
200,3,0,1,3,0,1
201,3,0,2,3,0,2
202,3,0,3,3,0,3
203,3,0,4,3,0,4
204,3,0,5,3,0,5
205,3,0,6,3,0,6
206,3,0,7,3,0,7
