,parent,child,top_bot,idomainp,ncpp,ncppl,p0,p1,p2,c0,c1,c2
551,"(2, 9, 2)","(5, 10, 2)",0,8.333500027656555,2.7776665687561035,784.9365420197653,2,9,2,5,10,2
552,"(2, 9, 3)","(5, 10, 3)",0,8.33349984884262,2.777666886647543,784.9365420197653,2,9,3,5,10,3
553,"(2, 9, 3)","(5, 10, 4)",0,8.33349984884262,2.777666886647543,784.9365420197653,2,9,3,5,10,4
554,"(2, 9, 3)","(5, 10, 5)",0,8.33349984884262,2.777666886647543,784.9365420197653,2,9,3,5,10,5
555,"(2, 9, 4)","(5, 10, 6)",0,8.33349996805191,2.7776665687561035,784.9365420197653,2,9,4,5,10,6
556,"(2, 9, 4)","(5, 10, 7)",0,8.33349996805191,2.7776665687561035,784.9365420197653,2,9,4,5,10,7
557,"(2, 9, 4)","(5, 10, 8)",0,8.33349996805191,2.7776665687561035,784.9365420197653,2,9,4,5,10,8
558,"(2, 9, 5)","(5, 10, 9)",0,8.333499789237976,2.777666886647543,784.9365420197653,2,9,5,5,10,9
559,"(2, 9, 5)","(5, 10, 10)",0,8.333499789237976,2.777666886647543,784.9365420197653,2,9,5,5,10,10
560,"(2, 9, 5)","(5, 10, 11)",0,8.333499789237976,2.777666886647543,784.9365420197653,2,9,5,5,10,11
561,"(2, 9, 6)","(5, 10, 12)",0,8.333500027656555,2.7776667277018223,784.9365420197653,2,9,6,5,10,12
562,"(2, 9, 6)","(5, 10, 13)",0,8.333500027656555,2.7776667277018223,784.9365420197653,2,9,6,5,10,13
563,"(2, 9, 6)","(5, 10, 14)",0,8.333500027656555,2.7776667277018223,784.9365420197653,2,9,6,5,10,14
564,"(2, 9, 7)","(5, 10, 15)",0,8.333499908447266,2.7776667277018223,784.9365420197653,2,9,7,5,10,15
565,"(2, 9, 7)","(5, 10, 16)",0,8.333499908447266,2.7776667277018223,784.9365420197653,2,9,7,5,10,16
566,"(1, 9, 8)","(5, 10, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,1,9,8,5,10,17
567,"(2, 9, 7)","(5, 10, 17)",0,8.333499908447266,2.7776667277018223,784.9365420197653,2,9,7,5,10,17
568,"(1, 9, 1)","(5, 11, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,1,9,1,5,11,0
569,"(2, 9, 2)","(5, 11, 0)",0,8.333500027656555,2.7776665687561035,784.9365420197653,2,9,2,5,11,0
570,"(2, 9, 2)","(5, 11, 1)",0,8.333500027656555,2.7776665687561035,784.9365420197653,2,9,2,5,11,1
571,"(2, 9, 2)","(5, 11, 2)",0,8.333500027656555,2.7776665687561035,784.9365420197653,2,9,2,5,11,2
572,"(2, 9, 3)","(5, 11, 3)",0,8.33349984884262,2.777666886647543,784.9365420197653,2,9,3,5,11,3
573,"(2, 9, 3)","(5, 11, 4)",0,8.33349984884262,2.777666886647543,784.9365420197653,2,9,3,5,11,4
574,"(2, 9, 3)","(5, 11, 5)",0,8.33349984884262,2.777666886647543,784.9365420197653,2,9,3,5,11,5
575,"(2, 9, 4)","(5, 11, 6)",0,8.33349996805191,2.7776665687561035,784.9365420197653,2,9,4,5,11,6
576,"(2, 9, 4)","(5, 11, 7)",0,8.33349996805191,2.7776665687561035,784.9365420197653,2,9,4,5,11,7
577,"(2, 9, 4)","(5, 11, 8)",0,8.33349996805191,2.7776665687561035,784.9365420197653,2,9,4,5,11,8
578,"(2, 9, 5)","(5, 11, 9)",0,8.333499789237976,2.777666886647543,784.9365420197653,2,9,5,5,11,9
579,"(2, 9, 5)","(5, 11, 10)",0,8.333499789237976,2.777666886647543,784.9365420197653,2,9,5,5,11,10
580,"(2, 9, 5)","(5, 11, 11)",0,8.333499789237976,2.777666886647543,784.9365420197653,2,9,5,5,11,11
581,"(2, 9, 6)","(5, 11, 12)",0,8.333500027656555,2.7776667277018223,784.9365420197653,2,9,6,5,11,12
582,"(2, 9, 6)","(5, 11, 13)",0,8.333500027656555,2.7776667277018223,784.9365420197653,2,9,6,5,11,13
583,"(2, 9, 6)","(5, 11, 14)",0,8.333500027656555,2.7776667277018223,784.9365420197653,2,9,6,5,11,14
584,"(2, 9, 7)","(5, 11, 15)",0,8.333499908447266,2.7776667277018223,784.9365420197653,2,9,7,5,11,15
585,"(2, 9, 7)","(5, 11, 16)",0,8.333499908447266,2.7776667277018223,784.9365420197653,2,9,7,5,11,16
586,"(1, 9, 8)","(5, 11, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,1,9,8,5,11,17
587,"(2, 9, 7)","(5, 11, 17)",0,8.333499908447266,2.7776667277018223,784.9365420197653,2,9,7,5,11,17
588,"(1, 10, 1)","(5, 12, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,1,10,1,5,12,0
