,parent,child,top_bot,idomainp,ncpp,ncppl,p0,p1,p2,c0,c1,c2
56,"(0, 11, 5)","(0, 14, 9)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,5,0,14,9
57,"(0, 11, 5)","(0, 14, 10)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,5,0,14,10
58,"(0, 11, 5)","(0, 14, 11)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,5,0,14,11
59,"(0, 11, 6)","(0, 14, 12)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,6,0,14,12
60,"(0, 11, 6)","(0, 14, 13)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,6,0,14,13
61,"(0, 11, 6)","(0, 14, 14)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,6,0,14,14
62,"(0, 11, 7)","(0, 14, 15)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,7,0,14,15
63,"(0, 11, 7)","(0, 14, 16)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,7,0,14,16
64,"(0, 10, 8)","(0, 14, 17)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,10,8,0,14,17
65,"(0, 11, 7)","(0, 14, 17)",2,34.313331604003906,11.437777201334635,34.313334147135414,0,11,7,0,14,17
66,"(0, 6, 1)","(1, 0, 0)",2,51.470001220703125,17.156667073567707,22.87555440266927,0,6,1,1,0,0
