,time,total_in,total_out,sources,sinks,fluid_storage,total_mass,error_in-out,error_alt
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,36.5,315360000.0,-315360000.0,315360000.0,0.0,0.0,315360000.0,0.0,0.0
2,73.0,630720000.0,-630720000.0,630720000.0,0.0,0.0,630720000.0,1.015e-05,-1.015e-05
3,109.5,946080000.0,-946080000.0,946080000.0,-2.08771e-31,0.0,946079000.0,2.029e-05,4.059e-05
4,146.0,1261440000.0,-1261440000.0,1261440000.0,-2.03677e-30,0.0,1261440000.0,3.044e-05,4.059e-05
5,182.5,1576800000.0,-1576800000.0,1576800000.0,-1.35376e-29,0.0,1576800000.0,2.435e-05,8.118e-06
6,219.0,1892160000.0,-1892160000.0,1892160000.0,-7.0823e-29,0.0,1892160000.0,4.059e-05,4.735e-05
7,255.5,2207520000.0,-2207520000.0,2207520000.0,-3.13247e-28,0.0,2207520000.0,3.479e-05,1.16e-05
8,292.0,2522880000.0,-2522880000.0,2522880000.0,-1.21809e-27,0.0,2522880000.0,4.059e-05,6.088e-05
9,328.5,2838240000.0,-2838240000.0,2838240000.0,-4.26375e-27,0.0,2838240000.0,5.412e-05,5.412e-05
10,365.0,3153600000.0,-3153600000.0,3153600000.0,-1.36499e-26,0.0,3153600000.0,5.682e-05,8.929e-05
11,401.5,3468960000.0,-3468960000.0,3468960000.0,-4.04582e-26,0.0,3468960000.0,6.642e-05,0.0001107
12,438.0,3784320000.0,-3784320000.0,3784320000.0,-1.1211e-25,0.0,3784320000.0,7.441e-05,6.765e-05
13,474.5,4099680000.0,-4099680000.0,4099680000.0,-2.92783e-25,0.0,4099680000.0,7.493e-05,8.118e-05
14,511.0,4415040000.0,-4415040000.0,4415040000.0,-7.25545e-25,0.0,4415040000.0,6.958e-05,4.639e-05
15,547.5,4730400000.0,-4730400000.0,4730400000.0,-1.71605e-24,0.0,4730400000.0,7.577e-05,8.659e-05
16,584.0,5045760000.0,-5045760000.0,5045760000.0,-3.89327e-24,0.0,5045750000.0,7.103e-05,0.0001218
17,620.5,5361120000.0,-5361110000.0,5361120000.0,-8.50905e-24,0.0,5361120000.0,7.64e-05,5.73e-05
