time,EAST,WEST,NORTH,SOUTH
1.000000000000,-34777.17452193388,6212.364586878549,17421.97640453179,-9693.413528308189
32.00000000000,-34508.24178512418,6363.316749890812,17572.83999682072,-9487.079654579391
61.00000000000,-34204.57596475573,6300.560998786032,17485.62667000923,-9557.938536062386
92.00000000000,-34234.77610206636,5908.645867918112,17351.38066030780,-9853.130777306425
122.0000000000,-34721.88934348463,5359.082083764849,17203.87807287882,-10100.99077406601
153.0000000000,-35609.75189775645,5478.587868054593,17177.62537596436,-10051.75251021138
183.0000000000,-35249.03630137001,8009.599413158045,17620.78328720099,-9402.035592429038
214.0000000000,-34495.96787072276,9007.179908379305,17046.90730615010,-9495.269852520158
245.0000000000,-33940.84539188722,6967.967853746080,16874.23272575705,-9555.945392070080
275.0000000000,-33586.71651831664,5490.915427678666,16728.86081202555,-9609.342573358599
306.0000000000,-33386.28871315624,4795.528721893082,16653.18819200842,-9663.840534915078
336.0000000000,-33274.92268374852,5088.609781484536,16615.04096693249,-9691.355642899469
367.0000000000,-33166.65473376079,5182.124716739710,16594.91584281607,-9715.018115457660
