,WEL_IN,CHD_IN,TOTAL_IN,WEL_OUT,CHD_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY
2023-08-02 10:54:39.999836,0.9472,0.0,0.9472,0.0,0.9472,0.9472,7.7716e-16,0.0
2023-08-02 11:16:59.999106,8.88,0.0,8.88,0.0,8.88,8.88,0.0,0.0
